[2022/05/25 03:05:29] - Namespace(alpha=12.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='pre', momentum=0.9, normalization='std', out_dir='ablation_12_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/25 03:05:33] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/25 03:06:12] - 0 	 26.5 	 	 0.0500 	 1.5034 	 0.4465 	 0.6098	 5054.6162 	 0.0102
[2022/05/25 03:07:16] - 1 	 50.3 	 	 0.0500 	 1.9871 	 0.2582 	 0.5590	 2639.4636 	 0.2066
[2022/05/25 03:08:20] - 2 	 50.0 	 	 0.0500 	 1.8054 	 0.3099 	 0.5555	 2768.1799 	 0.2270
[2022/05/25 03:09:48] - 3 	 74.6 	 	 0.0500 	 1.7518 	 0.3284 	 0.6191	 2641.1919 	 0.2699
[2022/05/25 03:11:17] - 4 	 74.8 	 	 0.0500 	 1.6890 	 0.3529 	 0.6324	 2746.0288 	 0.2867
[2022/05/25 03:12:45] - 5 	 74.2 	 	 0.0500 	 1.6462 	 0.3671 	 0.6656	 2868.9658 	 0.3223
[2022/05/25 03:14:36] - 6 	 97.8 	 	 0.0500 	 1.6095 	 0.3814 	 0.6461	 2661.7786 	 0.3059
[2022/05/25 03:16:28] - 7 	 98.1 	 	 0.0500 	 1.5846 	 0.3917 	 0.6699	 2694.2517 	 0.3078
[2022/05/25 03:18:20] - 8 	 98.2 	 	 0.0500 	 1.5681 	 0.3990 	 0.6531	 2715.1606 	 0.3027
[2022/05/25 03:20:10] - 9 	 96.6 	 	 0.0500 	 1.5540 	 0.4030 	 0.6762	 2752.0618 	 0.3137
[2022/05/25 03:22:01] - 10 	 98.1 	 	 0.0500 	 1.5428 	 0.4123 	 0.6535	 2794.3474 	 0.3047
[2022/05/25 03:23:52] - 11 	 98.0 	 	 0.0500 	 1.5315 	 0.4113 	 0.6020	 2807.6877 	 0.3176
[2022/05/25 03:25:42] - 12 	 96.6 	 	 0.0500 	 1.5229 	 0.4153 	 0.6621	 2839.2390 	 0.3578
[2022/05/25 03:27:35] - 13 	 98.3 	 	 0.0500 	 1.5107 	 0.4176 	 0.6527	 2852.4216 	 0.3223
[2022/05/25 03:29:27] - 14 	 98.4 	 	 0.0500 	 1.5086 	 0.4203 	 0.6891	 2865.3259 	 0.3301
[2022/05/25 03:31:20] - 15 	 98.9 	 	 0.0500 	 1.5008 	 0.4239 	 0.6668	 2888.2126 	 0.3289
[2022/05/25 03:33:13] - 16 	 99.0 	 	 0.0500 	 1.5001 	 0.4240 	 0.6883	 2888.1145 	 0.3250
[2022/05/25 03:35:04] - 17 	 97.6 	 	 0.0500 	 1.4929 	 0.4260 	 0.6875	 2918.0662 	 0.3441
[2022/05/25 03:37:19] - 18 	 121.4 	 	 0.0500 	 1.4420 	 0.4532 	 0.6496	 2690.7393 	 0.3270
[2022/05/25 03:39:33] - 19 	 119.8 	 	 0.0500 	 1.4449 	 0.4513 	 0.6277	 2679.5203 	 0.2324
[2022/05/25 03:41:54] - 20 	 127.8 	 	 0.0500 	 1.4455 	 0.4484 	 0.7020	 2685.2993 	 0.3187
[2022/05/25 03:44:05] - 21 	 118.0 	 	 0.0500 	 1.4417 	 0.4491 	 0.6102	 2695.8865 	 0.3066
[2022/05/25 03:46:14] - 22 	 116.3 	 	 0.0500 	 1.4407 	 0.4499 	 0.6531	 2698.3643 	 0.3391
[2022/05/25 03:48:23] - 23 	 116.7 	 	 0.0500 	 1.4378 	 0.4499 	 0.6816	 2697.2336 	 0.3199
[2022/05/25 03:50:41] - 24 	 123.4 	 	 0.0050 	 1.4359 	 0.4532 	 0.6465	 2698.7361 	 0.3391
[2022/05/25 03:52:55] - 25 	 120.8 	 	 0.0050 	 1.4009 	 0.4615 	 0.7781	 2882.2476 	 0.4387
[2022/05/25 03:55:07] - 26 	 118.6 	 	 0.0050 	 1.3234 	 0.4845 	 0.7809	 3019.4934 	 0.4457
[2022/05/25 03:57:45] - 27 	 143.9 	 	 0.0050 	 1.2761 	 0.5024 	 0.7902	 2941.1687 	 0.4551
[2022/05/25 04:00:21] - 28 	 143.5 	 	 0.0050 	 1.2393 	 0.5169 	 0.7816	 2979.0154 	 0.4461
[2022/05/25 04:02:58] - 29 	 142.9 	 	 0.0050 	 1.2142 	 0.5242 	 0.7961	 2993.8096 	 0.4480
[2022/05/25 04:05:32] - 30 	 141.0 	 	 0.0050 	 1.1920 	 0.5341 	 0.7801	 3030.0708 	 0.4547
[2022/05/25 04:08:03] - 31 	 138.7 	 	 0.0050 	 1.1713 	 0.5393 	 0.7926	 3059.8230 	 0.4402
[2022/05/25 04:10:57] - 32 	 160.5 	 	 0.0050 	 1.1174 	 0.5647 	 0.7793	 2973.7937 	 0.4469
[2022/05/25 04:13:53] - 33 	 163.2 	 	 0.0050 	 1.1007 	 0.5699 	 0.7754	 2977.3467 	 0.4363
[2022/05/25 04:16:48] - 34 	 162.3 	 	 0.0050 	 1.0878 	 0.5768 	 0.7668	 2973.8335 	 0.4324
[2022/05/25 04:19:50] - 35 	 167.5 	 	 0.0050 	 1.0698 	 0.5846 	 0.7859	 2976.0417 	 0.4414
[2022/05/25 04:22:51] - 36 	 168.4 	 	 0.0050 	 1.0606 	 0.5889 	 0.7934	 2982.2944 	 0.4320
