[2022/05/24 14:24:36] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='cyclic', max_iteration=8, model='pre', momentum=0.9, normalization='std', out_dir='ablation_cyclic_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/24 14:24:42] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/24 14:25:13] - 0 	 23.4 	 	 0.0020 	 1.8907 	 0.3065 	 0.4406	 7553.1396 	 0.0012
[2022/05/24 14:26:10] - 1 	 44.8 	 	 0.0040 	 2.0333 	 0.2232 	 0.4902	 2251.8250 	 0.1910
[2022/05/24 14:27:09] - 2 	 45.7 	 	 0.0060 	 1.8792 	 0.2829 	 0.5094	 2453.8203 	 0.1965
[2022/05/24 14:28:29] - 3 	 68.3 	 	 0.0080 	 1.8498 	 0.2938 	 0.5723	 2393.0298 	 0.2695
[2022/05/24 14:29:50] - 4 	 68.4 	 	 0.0100 	 1.7707 	 0.3240 	 0.6293	 2595.8411 	 0.2750
[2022/05/24 14:31:34] - 5 	 91.0 	 	 0.0120 	 1.6831 	 0.3549 	 0.6074	 2575.3484 	 0.2785
[2022/05/24 14:33:18] - 6 	 90.9 	 	 0.0140 	 1.6198 	 0.3750 	 0.6527	 2694.4082 	 0.3129
[2022/05/24 14:35:24] - 7 	 113.6 	 	 0.0160 	 1.5228 	 0.4134 	 0.6773	 2609.7175 	 0.3219
[2022/05/24 14:37:30] - 8 	 113.5 	 	 0.0180 	 1.4763 	 0.4307 	 0.6523	 2644.3618 	 0.3246
[2022/05/24 14:39:36] - 9 	 113.2 	 	 0.0200 	 1.4397 	 0.4454 	 0.6910	 2696.8152 	 0.3383
[2022/05/24 14:41:42] - 10 	 113.4 	 	 0.0220 	 1.4051 	 0.4608 	 0.6734	 2740.3750 	 0.3504
[2022/05/24 14:44:10] - 11 	 135.8 	 	 0.0240 	 1.3035 	 0.5034 	 0.6422	 2557.5979 	 0.3281
