[2022/05/24 16:32:12] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='flat', max_iteration=8, model='pre', momentum=0.9, normalization='std', out_dir='ablation_flat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/24 16:32:16] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/24 16:32:53] - 0 	 25.4 	 	 0.0500 	 1.4899 	 0.4508 	 0.6113	 5228.3232 	 0.0098
[2022/05/24 16:34:02] - 1 	 53.6 	 	 0.0500 	 1.9512 	 0.2716 	 0.5617	 2810.9595 	 0.2129
[2022/05/24 16:35:10] - 2 	 54.1 	 	 0.0500 	 1.7682 	 0.3239 	 0.5531	 2920.1643 	 0.2191
[2022/05/24 16:36:46] - 3 	 81.2 	 	 0.0500 	 1.7581 	 0.3272 	 0.6344	 2664.7656 	 0.2707
[2022/05/24 16:38:22] - 4 	 81.0 	 	 0.0500 	 1.6945 	 0.3491 	 0.6375	 2755.7983 	 0.2855
[2022/05/24 16:39:58] - 5 	 81.3 	 	 0.0500 	 1.6527 	 0.3632 	 0.6730	 2873.6780 	 0.3172
[2022/05/24 16:41:34] - 6 	 81.2 	 	 0.0500 	 1.6244 	 0.3729 	 0.6645	 2962.8386 	 0.3203
[2022/05/24 16:43:37] - 7 	 108.5 	 	 0.0500 	 1.5951 	 0.3861 	 0.6617	 2782.9592 	 0.3047
[2022/05/24 16:45:41] - 8 	 109.6 	 	 0.0500 	 1.5759 	 0.3952 	 0.6594	 2781.3198 	 0.3121
[2022/05/24 16:47:47] - 9 	 110.4 	 	 0.0500 	 1.5624 	 0.4009 	 0.6727	 2811.9792 	 0.3168
[2022/05/24 16:49:50] - 10 	 109.1 	 	 0.0500 	 1.5511 	 0.4061 	 0.6586	 2856.1782 	 0.3066
[2022/05/24 16:51:53] - 11 	 108.4 	 	 0.0500 	 1.5410 	 0.4085 	 0.6035	 2868.5754 	 0.3020
[2022/05/24 16:53:57] - 12 	 109.1 	 	 0.0500 	 1.5310 	 0.4103 	 0.6680	 2900.2419 	 0.3598
[2022/05/24 16:56:00] - 13 	 108.0 	 	 0.0500 	 1.5219 	 0.4114 	 0.6418	 2912.9478 	 0.3129
[2022/05/24 16:58:04] - 14 	 109.5 	 	 0.0500 	 1.5168 	 0.4181 	 0.6887	 2924.9531 	 0.3473
[2022/05/24 17:00:10] - 15 	 111.0 	 	 0.0500 	 1.5104 	 0.4210 	 0.6766	 2942.2419 	 0.3328
[2022/05/24 17:02:16] - 16 	 110.9 	 	 0.0500 	 1.5084 	 0.4192 	 0.6965	 2951.1304 	 0.3262
[2022/05/24 17:04:22] - 17 	 110.4 	 	 0.0500 	 1.5023 	 0.4219 	 0.6809	 2981.4448 	 0.3312
[2022/05/24 17:06:27] - 18 	 110.0 	 	 0.0500 	 1.5000 	 0.4210 	 0.6777	 2989.7480 	 0.3508
[2022/05/24 17:08:32] - 19 	 110.6 	 	 0.0500 	 1.4972 	 0.4243 	 0.6617	 3003.7407 	 0.2570
[2022/05/24 17:11:05] - 20 	 138.4 	 	 0.0500 	 1.4465 	 0.4475 	 0.6785	 2735.7046 	 0.3063
[2022/05/24 17:13:38] - 21 	 137.8 	 	 0.0500 	 1.4450 	 0.4475 	 0.6082	 2732.7056 	 0.2934
[2022/05/24 17:16:09] - 22 	 136.0 	 	 0.0500 	 1.4470 	 0.4464 	 0.6328	 2727.2974 	 0.3227
[2022/05/24 17:18:41] - 23 	 136.9 	 	 0.0500 	 1.4456 	 0.4488 	 0.6730	 2732.6545 	 0.3137
[2022/05/24 17:21:16] - 24 	 139.6 	 	 0.0500 	 1.4452 	 0.4488 	 0.6523	 2720.9031 	 0.3238
[2022/05/24 17:24:06] - 25 	 153.3 	 	 0.0500 	 1.4419 	 0.4500 	 0.6270	 2725.7317 	 0.3051
[2022/05/24 17:26:52] - 26 	 150.5 	 	 0.0500 	 1.4407 	 0.4505 	 0.6418	 2723.5598 	 0.3020
[2022/05/24 17:29:27] - 27 	 140.0 	 	 0.0500 	 1.4419 	 0.4485 	 0.6656	 2728.1968 	 0.2949
[2022/05/24 17:31:58] - 28 	 137.0 	 	 0.0500 	 1.4382 	 0.4492 	 0.5980	 2738.1509 	 0.2672
[2022/05/24 17:34:31] - 29 	 137.5 	 	 0.0500 	 1.4367 	 0.4533 	 0.6602	 2716.2712 	 0.3055
[2022/05/24 17:37:03] - 30 	 137.0 	 	 0.0500 	 1.4408 	 0.4499 	 0.6250	 2733.2539 	 0.3402
[2022/05/24 17:39:34] - 31 	 137.2 	 	 0.0500 	 1.4385 	 0.4503 	 0.6367	 2737.2998 	 0.2883
[2022/05/24 17:42:07] - 32 	 138.0 	 	 0.0500 	 1.4336 	 0.4537 	 0.6605	 2733.4324 	 0.3195
[2022/05/24 17:44:40] - 33 	 137.9 	 	 0.0500 	 1.4358 	 0.4509 	 0.6312	 2731.9324 	 0.3051
[2022/05/24 17:47:12] - 34 	 137.4 	 	 0.0500 	 1.4362 	 0.4500 	 0.6277	 2736.9541 	 0.3063
[2022/05/24 17:49:45] - 35 	 137.9 	 	 0.0500 	 1.4363 	 0.4537 	 0.6344	 2735.4146 	 0.2906
[2022/05/24 17:52:17] - 36 	 137.7 	 	 0.0500 	 1.4356 	 0.4516 	 0.6629	 2731.3525 	 0.3207
[2022/05/24 17:54:49] - 37 	 137.4 	 	 0.0500 	 1.4358 	 0.4515 	 0.6520	 2743.1013 	 0.3039
[2022/05/24 17:57:20] - 38 	 136.5 	 	 0.0500 	 1.4334 	 0.4514 	 0.5891	 2739.9980 	 0.2750
[2022/05/24 17:59:52] - 39 	 137.0 	 	 0.0500 	 1.4344 	 0.4506 	 0.6418	 2738.3513 	 0.3141
[2022/05/24 18:02:23] - 40 	 136.2 	 	 0.0500 	 1.4355 	 0.4508 	 0.6402	 2754.3440 	 0.3332
[2022/05/24 18:04:54] - 41 	 136.4 	 	 0.0500 	 1.4315 	 0.4531 	 0.6074	 2750.3838 	 0.2879
[2022/05/24 18:07:25] - 42 	 136.3 	 	 0.0500 	 1.4379 	 0.4500 	 0.6562	 2745.3984 	 0.3035
[2022/05/24 18:09:54] - 43 	 135.4 	 	 0.0500 	 1.4326 	 0.4525 	 0.5801	 2746.0027 	 0.2789
[2022/05/24 18:12:24] - 44 	 134.8 	 	 0.0500 	 1.4294 	 0.4531 	 0.6387	 2740.7170 	 0.3086
[2022/05/24 18:14:52] - 45 	 134.0 	 	 0.0500 	 1.4341 	 0.4520 	 0.6457	 2730.8433 	 0.3371
[2022/05/24 18:17:21] - 46 	 134.3 	 	 0.0500 	 1.4296 	 0.4538 	 0.6680	 2749.4067 	 0.3184
[2022/05/24 18:19:51] - 47 	 135.0 	 	 0.0500 	 1.4333 	 0.4528 	 0.6613	 2765.3740 	 0.3234
[2022/05/24 18:22:20] - 48 	 135.2 	 	 0.0500 	 1.4324 	 0.4520 	 0.6402	 2753.7188 	 0.2969
[2022/05/24 18:24:50] - 49 	 134.5 	 	 0.0500 	 1.4328 	 0.4504 	 0.6355	 2753.8408 	 0.2922
[2022/05/24 18:24:50] - Total train time: 100.2707 minutes
[2022/05/24 18:24:50] - Best checkpoint at 12, 0.359765625
