[2022/05/24 21:40:07] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='normal', epochs=50, epsilon=8, fname='output', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='pre', momentum=0.9, normalization='std', out_dir='ablation_normal_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/24 21:40:11] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/24 21:40:46] - 0 	 24.4 	 	 0.0500 	 1.4818 	 0.4549 	 0.5969	 5649.9395 	 0.0039
[2022/05/24 21:41:46] - 1 	 46.8 	 	 0.0500 	 1.7628 	 0.3399 	 0.5898	 3752.9260 	 0.1570
[2022/05/24 21:42:45] - 2 	 46.3 	 	 0.0500 	 1.5584 	 0.4062 	 0.5945	 3919.2520 	 0.1980
[2022/05/24 21:44:08] - 3 	 69.9 	 	 0.0500 	 1.7502 	 0.3311 	 0.6574	 3236.3018 	 0.2566
[2022/05/24 21:45:30] - 4 	 69.2 	 	 0.0500 	 1.6822 	 0.3547 	 0.6559	 3295.7339 	 0.2602
[2022/05/24 21:46:53] - 5 	 69.9 	 	 0.0500 	 1.6398 	 0.3710 	 0.6887	 3406.6072 	 0.2754
[2022/05/24 21:48:15] - 6 	 69.4 	 	 0.0500 	 1.6110 	 0.3801 	 0.6852	 3468.4460 	 0.2934
[2022/05/24 21:49:38] - 7 	 70.1 	 	 0.0500 	 1.5917 	 0.3859 	 0.7305	 3538.4792 	 0.2910
[2022/05/24 21:51:00] - 8 	 69.4 	 	 0.0500 	 1.5784 	 0.3913 	 0.6770	 3568.4241 	 0.2652
[2022/05/24 21:52:22] - 9 	 69.3 	 	 0.0500 	 1.5606 	 0.3979 	 0.7133	 3608.1304 	 0.2996
[2022/05/24 21:53:45] - 10 	 69.9 	 	 0.0500 	 1.5483 	 0.4049 	 0.7191	 3665.5515 	 0.2945
[2022/05/24 21:55:07] - 11 	 69.2 	 	 0.0500 	 1.5376 	 0.4067 	 0.6859	 3702.7385 	 0.2973
[2022/05/24 21:56:28] - 12 	 69.1 	 	 0.0500 	 1.5266 	 0.4099 	 0.7121	 3742.1658 	 0.3484
[2022/05/24 21:57:51] - 13 	 69.4 	 	 0.0500 	 1.5171 	 0.4111 	 0.7004	 3759.5310 	 0.2961
[2022/05/24 21:59:13] - 14 	 69.9 	 	 0.0500 	 1.5128 	 0.4166 	 0.7395	 3773.1013 	 0.3063
[2022/05/24 22:00:36] - 15 	 69.8 	 	 0.0500 	 1.5048 	 0.4187 	 0.7168	 3809.5222 	 0.3027
[2022/05/24 22:01:58] - 16 	 69.1 	 	 0.0500 	 1.4991 	 0.4204 	 0.7523	 3822.7993 	 0.3078
[2022/05/24 22:03:20] - 17 	 69.8 	 	 0.0500 	 1.4928 	 0.4246 	 0.6996	 3881.1331 	 0.2836
[2022/05/24 22:04:42] - 18 	 69.2 	 	 0.0500 	 1.4894 	 0.4227 	 0.7316	 3883.2544 	 0.3043
[2022/05/24 22:06:04] - 19 	 69.7 	 	 0.0500 	 1.4849 	 0.4237 	 0.7027	 3904.8730 	 0.2504
[2022/05/24 22:07:26] - 20 	 69.2 	 	 0.0500 	 1.4854 	 0.4243 	 0.7617	 3922.0232 	 0.2875
[2022/05/24 22:08:49] - 21 	 69.8 	 	 0.0500 	 1.4730 	 0.4265 	 0.7320	 3959.7542 	 0.3117
[2022/05/24 22:10:34] - 22 	 92.3 	 	 0.0500 	 1.5184 	 0.4083 	 0.6777	 3657.4614 	 0.3285
[2022/05/24 22:12:19] - 23 	 92.0 	 	 0.0500 	 1.5084 	 0.4108 	 0.7191	 3600.2595 	 0.3266
[2022/05/24 22:14:03] - 24 	 91.8 	 	 0.0050 	 1.5097 	 0.4110 	 0.7160	 3575.3933 	 0.3172
