[2022/05/24 19:43:30] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='pre', momentum=0.9, normalization='std', out_dir='ablation_zero_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/24 19:43:33] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/24 19:44:08] - 0 	 23.5 	 	 0.0500 	 1.4751 	 0.4559 	 0.5941	 5398.2754 	 0.0090
[2022/05/24 19:45:07] - 1 	 45.9 	 	 0.0500 	 2.0083 	 0.2522 	 0.5574	 2565.0906 	 0.2219
[2022/05/24 19:46:07] - 2 	 46.6 	 	 0.0500 	 1.8284 	 0.3012 	 0.5605	 2671.1531 	 0.2426
[2022/05/24 19:47:29] - 3 	 69.4 	 	 0.0500 	 1.7337 	 0.3346 	 0.6203	 2517.5183 	 0.2820
[2022/05/24 19:48:52] - 4 	 69.7 	 	 0.0500 	 1.6740 	 0.3578 	 0.6242	 2613.3303 	 0.2887
[2022/05/24 19:50:14] - 5 	 68.9 	 	 0.0500 	 1.6313 	 0.3718 	 0.6668	 2725.5552 	 0.3109
[2022/05/24 19:51:57] - 6 	 91.2 	 	 0.0500 	 1.6117 	 0.3807 	 0.6344	 2606.6785 	 0.3109
[2022/05/24 19:53:42] - 7 	 92.0 	 	 0.0500 	 1.5870 	 0.3919 	 0.6738	 2634.4458 	 0.3164
[2022/05/24 19:55:27] - 8 	 92.1 	 	 0.0500 	 1.5697 	 0.3974 	 0.6406	 2651.8220 	 0.2949
[2022/05/24 19:57:12] - 9 	 91.7 	 	 0.0500 	 1.5566 	 0.4045 	 0.6602	 2692.3032 	 0.3180
[2022/05/24 19:58:57] - 10 	 92.3 	 	 0.0500 	 1.5483 	 0.4088 	 0.6465	 2732.3577 	 0.3215
[2022/05/24 20:00:41] - 11 	 91.5 	 	 0.0500 	 1.5370 	 0.4103 	 0.6016	 2749.2822 	 0.3199
[2022/05/24 20:02:26] - 12 	 92.1 	 	 0.0500 	 1.5278 	 0.4143 	 0.6602	 2777.7593 	 0.3668
[2022/05/24 20:04:33] - 13 	 114.1 	 	 0.0500 	 1.4740 	 0.4378 	 0.6172	 2561.7336 	 0.2992
[2022/05/24 20:06:40] - 14 	 114.1 	 	 0.0500 	 1.4736 	 0.4403 	 0.6574	 2555.5933 	 0.3297
[2022/05/24 20:08:47] - 15 	 114.2 	 	 0.0500 	 1.4673 	 0.4429 	 0.6098	 2564.5623 	 0.2922
[2022/05/24 20:10:54] - 16 	 114.0 	 	 0.0500 	 1.4688 	 0.4412 	 0.6414	 2566.5842 	 0.2957
[2022/05/24 20:13:00] - 17 	 113.7 	 	 0.0500 	 1.4614 	 0.4466 	 0.6297	 2581.6333 	 0.3078
[2022/05/24 20:15:07] - 18 	 114.0 	 	 0.0500 	 1.4615 	 0.4451 	 0.6504	 2592.0356 	 0.3082
[2022/05/24 20:17:14] - 19 	 114.5 	 	 0.0500 	 1.4577 	 0.4430 	 0.6383	 2598.9868 	 0.2590
[2022/05/24 20:19:22] - 20 	 114.8 	 	 0.0500 	 1.4578 	 0.4462 	 0.6547	 2590.4067 	 0.2996
[2022/05/24 20:21:30] - 21 	 115.4 	 	 0.0500 	 1.4520 	 0.4456 	 0.6211	 2605.1880 	 0.3090
[2022/05/24 20:23:37] - 22 	 114.1 	 	 0.0500 	 1.4493 	 0.4470 	 0.6387	 2606.8293 	 0.3277
[2022/05/24 20:25:44] - 23 	 114.5 	 	 0.0500 	 1.4466 	 0.4495 	 0.6625	 2607.6577 	 0.3133
[2022/05/24 20:27:51] - 24 	 114.7 	 	 0.0050 	 1.4481 	 0.4485 	 0.6352	 2608.4158 	 0.3426
[2022/05/24 20:29:59] - 25 	 114.3 	 	 0.0050 	 1.4063 	 0.4582 	 0.7680	 2756.6011 	 0.4371
[2022/05/24 20:32:07] - 26 	 115.1 	 	 0.0050 	 1.3355 	 0.4806 	 0.7797	 2914.8044 	 0.4465
[2022/05/24 20:34:37] - 27 	 136.9 	 	 0.0050 	 1.2898 	 0.4990 	 0.7836	 2865.3740 	 0.4383
[2022/05/24 20:37:06] - 28 	 136.7 	 	 0.0050 	 1.2545 	 0.5107 	 0.7785	 2907.7827 	 0.4391
[2022/05/24 20:39:35] - 29 	 136.4 	 	 0.0050 	 1.2285 	 0.5196 	 0.7832	 2920.9609 	 0.4465
[2022/05/24 20:42:05] - 30 	 137.5 	 	 0.0050 	 1.2089 	 0.5282 	 0.7715	 2954.3628 	 0.4480
[2022/05/24 20:44:59] - 31 	 161.3 	 	 0.0050 	 1.1574 	 0.5493 	 0.7785	 2879.8513 	 0.4273
[2022/05/24 20:47:53] - 32 	 161.0 	 	 0.0050 	 1.1391 	 0.5565 	 0.7750	 2875.9902 	 0.4344
