[2022/09/15 23:20:06] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=100, epsilon=8, fname='output_wide', init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=10, min_iteration=2, model='wide', momentum=0.9, normalization='std', out_dir='amata_out', save_model=True, seed=0, tau=20, weight_decay=0.0005, wide_factor=10)
[2022/09/15 23:20:10] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 PGD Acc 	 CW Acc
[2022/09/15 23:26:38] - 0 	 327.7 	 	 0.1000 	 2.0900 	 0.2182 	 0.3707	 0.2234
[2022/09/15 23:33:09] - 1 	 329.7 	 	 0.1000 	 1.9168 	 0.2783 	 0.4727	 0.3008
[2022/09/15 23:39:40] - 2 	 329.5 	 	 0.1000 	 1.8177 	 0.3151 	 0.5285	 0.3066
[2022/09/15 23:46:11] - 3 	 329.6 	 	 0.1000 	 1.7372 	 0.3423 	 0.5164	 0.3332
[2022/09/15 23:52:41] - 4 	 329.6 	 	 0.1000 	 1.6765 	 0.3665 	 0.5906	 0.3527
[2022/09/15 23:59:12] - 5 	 329.5 	 	 0.1000 	 1.6216 	 0.3836 	 0.5977	 0.3660
[2022/09/16 00:05:43] - 6 	 329.5 	 	 0.1000 	 1.5845 	 0.3987 	 0.6227	 0.3434
[2022/09/16 00:12:13] - 7 	 329.6 	 	 0.1000 	 1.5502 	 0.4123 	 0.6629	 0.3703
[2022/09/16 00:18:44] - 8 	 329.5 	 	 0.1000 	 1.5183 	 0.4233 	 0.6703	 0.3906
[2022/09/16 00:25:15] - 9 	 329.5 	 	 0.1000 	 1.4890 	 0.4341 	 0.6777	 0.3922
[2022/09/16 00:31:46] - 10 	 329.4 	 	 0.1000 	 1.4679 	 0.4440 	 0.6988	 0.3941
[2022/09/16 00:38:16] - 11 	 329.5 	 	 0.1000 	 1.4487 	 0.4511 	 0.6918	 0.3965
[2022/09/16 00:44:47] - 12 	 329.3 	 	 0.1000 	 1.4295 	 0.4566 	 0.7051	 0.4078
[2022/09/16 00:53:06] - 13 	 438.3 	 	 0.1000 	 1.4352 	 0.4558 	 0.6887	 0.4176
[2022/09/16 01:00:45] - 14 	 438.1 	 	 0.1000 	 1.1936 	 0.5534 	 0.3957	 0.0000
[2022/09/16 01:08:18] - 15 	 438.3 	 	 0.1000 	 0.3031 	 0.9007 	 0.4539	 0.0000
[2022/09/16 01:15:55] - 16 	 438.3 	 	 0.1000 	 0.2863 	 0.9074 	 0.3961	 0.0000
[2022/09/16 01:23:28] - 17 	 438.3 	 	 0.1000 	 0.3042 	 0.9013 	 0.1016	 0.0000
[2022/09/16 01:31:05] - 18 	 438.1 	 	 0.1000 	 0.2878 	 0.9086 	 0.2426	 0.0000
[2022/09/16 01:38:36] - 19 	 438.0 	 	 0.1000 	 0.2846 	 0.9086 	 0.3887	 0.0000
