[2022/05/04 10:11:30] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', dynamictau=False, epochs=50, epsilon=8, fname='output_dense', lr=0.01, model='dense', momentum=0.9, normalization='std', num_steps=10, omega=0.0, out_dir='fat_mart_out', rand_init=True, resume='', save_model=True, seed=0, step_size=2.0, tau=3, weight_decay=0.0005, wide_factor=10)
[2022/05/04 10:11:32] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 #BP 	 Val Acc 	 PGD Acc
[2022/05/04 10:20:24] - 0 	 516.5 	 	 0.0100 	 2.1609 	 5 	 0.3922 	 0.1660
[2022/05/04 10:28:56] - 1 	 497.1 	 	 0.0100 	 2.0216 	 6 	 0.4984 	 0.2008
[2022/05/04 10:37:34] - 2 	 502.9 	 	 0.0100 	 1.9535 	 6 	 0.5281 	 0.2047
[2022/05/04 10:46:10] - 3 	 501.2 	 	 0.0100 	 1.9022 	 6 	 0.5641 	 0.2445
[2022/05/04 10:54:47] - 4 	 501.6 	 	 0.0100 	 1.8569 	 6 	 0.6094 	 0.2586
[2022/05/04 11:03:30] - 5 	 507.6 	 	 0.0100 	 1.8201 	 6 	 0.6258 	 0.2488
[2022/05/04 11:12:12] - 6 	 506.7 	 	 0.0100 	 1.7886 	 6 	 0.6441 	 0.2922
[2022/05/04 11:20:56] - 7 	 509.3 	 	 0.0100 	 1.7634 	 6 	 0.6496 	 0.2828
[2022/05/04 11:29:38] - 8 	 506.8 	 	 0.0100 	 1.7362 	 6 	 0.6656 	 0.2953
[2022/05/04 11:38:32] - 9 	 518.6 	 	 0.0100 	 1.7198 	 6 	 0.6660 	 0.2992
[2022/05/04 11:47:15] - 10 	 507.4 	 	 0.0100 	 1.6967 	 6 	 0.6789 	 0.3039
[2022/05/04 11:56:02] - 11 	 512.3 	 	 0.0100 	 1.6793 	 6 	 0.6730 	 0.2984
[2022/05/04 12:04:47] - 12 	 509.8 	 	 0.0100 	 1.6648 	 7 	 0.6809 	 0.2945
[2022/05/04 12:13:30] - 13 	 507.9 	 	 0.0100 	 1.6488 	 7 	 0.6953 	 0.3297
[2022/05/04 12:22:22] - 14 	 516.6 	 	 0.0100 	 1.6392 	 7 	 0.6996 	 0.3469
[2022/05/04 12:31:11] - 15 	 513.6 	 	 0.0100 	 1.6263 	 7 	 0.6934 	 0.3211
[2022/05/04 12:39:57] - 16 	 510.7 	 	 0.0100 	 1.6144 	 7 	 0.6992 	 0.3492
[2022/05/04 12:48:44] - 17 	 511.9 	 	 0.0100 	 1.6056 	 7 	 0.7055 	 0.3422
[2022/05/04 12:57:32] - 18 	 512.0 	 	 0.0100 	 1.5942 	 7 	 0.7199 	 0.3258
[2022/05/04 13:06:23] - 19 	 515.5 	 	 0.0100 	 1.5841 	 7 	 0.7105 	 0.3488
[2022/05/04 13:15:15] - 20 	 517.3 	 	 0.0100 	 1.5740 	 7 	 0.7191 	 0.3469
[2022/05/04 13:24:08] - 21 	 517.8 	 	 0.0100 	 1.5702 	 7 	 0.7086 	 0.3543
[2022/05/04 13:32:59] - 22 	 516.5 	 	 0.0100 	 1.5552 	 7 	 0.7211 	 0.3574
[2022/05/04 13:41:55] - 23 	 520.5 	 	 0.0100 	 1.5554 	 7 	 0.7316 	 0.3609
[2022/05/04 13:50:51] - 24 	 520.4 	 	 0.0010 	 1.4850 	 7 	 0.7625 	 0.3875
[2022/05/04 13:59:44] - 25 	 517.5 	 	 0.0010 	 1.4630 	 7 	 0.7625 	 0.3855
[2022/05/04 14:08:44] - 26 	 525.0 	 	 0.0010 	 1.4597 	 7 	 0.7668 	 0.3867
[2022/05/04 14:17:39] - 27 	 519.2 	 	 0.0010 	 1.4554 	 7 	 0.7656 	 0.3895
[2022/05/04 14:26:38] - 28 	 523.3 	 	 0.0010 	 1.4527 	 7 	 0.7656 	 0.3926
[2022/05/04 14:35:42] - 29 	 528.9 	 	 0.0010 	 1.4470 	 7 	 0.7660 	 0.3910
[2022/05/04 14:44:39] - 30 	 522.3 	 	 0.0010 	 1.4462 	 7 	 0.7672 	 0.3891
[2022/05/04 14:53:39] - 31 	 524.5 	 	 0.0010 	 1.4404 	 7 	 0.7652 	 0.3930
[2022/05/04 15:02:36] - 32 	 521.9 	 	 0.0010 	 1.4353 	 7 	 0.7629 	 0.3934
[2022/05/04 15:11:31] - 33 	 519.1 	 	 0.0010 	 1.4359 	 7 	 0.7688 	 0.3926
[2022/05/04 15:20:30] - 34 	 524.9 	 	 0.0010 	 1.4338 	 7 	 0.7723 	 0.3895
[2022/05/04 15:29:29] - 35 	 523.3 	 	 0.0010 	 1.4311 	 7 	 0.7652 	 0.3949
[2022/05/04 15:38:30] - 36 	 525.9 	 	 0.0010 	 1.4258 	 7 	 0.7695 	 0.3941
[2022/05/04 15:47:32] - 37 	 526.4 	 	 0.0010 	 1.4240 	 7 	 0.7777 	 0.3937
[2022/05/04 15:56:38] - 38 	 529.9 	 	 0.0010 	 1.4250 	 7 	 0.7691 	 0.3934
[2022/05/04 16:05:57] - 39 	 542.5 	 	 0.0001 	 1.4109 	 7 	 0.7770 	 0.4012
[2022/05/04 16:15:35] - 40 	 562.5 	 	 0.0001 	 1.4099 	 7 	 0.7801 	 0.3973
[2022/05/04 16:25:07] - 41 	 556.1 	 	 0.0001 	 1.4109 	 7 	 0.7801 	 0.3980
[2022/05/04 16:34:24] - 42 	 541.6 	 	 0.0001 	 1.4059 	 7 	 0.7797 	 0.4016
[2022/05/04 16:43:36] - 43 	 535.9 	 	 0.0001 	 1.4065 	 7 	 0.7773 	 0.4004
[2022/05/04 16:52:46] - 44 	 533.7 	 	 0.0001 	 1.4084 	 7 	 0.7750 	 0.4020
[2022/05/04 17:01:58] - 45 	 536.3 	 	 0.0001 	 1.4025 	 7 	 0.7801 	 0.3969
[2022/05/04 17:11:19] - 46 	 544.8 	 	 0.0001 	 1.4048 	 7 	 0.7766 	 0.3980
[2022/05/04 17:20:40] - 47 	 545.1 	 	 0.0001 	 1.4026 	 7 	 0.7797 	 0.3980
[2022/05/04 17:29:49] - 48 	 533.5 	 	 0.0001 	 1.4066 	 7 	 0.7789 	 0.3973
[2022/05/04 17:39:00] - 49 	 534.8 	 	 0.0001 	 1.4025 	 7 	 0.7801 	 0.4004
[2022/05/04 17:39:00] - Total train time: 434.6262 minutes
[2022/05/04 17:39:00] - Best checkpoint at 44, 0.401953125
