[2021/03/20 16:10:55] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', dynamictau=False, epochs=50, epsilon=8, fname='output_pre', lr=0.05, model='pre', momentum=0.9, num_steps=10, omega=0.0, out_dir='fat_mart_out', rand_init=True, resume='', save_model=True, seed=0, step_size=2, tau=3, weight_decay=0.0005, wide_factor=10)
[2021/03/20 16:10:56] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 #BP 	 Val Acc 	 PGD Acc
[2021/03/20 16:15:29] - 0 	 263.7 	 	 0.0500 	 2.1629 	 5 	 0.4547 	 0.2164
[2021/03/20 16:20:08] - 1 	 270.1 	 	 0.0500 	 1.9937 	 6 	 0.5277 	 0.2582
[2021/03/20 16:24:51] - 2 	 274.3 	 	 0.0500 	 1.9094 	 6 	 0.5789 	 0.2590
[2021/03/20 16:29:37] - 3 	 276.7 	 	 0.0500 	 1.8419 	 6 	 0.5984 	 0.2766
[2021/03/20 16:34:27] - 4 	 280.6 	 	 0.0500 	 1.7824 	 6 	 0.6363 	 0.2832
[2021/03/20 16:39:18] - 5 	 281.5 	 	 0.0500 	 1.7410 	 6 	 0.6508 	 0.3023
[2021/03/20 16:44:10] - 6 	 282.8 	 	 0.0500 	 1.7051 	 6 	 0.6891 	 0.3164
[2021/03/20 16:49:03] - 7 	 284.0 	 	 0.0500 	 1.6718 	 7 	 0.6973 	 0.3094
[2021/03/20 16:53:57] - 8 	 285.3 	 	 0.0500 	 1.6497 	 7 	 0.6953 	 0.3254
[2021/03/20 16:58:51] - 9 	 285.1 	 	 0.0500 	 1.6241 	 7 	 0.7000 	 0.3641
[2021/03/20 17:03:46] - 10 	 285.8 	 	 0.0500 	 1.6054 	 7 	 0.7199 	 0.3762
[2021/03/20 17:08:41] - 11 	 285.3 	 	 0.0500 	 1.5940 	 7 	 0.7406 	 0.3668
[2021/03/20 17:13:36] - 12 	 286.2 	 	 0.0500 	 1.5793 	 7 	 0.7301 	 0.3777
[2021/03/20 17:18:31] - 13 	 286.2 	 	 0.0500 	 1.5670 	 7 	 0.7234 	 0.3523
[2021/03/20 17:23:27] - 14 	 286.5 	 	 0.0500 	 1.5577 	 7 	 0.7246 	 0.3617
[2021/03/20 17:28:22] - 15 	 286.4 	 	 0.0500 	 1.5487 	 7 	 0.7293 	 0.3770
[2021/03/20 17:33:18] - 16 	 286.8 	 	 0.0500 	 1.5378 	 7 	 0.7363 	 0.3855
[2021/03/20 17:38:15] - 17 	 287.1 	 	 0.0500 	 1.5329 	 7 	 0.7473 	 0.3859
[2021/03/20 17:43:09] - 18 	 285.5 	 	 0.0500 	 1.5253 	 7 	 0.7445 	 0.4066
[2021/03/20 17:48:03] - 19 	 285.0 	 	 0.0500 	 1.5192 	 7 	 0.7535 	 0.3660
[2021/03/20 17:52:56] - 20 	 284.1 	 	 0.0500 	 1.5188 	 7 	 0.7551 	 0.3887
[2021/03/20 17:57:49] - 21 	 284.1 	 	 0.0500 	 1.5046 	 7 	 0.7602 	 0.3996
[2021/03/20 18:02:43] - 22 	 284.4 	 	 0.0500 	 1.5044 	 7 	 0.7359 	 0.3980
[2021/03/20 18:07:36] - 23 	 284.5 	 	 0.0500 	 1.4944 	 7 	 0.7555 	 0.4145
[2021/03/20 18:12:33] - 24 	 288.3 	 	 0.0050 	 1.3556 	 7 	 0.8008 	 0.4582
[2021/03/20 18:17:32] - 25 	 290.0 	 	 0.0050 	 1.3127 	 7 	 0.8066 	 0.4641
[2021/03/20 18:22:31] - 26 	 289.6 	 	 0.0050 	 1.2974 	 7 	 0.8082 	 0.4688
[2021/03/20 18:27:30] - 27 	 290.2 	 	 0.0050 	 1.2841 	 7 	 0.8137 	 0.4680
[2021/03/20 18:32:30] - 28 	 291.0 	 	 0.0050 	 1.2748 	 7 	 0.8164 	 0.4660
[2021/03/20 18:37:31] - 29 	 291.8 	 	 0.0050 	 1.2633 	 7 	 0.8070 	 0.4695
[2021/03/20 18:42:33] - 30 	 293.2 	 	 0.0050 	 1.2571 	 7 	 0.8223 	 0.4621
[2021/03/20 18:47:37] - 31 	 294.2 	 	 0.0050 	 1.2415 	 7 	 0.8172 	 0.4742
[2021/03/20 18:52:41] - 32 	 295.5 	 	 0.0050 	 1.2423 	 7 	 0.8199 	 0.4738
[2021/03/20 18:57:46] - 33 	 295.8 	 	 0.0050 	 1.2295 	 7 	 0.8172 	 0.4730
[2021/03/20 19:02:51] - 34 	 296.1 	 	 0.0050 	 1.2202 	 7 	 0.8242 	 0.4680
[2021/03/20 19:07:56] - 35 	 295.9 	 	 0.0050 	 1.2179 	 7 	 0.8195 	 0.4578
[2021/03/20 19:13:01] - 36 	 296.0 	 	 0.0050 	 1.2123 	 7 	 0.8184 	 0.4719
[2021/03/20 19:18:06] - 37 	 295.9 	 	 0.0050 	 1.2025 	 7 	 0.8199 	 0.4742
[2021/03/20 19:23:11] - 38 	 296.0 	 	 0.0050 	 1.1997 	 7 	 0.8215 	 0.4598
[2021/03/20 19:28:18] - 39 	 298.0 	 	 0.0005 	 1.1482 	 8 	 0.8320 	 0.4789
[2021/03/20 19:33:24] - 40 	 297.1 	 	 0.0005 	 1.1280 	 8 	 0.8313 	 0.4820
[2021/03/20 19:38:31] - 41 	 297.3 	 	 0.0005 	 1.1157 	 8 	 0.8355 	 0.4813
[2021/03/20 19:43:35] - 42 	 295.2 	 	 0.0005 	 1.1127 	 8 	 0.8344 	 0.4785
[2021/03/20 19:48:38] - 43 	 293.9 	 	 0.0005 	 1.0975 	 8 	 0.8316 	 0.4797
[2021/03/20 19:53:41] - 44 	 294.2 	 	 0.0005 	 1.0981 	 8 	 0.8375 	 0.4754
[2021/03/20 19:58:44] - 45 	 294.5 	 	 0.0005 	 1.0933 	 8 	 0.8328 	 0.4852
[2021/03/20 20:03:48] - 46 	 294.2 	 	 0.0005 	 1.0944 	 8 	 0.8387 	 0.4793
[2021/03/20 20:08:50] - 47 	 293.8 	 	 0.0005 	 1.0915 	 8 	 0.8355 	 0.4738
[2021/03/20 20:13:53] - 48 	 293.9 	 	 0.0005 	 1.0897 	 8 	 0.8363 	 0.4789
[2021/03/20 20:18:56] - 49 	 294.4 	 	 0.0005 	 1.0806 	 8 	 0.8375 	 0.4871
[2021/03/20 20:18:57] - Total train time: 240.4679 minutes
[2021/03/20 20:18:57] - Best checkpoint at 49, 0.487109375
