[2022/04/27 01:55:19] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', dynamictau=False, epochs=50, epsilon=8, fname='output_vgg16', lr=0.01, model='vgg16', momentum=0.9, normalization='std', num_steps=10, omega=0.0, out_dir='fat_mart_out', rand_init=True, resume='', save_model=True, seed=0, step_size=2, tau=3, weight_decay=0.0005, wide_factor=10)
[2022/04/27 01:55:20] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 #BP 	 Val Acc 	 PGD Acc
[2022/04/27 01:58:11] - 0 	 165.0 	 	 0.0100 	 2.7276 	 4 	 0.1633 	 0.1297
[2022/04/27 02:01:05] - 1 	 168.2 	 	 0.0100 	 2.3354 	 4 	 0.2070 	 0.1098
[2022/04/27 02:03:59] - 2 	 167.8 	 	 0.0100 	 2.2643 	 5 	 0.3176 	 0.1547
[2022/04/27 02:06:57] - 3 	 172.3 	 	 0.0100 	 2.1989 	 5 	 0.3844 	 0.1840
[2022/04/27 02:09:57] - 4 	 173.8 	 	 0.0100 	 2.1328 	 5 	 0.4531 	 0.2254
[2022/04/27 02:12:57] - 5 	 173.8 	 	 0.0100 	 2.0891 	 5 	 0.4641 	 0.2250
[2022/04/27 02:15:59] - 6 	 176.8 	 	 0.0100 	 2.0445 	 5 	 0.4922 	 0.2332
[2022/04/27 02:19:01] - 7 	 175.4 	 	 0.0100 	 2.0031 	 6 	 0.5008 	 0.2473
[2022/04/27 02:22:04] - 8 	 176.9 	 	 0.0100 	 1.9716 	 6 	 0.5281 	 0.2523
[2022/04/27 02:25:08] - 9 	 178.9 	 	 0.0100 	 1.9372 	 6 	 0.5473 	 0.2801
[2022/04/27 02:28:14] - 10 	 179.9 	 	 0.0100 	 1.9041 	 6 	 0.5367 	 0.2797
[2022/04/27 02:31:19] - 11 	 179.1 	 	 0.0100 	 1.8763 	 6 	 0.5836 	 0.2910
[2022/04/27 02:34:27] - 12 	 181.9 	 	 0.0100 	 1.8451 	 6 	 0.5648 	 0.2527
[2022/04/27 02:37:33] - 13 	 180.1 	 	 0.0100 	 1.8217 	 6 	 0.6113 	 0.3117
[2022/04/27 02:40:40] - 14 	 181.2 	 	 0.0100 	 1.7977 	 6 	 0.6191 	 0.3141
[2022/04/27 02:43:48] - 15 	 182.2 	 	 0.0100 	 1.7727 	 6 	 0.6496 	 0.3156
[2022/04/27 02:46:57] - 16 	 182.4 	 	 0.0100 	 1.7497 	 6 	 0.6535 	 0.3070
[2022/04/27 02:50:05] - 17 	 182.2 	 	 0.0100 	 1.7375 	 6 	 0.6426 	 0.3051
[2022/04/27 02:53:13] - 18 	 182.7 	 	 0.0100 	 1.7127 	 6 	 0.6637 	 0.3336
[2022/04/27 02:56:21] - 19 	 181.3 	 	 0.0100 	 1.6993 	 6 	 0.6992 	 0.3281
[2022/04/27 02:59:25] - 20 	 178.4 	 	 0.0100 	 1.6827 	 7 	 0.6766 	 0.3547
[2022/04/27 03:02:32] - 21 	 181.5 	 	 0.0100 	 1.6713 	 7 	 0.6902 	 0.3516
[2022/04/27 03:05:42] - 22 	 183.7 	 	 0.0100 	 1.6523 	 7 	 0.7016 	 0.3453
[2022/04/27 03:08:51] - 23 	 183.7 	 	 0.0100 	 1.6433 	 7 	 0.6965 	 0.3605
[2022/04/27 03:12:04] - 24 	 186.5 	 	 0.0010 	 1.5646 	 7 	 0.7445 	 0.3699
[2022/04/27 03:15:16] - 25 	 186.2 	 	 0.0010 	 1.5454 	 7 	 0.7387 	 0.3809
[2022/04/27 03:18:29] - 26 	 187.1 	 	 0.0010 	 1.5344 	 7 	 0.7445 	 0.3719
[2022/04/27 03:21:41] - 27 	 185.8 	 	 0.0010 	 1.5323 	 7 	 0.7469 	 0.3715
[2022/04/27 03:24:52] - 28 	 186.0 	 	 0.0010 	 1.5267 	 7 	 0.7500 	 0.3723
[2022/04/27 03:28:05] - 29 	 186.3 	 	 0.0010 	 1.5241 	 7 	 0.7496 	 0.3715
[2022/04/27 03:31:16] - 30 	 186.0 	 	 0.0010 	 1.5175 	 7 	 0.7457 	 0.3832
[2022/04/27 03:34:29] - 31 	 186.4 	 	 0.0010 	 1.5114 	 7 	 0.7480 	 0.3949
[2022/04/27 03:37:36] - 32 	 180.9 	 	 0.0010 	 1.5103 	 7 	 0.7461 	 0.3805
[2022/04/27 03:40:43] - 33 	 181.4 	 	 0.0010 	 1.5048 	 7 	 0.7527 	 0.3734
[2022/04/27 03:43:53] - 34 	 184.8 	 	 0.0010 	 1.5009 	 7 	 0.7535 	 0.3742
[2022/04/27 03:47:03] - 35 	 183.7 	 	 0.0010 	 1.4991 	 7 	 0.7508 	 0.3828
[2022/04/27 03:50:13] - 36 	 184.4 	 	 0.0010 	 1.4959 	 7 	 0.7465 	 0.3730
[2022/04/27 03:53:24] - 37 	 185.6 	 	 0.0010 	 1.4936 	 7 	 0.7461 	 0.3816
[2022/04/27 03:56:29] - 38 	 179.1 	 	 0.0010 	 1.4885 	 7 	 0.7555 	 0.3691
[2022/04/27 03:59:33] - 39 	 178.4 	 	 0.0001 	 1.4700 	 7 	 0.7527 	 0.3828
[2022/04/27 04:02:37] - 40 	 178.3 	 	 0.0001 	 1.4685 	 7 	 0.7535 	 0.3836
[2022/04/27 04:05:41] - 41 	 178.4 	 	 0.0001 	 1.4665 	 7 	 0.7574 	 0.3812
[2022/04/27 04:08:45] - 42 	 178.3 	 	 0.0001 	 1.4673 	 7 	 0.7562 	 0.3855
[2022/04/27 04:11:50] - 43 	 178.8 	 	 0.0001 	 1.4693 	 7 	 0.7527 	 0.3910
[2022/04/27 04:14:56] - 44 	 181.2 	 	 0.0001 	 1.4655 	 7 	 0.7602 	 0.3883
[2022/04/27 04:18:05] - 45 	 182.7 	 	 0.0001 	 1.4629 	 7 	 0.7578 	 0.3859
[2022/04/27 04:21:12] - 46 	 181.6 	 	 0.0001 	 1.4666 	 7 	 0.7625 	 0.3836
[2022/04/27 04:24:20] - 47 	 181.9 	 	 0.0001 	 1.4622 	 7 	 0.7559 	 0.3852
[2022/04/27 04:27:24] - 48 	 179.1 	 	 0.0001 	 1.4595 	 7 	 0.7551 	 0.3875
[2022/04/27 04:30:27] - 49 	 177.1 	 	 0.0001 	 1.4647 	 7 	 0.7594 	 0.3840
[2022/04/27 04:30:27] - Total train time: 150.2490 minutes
[2022/04/27 04:30:27] - Best checkpoint at 31, 0.394921875
