[2022/05/04 20:53:26] - Namespace(batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', dynamictau=False, epochs=50, epsilon=8, fname='output_dense', lr=0.01, model='dense', momentum=0.9, normalization='std', num_steps=5, omega=0.001, out_dir='fat_out', rand_init=True, save_model=True, seed=0, step_size=2.0, tau=3, weight_decay=0.0005, wide_factor=10)
[2022/05/04 20:53:27] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 #BP 	 Val Acc 	 PGD Acc
[2022/05/04 20:57:30] - 0 	 226.1 	 	 0.0100 	 2.0119 	 4 	 0.3988 	 0.2313
[2022/05/04 21:01:10] - 1 	 203.1 	 	 0.0100 	 1.8843 	 4 	 0.4469 	 0.2574
[2022/05/04 21:04:48] - 2 	 202.1 	 	 0.0100 	 1.8201 	 4 	 0.4953 	 0.2512
[2022/05/04 21:08:28] - 3 	 203.0 	 	 0.0100 	 1.7723 	 4 	 0.5070 	 0.2820
[2022/05/04 21:12:06] - 4 	 201.6 	 	 0.0100 	 1.7306 	 4 	 0.5414 	 0.3160
[2022/05/04 21:15:46] - 5 	 202.8 	 	 0.0100 	 1.6897 	 5 	 0.5730 	 0.3187
[2022/05/04 21:19:24] - 6 	 201.4 	 	 0.0100 	 1.6563 	 5 	 0.5734 	 0.3285
[2022/05/04 21:23:03] - 7 	 202.3 	 	 0.0100 	 1.6275 	 5 	 0.5777 	 0.3246
[2022/05/04 21:26:42] - 8 	 203.4 	 	 0.0100 	 1.5991 	 5 	 0.5879 	 0.3215
[2022/05/04 21:30:21] - 9 	 202.3 	 	 0.0100 	 1.5703 	 5 	 0.6246 	 0.3211
[2022/05/04 21:34:01] - 10 	 203.6 	 	 0.0100 	 1.5459 	 5 	 0.6293 	 0.3242
[2022/05/04 21:37:41] - 11 	 203.3 	 	 0.0100 	 1.5226 	 5 	 0.6523 	 0.3480
[2022/05/04 21:41:20] - 12 	 202.7 	 	 0.0100 	 1.5050 	 5 	 0.6613 	 0.3551
[2022/05/04 21:45:01] - 13 	 203.8 	 	 0.0100 	 1.4851 	 5 	 0.6629 	 0.3637
[2022/05/04 21:48:41] - 14 	 203.4 	 	 0.0100 	 1.4711 	 5 	 0.6719 	 0.3508
[2022/05/04 21:52:20] - 15 	 203.2 	 	 0.0100 	 1.4507 	 5 	 0.6762 	 0.3492
[2022/05/04 21:56:01] - 16 	 203.8 	 	 0.0100 	 1.4395 	 5 	 0.6715 	 0.3777
[2022/05/04 21:59:41] - 17 	 203.7 	 	 0.0100 	 1.4233 	 5 	 0.6766 	 0.3727
[2022/05/04 22:03:22] - 18 	 204.2 	 	 0.0100 	 1.4108 	 5 	 0.7000 	 0.3582
[2022/05/04 22:07:03] - 19 	 204.7 	 	 0.0100 	 1.3992 	 5 	 0.7109 	 0.3691
[2022/05/04 22:10:45] - 20 	 205.0 	 	 0.0100 	 1.3851 	 5 	 0.6937 	 0.3777
[2022/05/04 22:14:26] - 21 	 204.6 	 	 0.0100 	 1.3780 	 5 	 0.7141 	 0.3652
[2022/05/04 22:18:06] - 22 	 204.1 	 	 0.0100 	 1.3672 	 5 	 0.7039 	 0.3871
[2022/05/04 22:21:50] - 23 	 207.3 	 	 0.0100 	 1.3538 	 5 	 0.7043 	 0.3879
[2022/05/04 22:25:33] - 24 	 206.2 	 	 0.0010 	 1.2881 	 5 	 0.7465 	 0.4078
[2022/05/04 22:29:17] - 25 	 206.9 	 	 0.0010 	 1.2691 	 5 	 0.7414 	 0.4129
[2022/05/04 22:32:59] - 26 	 205.9 	 	 0.0010 	 1.2591 	 5 	 0.7410 	 0.4113
[2022/05/04 22:36:41] - 27 	 205.6 	 	 0.0010 	 1.2521 	 5 	 0.7461 	 0.4117
[2022/05/04 22:40:25] - 28 	 207.2 	 	 0.0010 	 1.2468 	 5 	 0.7422 	 0.4184
[2022/05/04 22:44:08] - 29 	 206.8 	 	 0.0010 	 1.2429 	 5 	 0.7508 	 0.4156
[2022/05/04 22:47:44] - 30 	 199.5 	 	 0.0010 	 1.2390 	 5 	 0.7488 	 0.4164
[2022/05/04 22:51:18] - 31 	 198.9 	 	 0.0010 	 1.2355 	 5 	 0.7457 	 0.4188
[2022/05/04 22:54:52] - 32 	 197.8 	 	 0.0010 	 1.2324 	 5 	 0.7449 	 0.4223
[2022/05/04 22:58:27] - 33 	 198.6 	 	 0.0010 	 1.2286 	 5 	 0.7438 	 0.4145
[2022/05/04 23:02:00] - 34 	 198.0 	 	 0.0010 	 1.2244 	 5 	 0.7496 	 0.4152
[2022/05/04 23:05:34] - 35 	 198.0 	 	 0.0010 	 1.2217 	 5 	 0.7438 	 0.4160
[2022/05/04 23:09:08] - 36 	 198.1 	 	 0.0010 	 1.2220 	 5 	 0.7539 	 0.4148
[2022/05/04 23:12:43] - 37 	 198.3 	 	 0.0010 	 1.2164 	 5 	 0.7508 	 0.4160
[2022/05/04 23:16:16] - 38 	 198.0 	 	 0.0010 	 1.2143 	 5 	 0.7508 	 0.4164
[2022/05/04 23:19:50] - 39 	 198.1 	 	 0.0001 	 1.1997 	 5 	 0.7551 	 0.4184
[2022/05/04 23:23:26] - 40 	 199.2 	 	 0.0001 	 1.1963 	 5 	 0.7500 	 0.4160
[2022/05/04 23:27:00] - 41 	 198.3 	 	 0.0001 	 1.1936 	 5 	 0.7547 	 0.4195
[2022/05/04 23:30:34] - 42 	 197.9 	 	 0.0001 	 1.1925 	 5 	 0.7547 	 0.4160
[2022/05/04 23:34:09] - 43 	 198.9 	 	 0.0001 	 1.1926 	 5 	 0.7555 	 0.4191
[2022/05/04 23:37:42] - 44 	 197.7 	 	 0.0001 	 1.1901 	 5 	 0.7566 	 0.4188
[2022/05/04 23:41:16] - 45 	 198.2 	 	 0.0001 	 1.1902 	 5 	 0.7543 	 0.4215
[2022/05/04 23:44:49] - 46 	 198.1 	 	 0.0001 	 1.1929 	 5 	 0.7539 	 0.4215
[2022/05/04 23:48:22] - 47 	 196.7 	 	 0.0001 	 1.1909 	 5 	 0.7562 	 0.4168
[2022/05/04 23:51:58] - 48 	 199.7 	 	 0.0001 	 1.1903 	 5 	 0.7512 	 0.4180
[2022/05/04 23:55:33] - 49 	 199.4 	 	 0.0001 	 1.1880 	 5 	 0.7535 	 0.4172
[2022/05/04 23:55:33] - Total train time: 168.5254 minutes
[2022/05/04 23:55:33] - Best checkpoint at 32, 0.422265625
