[2021/03/20 23:16:09] - Namespace(batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', dynamictau=False, epochs=50, epsilon=8, fname='output_pre', lr=0.05, model='pre', momentum=0.9, num_steps=5, omega=0.001, out_dir='fat_out', rand_init=True, save_model=True, seed=0, step_size=2, tau=3, weight_decay=0.0005, wide_factor=10)
[2021/03/20 23:16:10] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 #BP 	 Val Acc 	 PGD Acc
[2021/03/20 23:18:12] - 0 	 112.9 	 	 0.0500 	 2.0228 	 4 	 0.3715 	 0.2246
[2021/03/20 23:20:08] - 1 	 108.2 	 	 0.0500 	 1.8497 	 4 	 0.4875 	 0.2676
[2021/03/20 23:22:07] - 2 	 109.9 	 	 0.0500 	 1.7535 	 4 	 0.5551 	 0.3039
[2021/03/20 23:24:05] - 3 	 108.9 	 	 0.0500 	 1.6741 	 5 	 0.5609 	 0.3199
[2021/03/20 23:26:02] - 4 	 108.5 	 	 0.0500 	 1.6133 	 5 	 0.5891 	 0.3312
[2021/03/20 23:28:01] - 5 	 110.0 	 	 0.0500 	 1.5659 	 5 	 0.6363 	 0.3520
[2021/03/20 23:30:00] - 6 	 110.5 	 	 0.0500 	 1.5276 	 5 	 0.6332 	 0.3555
[2021/03/20 23:31:58] - 7 	 109.5 	 	 0.0500 	 1.4941 	 5 	 0.6687 	 0.3734
[2021/03/20 23:33:56] - 8 	 109.3 	 	 0.0500 	 1.4664 	 5 	 0.7027 	 0.3695
[2021/03/20 23:35:54] - 9 	 109.6 	 	 0.0500 	 1.4414 	 5 	 0.6996 	 0.3926
[2021/03/20 23:37:54] - 10 	 110.9 	 	 0.0500 	 1.4172 	 5 	 0.6719 	 0.4051
[2021/03/20 23:39:53] - 11 	 110.2 	 	 0.0500 	 1.3964 	 5 	 0.7004 	 0.3848
[2021/03/20 23:41:51] - 12 	 109.0 	 	 0.0500 	 1.3810 	 5 	 0.7168 	 0.3777
[2021/03/20 23:43:49] - 13 	 109.4 	 	 0.0500 	 1.3691 	 5 	 0.7207 	 0.4117
[2021/03/20 23:45:48] - 14 	 110.4 	 	 0.0500 	 1.3539 	 5 	 0.6992 	 0.3973
[2021/03/20 23:47:47] - 15 	 110.4 	 	 0.0500 	 1.3367 	 5 	 0.7285 	 0.4074
[2021/03/20 23:49:46] - 16 	 110.2 	 	 0.0500 	 1.3297 	 5 	 0.7207 	 0.4180
[2021/03/20 23:51:45] - 17 	 110.4 	 	 0.0500 	 1.3184 	 5 	 0.7316 	 0.4207
[2021/03/20 23:53:43] - 18 	 109.5 	 	 0.0500 	 1.3103 	 5 	 0.7262 	 0.4238
[2021/03/20 23:55:43] - 19 	 110.7 	 	 0.0500 	 1.3017 	 5 	 0.7320 	 0.4074
[2021/03/20 23:57:41] - 20 	 110.0 	 	 0.0500 	 1.2910 	 5 	 0.7188 	 0.4188
[2021/03/20 23:59:40] - 21 	 110.2 	 	 0.0500 	 1.2865 	 5 	 0.7539 	 0.4266
[2021/03/21 00:01:39] - 22 	 109.9 	 	 0.0500 	 1.2756 	 5 	 0.7586 	 0.4207
[2021/03/21 00:03:37] - 23 	 110.2 	 	 0.0500 	 1.2699 	 5 	 0.7379 	 0.4094
[2021/03/21 00:05:38] - 24 	 112.0 	 	 0.0050 	 1.1285 	 5 	 0.8055 	 0.4754
[2021/03/21 00:07:38] - 25 	 111.4 	 	 0.0050 	 1.0707 	 5 	 0.7992 	 0.4867
