[2022/04/27 05:48:02] - Namespace(batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', dynamictau=False, epochs=50, epsilon=8, fname='output_vgg16', lr=0.01, model='vgg16', momentum=0.9, normalization='std', num_steps=5, omega=0.001, out_dir='fat_out', rand_init=True, save_model=True, seed=0, step_size=2, tau=3, weight_decay=0.0005, wide_factor=10)
[2022/04/27 05:48:04] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 #BP 	 Val Acc 	 PGD Acc
[2022/04/27 05:49:41] - 0 	 90.7 	 	 0.0100 	 2.0750 	 4 	 0.4254 	 0.2445
[2022/04/27 05:51:09] - 1 	 81.8 	 	 0.0100 	 1.8623 	 4 	 0.4637 	 0.2535
[2022/04/27 05:52:35] - 2 	 80.8 	 	 0.0100 	 1.7791 	 4 	 0.5168 	 0.3094
[2022/04/27 05:54:02] - 3 	 80.3 	 	 0.0100 	 1.7173 	 4 	 0.5477 	 0.2992
[2022/04/27 05:55:30] - 4 	 82.6 	 	 0.0100 	 1.6671 	 5 	 0.5742 	 0.3465
[2022/04/27 05:56:58] - 5 	 81.0 	 	 0.0100 	 1.6232 	 5 	 0.5754 	 0.3289
[2022/04/27 05:58:25] - 6 	 81.1 	 	 0.0100 	 1.5899 	 5 	 0.6105 	 0.3262
[2022/04/27 05:59:51] - 7 	 80.9 	 	 0.0100 	 1.5561 	 5 	 0.6262 	 0.3391
[2022/04/27 06:01:19] - 8 	 81.1 	 	 0.0100 	 1.5251 	 5 	 0.6328 	 0.3531
[2022/04/27 06:02:46] - 9 	 81.3 	 	 0.0100 	 1.5004 	 5 	 0.6559 	 0.3621
[2022/04/27 06:04:15] - 10 	 82.7 	 	 0.0100 	 1.4790 	 5 	 0.6570 	 0.3551
[2022/04/27 06:05:42] - 11 	 81.2 	 	 0.0100 	 1.4582 	 5 	 0.6840 	 0.3707
[2022/04/27 06:07:10] - 12 	 81.6 	 	 0.0100 	 1.4402 	 5 	 0.6656 	 0.3812
[2022/04/27 06:08:37] - 13 	 81.0 	 	 0.0100 	 1.4160 	 5 	 0.6961 	 0.3770
[2022/04/27 06:10:04] - 14 	 81.6 	 	 0.0100 	 1.3994 	 5 	 0.7035 	 0.3844
[2022/04/27 06:11:32] - 15 	 81.3 	 	 0.0100 	 1.3863 	 5 	 0.6758 	 0.3973
[2022/04/27 06:12:58] - 16 	 80.4 	 	 0.0100 	 1.3717 	 5 	 0.7215 	 0.3730
[2022/04/27 06:14:25] - 17 	 81.2 	 	 0.0100 	 1.3560 	 5 	 0.7043 	 0.4039
[2022/04/27 06:15:53] - 18 	 81.2 	 	 0.0100 	 1.3414 	 5 	 0.7180 	 0.3867
[2022/04/27 06:17:19] - 19 	 80.4 	 	 0.0100 	 1.3261 	 5 	 0.7152 	 0.4035
[2022/04/27 06:18:46] - 20 	 81.0 	 	 0.0100 	 1.3139 	 5 	 0.7195 	 0.3988
