[2022/05/05 03:07:43] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', dynamictau=False, epochs=50, epsilon=8, fname='output_dense', lr=0.01, model='dense', momentum=0.9, normalization='std', num_steps=10, omega=0.0, out_dir='fat_trade_out', rand_init=True, resume='', save_model=True, seed=0, step_size=2.0, tau=3, weight_decay=0.0005, wide_factor=10)
[2022/05/05 03:07:44] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 #BP 	 Val Acc 	 PGD Acc
[2022/05/05 03:17:04] - 0 	 543.5 	 	 0.0100 	 1.9158 	 5 	 0.4285 	 0.1898
[2022/05/05 03:26:03] - 1 	 522.3 	 	 0.0100 	 1.7555 	 6 	 0.4934 	 0.2148
[2022/05/05 03:35:06] - 2 	 526.2 	 	 0.0100 	 1.6907 	 6 	 0.5262 	 0.2523
[2022/05/05 03:44:14] - 3 	 531.1 	 	 0.0100 	 1.6397 	 6 	 0.5406 	 0.2363
[2022/05/05 03:53:26] - 4 	 535.0 	 	 0.0100 	 1.6046 	 6 	 0.5785 	 0.2715
[2022/05/05 04:02:59] - 5 	 555.8 	 	 0.0100 	 1.5719 	 6 	 0.6102 	 0.2672
[2022/05/05 04:12:21] - 6 	 546.2 	 	 0.0100 	 1.5439 	 6 	 0.6062 	 0.2879
[2022/05/05 04:21:49] - 7 	 550.9 	 	 0.0100 	 1.5204 	 6 	 0.6211 	 0.2852
[2022/05/05 04:31:16] - 8 	 551.0 	 	 0.0100 	 1.4995 	 6 	 0.6395 	 0.2820
[2022/05/05 04:40:45] - 9 	 551.6 	 	 0.0100 	 1.4817 	 6 	 0.6383 	 0.3055
[2022/05/05 04:50:16] - 10 	 554.5 	 	 0.0100 	 1.4626 	 6 	 0.6496 	 0.3215
[2022/05/05 04:59:46] - 11 	 553.4 	 	 0.0100 	 1.4478 	 6 	 0.6520 	 0.3055
[2022/05/05 05:09:17] - 12 	 555.1 	 	 0.0100 	 1.4329 	 6 	 0.6469 	 0.3371
[2022/05/05 05:18:53] - 13 	 558.9 	 	 0.0100 	 1.4207 	 6 	 0.6738 	 0.3352
[2022/05/05 05:28:25] - 14 	 556.0 	 	 0.0100 	 1.4114 	 6 	 0.6691 	 0.3250
[2022/05/05 05:38:00] - 15 	 558.4 	 	 0.0100 	 1.3987 	 7 	 0.6695 	 0.3301
[2022/05/05 05:47:34] - 16 	 557.5 	 	 0.0100 	 1.3895 	 7 	 0.6855 	 0.3402
[2022/05/05 05:57:09] - 17 	 558.2 	 	 0.0100 	 1.3796 	 7 	 0.6816 	 0.3531
[2022/05/05 06:06:45] - 18 	 559.5 	 	 0.0100 	 1.3718 	 7 	 0.6922 	 0.3516
[2022/05/05 06:16:20] - 19 	 559.3 	 	 0.0100 	 1.3626 	 7 	 0.6930 	 0.3453
[2022/05/05 06:28:35] - 20 	 700.5 	 	 0.0100 	 1.3551 	 7 	 0.7152 	 0.3613
[2022/05/05 06:54:03] - 21 	 1493.6 	 	 0.0100 	 1.3503 	 7 	 0.6953 	 0.3676
[2022/05/05 07:19:29] - 22 	 1491.3 	 	 0.0100 	 1.3399 	 7 	 0.7035 	 0.3703
[2022/05/05 07:39:04] - 23 	 1159.1 	 	 0.0100 	 1.3360 	 7 	 0.7141 	 0.3637
[2022/05/05 07:48:46] - 24 	 564.8 	 	 0.0010 	 1.2911 	 7 	 0.7258 	 0.3949
[2022/05/05 07:58:25] - 25 	 562.1 	 	 0.0010 	 1.2782 	 7 	 0.7316 	 0.3941
[2022/05/05 08:08:03] - 26 	 561.9 	 	 0.0010 	 1.2735 	 7 	 0.7340 	 0.3965
