[2021/03/20 16:09:56] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', dynamictau=False, epochs=50, epsilon=8, fname='output_pre', lr=0.05, model='pre', momentum=0.9, num_steps=10, omega=0.0, out_dir='fat_trade_out', rand_init=True, resume='', save_model=True, seed=0, step_size=2, tau=3, weight_decay=0.0005, wide_factor=10)
[2021/03/20 16:09:57] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 #BP 	 Val Acc 	 PGD Acc
[2021/03/20 16:14:26] - 0 	 260.8 	 	 0.0500 	 1.8935 	 5 	 0.4316 	 0.2055
[2021/03/20 16:19:00] - 1 	 264.4 	 	 0.0500 	 1.7031 	 6 	 0.5160 	 0.2531
[2021/03/20 16:23:38] - 2 	 269.4 	 	 0.0500 	 1.6149 	 6 	 0.5754 	 0.2773
[2021/03/20 16:28:20] - 3 	 273.4 	 	 0.0500 	 1.5483 	 6 	 0.5945 	 0.3191
[2021/03/20 16:33:04] - 4 	 274.3 	 	 0.0500 	 1.5018 	 6 	 0.6523 	 0.3168
[2021/03/20 16:37:50] - 5 	 277.8 	 	 0.0500 	 1.4651 	 6 	 0.6496 	 0.3121
[2021/03/20 16:42:37] - 6 	 277.9 	 	 0.0500 	 1.4386 	 6 	 0.6852 	 0.3246
[2021/03/20 16:47:25] - 7 	 278.8 	 	 0.0500 	 1.4124 	 6 	 0.6730 	 0.3547
[2021/03/20 16:52:13] - 8 	 279.7 	 	 0.0500 	 1.3949 	 7 	 0.6875 	 0.3570
[2021/03/20 16:57:03] - 9 	 280.4 	 	 0.0500 	 1.3767 	 7 	 0.6887 	 0.3609
[2021/03/20 17:01:53] - 10 	 280.8 	 	 0.0500 	 1.3618 	 7 	 0.6941 	 0.3586
[2021/03/20 17:06:41] - 11 	 280.0 	 	 0.0500 	 1.3467 	 7 	 0.7156 	 0.3707
[2021/03/20 17:11:31] - 12 	 280.2 	 	 0.0500 	 1.3374 	 7 	 0.7129 	 0.3934
[2021/03/20 17:16:20] - 13 	 280.7 	 	 0.0500 	 1.3266 	 7 	 0.7332 	 0.3949
[2021/03/20 17:21:11] - 14 	 281.7 	 	 0.0500 	 1.3201 	 7 	 0.7324 	 0.4000
[2021/03/20 17:26:01] - 15 	 281.6 	 	 0.0500 	 1.3105 	 7 	 0.7266 	 0.3961
[2021/03/20 17:30:52] - 16 	 281.6 	 	 0.0500 	 1.3041 	 7 	 0.7363 	 0.3937
[2021/03/20 17:35:43] - 17 	 282.1 	 	 0.0500 	 1.2983 	 7 	 0.7371 	 0.4016
[2021/03/20 17:40:34] - 18 	 282.1 	 	 0.0500 	 1.2923 	 7 	 0.7492 	 0.3895
[2021/03/20 17:45:22] - 19 	 279.5 	 	 0.0500 	 1.2849 	 7 	 0.7441 	 0.4074
[2021/03/20 17:50:09] - 20 	 278.8 	 	 0.0500 	 1.2805 	 7 	 0.7410 	 0.4023
[2021/03/20 17:54:56] - 21 	 278.3 	 	 0.0500 	 1.2763 	 7 	 0.7375 	 0.3973
[2021/03/20 17:59:44] - 22 	 279.0 	 	 0.0500 	 1.2713 	 7 	 0.7695 	 0.4012
[2021/03/20 18:04:32] - 23 	 278.9 	 	 0.0500 	 1.2685 	 7 	 0.7434 	 0.4098
[2021/03/20 18:09:23] - 24 	 282.9 	 	 0.0050 	 1.1691 	 7 	 0.7887 	 0.4609
[2021/03/20 18:14:16] - 25 	 283.9 	 	 0.0050 	 1.1340 	 7 	 0.7926 	 0.4684
[2021/03/20 18:19:09] - 26 	 284.3 	 	 0.0050 	 1.1199 	 7 	 0.7957 	 0.4746
[2021/03/20 18:24:02] - 27 	 284.0 	 	 0.0050 	 1.1100 	 7 	 0.7977 	 0.4730
[2021/03/20 18:28:54] - 28 	 284.1 	 	 0.0050 	 1.1021 	 7 	 0.7926 	 0.4781
[2021/03/20 18:33:48] - 29 	 285.2 	 	 0.0050 	 1.0948 	 7 	 0.7984 	 0.4809
[2021/03/20 18:38:44] - 30 	 286.8 	 	 0.0050 	 1.0891 	 7 	 0.7918 	 0.4809
[2021/03/20 18:43:41] - 31 	 288.4 	 	 0.0050 	 1.0847 	 7 	 0.7980 	 0.4832
[2021/03/20 18:48:40] - 32 	 289.6 	 	 0.0050 	 1.0781 	 7 	 0.7969 	 0.4691
