[2022/04/27 08:24:28] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', dynamictau=False, epochs=50, epsilon=8, fname='output_vgg16', lr=0.01, model='vgg16', momentum=0.9, normalization='std', num_steps=10, omega=0.0, out_dir='fat_trade_out', rand_init=True, resume='', save_model=True, seed=0, step_size=2, tau=3, weight_decay=0.0005, wide_factor=10)
[2022/04/27 08:24:30] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 #BP 	 Val Acc 	 PGD Acc
[2022/04/27 08:27:39] - 0 	 182.8 	 	 0.0100 	 1.9684 	 5 	 0.4641 	 0.2309
[2022/04/27 08:30:39] - 1 	 174.4 	 	 0.0100 	 1.7621 	 5 	 0.4734 	 0.2254
[2022/04/27 08:33:40] - 2 	 175.2 	 	 0.0100 	 1.6778 	 6 	 0.5559 	 0.2770
[2022/04/27 08:36:44] - 3 	 177.4 	 	 0.0100 	 1.6173 	 6 	 0.5887 	 0.3082
[2022/04/27 08:39:47] - 4 	 177.7 	 	 0.0100 	 1.5737 	 6 	 0.6078 	 0.3074
[2022/04/27 08:42:53] - 5 	 179.3 	 	 0.0100 	 1.5355 	 6 	 0.6473 	 0.3160
[2022/04/27 08:46:05] - 6 	 186.0 	 	 0.0100 	 1.5078 	 6 	 0.6328 	 0.3121
[2022/04/27 08:49:20] - 7 	 188.9 	 	 0.0100 	 1.4844 	 6 	 0.6473 	 0.3129
[2022/04/27 08:52:35] - 8 	 188.6 	 	 0.0100 	 1.4626 	 6 	 0.6617 	 0.3164
[2022/04/27 08:55:52] - 9 	 190.6 	 	 0.0100 	 1.4428 	 6 	 0.6660 	 0.3238
[2022/04/27 08:59:07] - 10 	 189.3 	 	 0.0100 	 1.4282 	 6 	 0.6676 	 0.3484
[2022/04/27 09:02:22] - 11 	 189.0 	 	 0.0100 	 1.4143 	 6 	 0.6980 	 0.3543
[2022/04/27 09:05:38] - 12 	 189.9 	 	 0.0100 	 1.3994 	 7 	 0.6879 	 0.3457
