[2022/05/02 12:00:01] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output_dense8', init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='dense', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/02 12:00:04] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/05/02 12:05:12] - 0 	 290.1 	 	 0.0500 	 1.9216 	 0.2864 	 0.3691	 0.2023
[2022/05/02 12:10:21] - 1 	 290.8 	 	 0.0500 	 1.7415 	 0.3488 	 0.4566	 0.2801
[2022/05/02 12:15:31] - 2 	 291.5 	 	 0.0500 	 1.6491 	 0.3812 	 0.4555	 0.2156
[2022/05/02 12:20:39] - 3 	 289.9 	 	 0.0500 	 1.5960 	 0.4025 	 0.5258	 0.2527
[2022/05/02 12:25:48] - 4 	 290.3 	 	 0.0500 	 1.5662 	 0.4135 	 0.4520	 0.2691
[2022/05/02 12:30:55] - 5 	 289.4 	 	 0.0500 	 1.5454 	 0.4207 	 0.5176	 0.2516
[2022/05/02 12:36:07] - 6 	 293.6 	 	 0.0500 	 1.5300 	 0.4292 	 0.4824	 0.2781
[2022/05/02 12:41:16] - 7 	 291.5 	 	 0.0500 	 1.5170 	 0.4305 	 0.5297	 0.2758
[2022/05/02 12:46:28] - 8 	 293.9 	 	 0.0500 	 1.5095 	 0.4368 	 0.5402	 0.2723
[2022/05/02 12:51:40] - 9 	 293.3 	 	 0.0500 	 1.4998 	 0.4392 	 0.5691	 0.2777
[2022/05/02 12:56:54] - 10 	 295.6 	 	 0.0500 	 1.4941 	 0.4413 	 0.5102	 0.2484
[2022/05/02 13:02:05] - 11 	 292.8 	 	 0.0500 	 1.4885 	 0.4438 	 0.5543	 0.2746
[2022/05/02 13:07:15] - 12 	 292.4 	 	 0.0500 	 1.4854 	 0.4433 	 0.5078	 0.2629
[2022/05/02 13:12:26] - 13 	 293.1 	 	 0.0500 	 1.4818 	 0.4477 	 0.4996	 0.2414
[2022/05/02 13:17:38] - 14 	 292.9 	 	 0.0500 	 1.4778 	 0.4450 	 0.5227	 0.2422
[2022/05/02 13:22:53] - 15 	 297.1 	 	 0.0500 	 1.4867 	 0.4451 	 0.5590	 0.2910
[2022/05/02 13:28:05] - 16 	 293.4 	 	 0.0500 	 1.4794 	 0.4493 	 0.5348	 0.2570
[2022/05/02 13:33:20] - 17 	 297.5 	 	 0.0500 	 1.4804 	 0.4478 	 0.5539	 0.2926
[2022/05/02 13:38:32] - 18 	 293.4 	 	 0.0500 	 1.4753 	 0.4489 	 0.5117	 0.2641
[2022/05/02 13:43:43] - 19 	 293.6 	 	 0.0500 	 1.4716 	 0.4477 	 0.5465	 0.2906
[2022/05/02 13:48:55] - 20 	 293.6 	 	 0.0500 	 1.4683 	 0.4506 	 0.5496	 0.2707
[2022/05/02 13:54:08] - 21 	 294.5 	 	 0.0500 	 1.4671 	 0.4512 	 0.5598	 0.2785
[2022/05/02 13:59:21] - 22 	 294.6 	 	 0.0500 	 1.4679 	 0.4523 	 0.5496	 0.2418
[2022/05/02 14:04:34] - 23 	 295.0 	 	 0.0500 	 1.4666 	 0.4527 	 0.5445	 0.2750
[2022/05/02 14:09:48] - 24 	 295.0 	 	 0.0050 	 1.4699 	 0.4525 	 0.5559	 0.2828
