[2021/03/20 20:15:28] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output_pre4', init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=4, model='pre', momentum=0.9, out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2021/03/20 20:15:30] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2021/03/20 20:17:23] - 0 	 99.9 	 	 0.0500 	 2.0371 	 0.2402 	 0.4094	 0.2066
[2021/03/20 20:19:16] - 1 	 99.6 	 	 0.0500 	 1.8737 	 0.2924 	 0.4699	 0.2437
[2021/03/20 20:21:09] - 2 	 99.7 	 	 0.0500 	 1.7818 	 0.3222 	 0.5414	 0.2828
[2021/03/20 20:23:02] - 3 	 99.7 	 	 0.0500 	 1.7159 	 0.3435 	 0.5898	 0.2828
[2021/03/20 20:24:55] - 4 	 99.6 	 	 0.0500 	 1.6746 	 0.3622 	 0.5617	 0.3164
[2021/03/20 20:26:49] - 5 	 99.6 	 	 0.0500 	 1.6402 	 0.3736 	 0.6020	 0.3066
[2021/03/20 20:28:42] - 6 	 99.6 	 	 0.0500 	 1.6106 	 0.3827 	 0.6062	 0.3074
[2021/03/20 20:30:35] - 7 	 99.7 	 	 0.0500 	 1.5956 	 0.3890 	 0.6316	 0.3125
[2021/03/20 20:32:28] - 8 	 99.6 	 	 0.0500 	 1.5775 	 0.3934 	 0.6680	 0.3254
[2021/03/20 20:34:21] - 9 	 99.7 	 	 0.0500 	 1.5629 	 0.4008 	 0.6344	 0.3141
[2021/03/20 20:36:14] - 10 	 99.7 	 	 0.0500 	 1.5564 	 0.4023 	 0.6687	 0.3289
[2021/03/20 20:38:07] - 11 	 99.6 	 	 0.0500 	 1.5440 	 0.4094 	 0.6453	 0.3355
[2021/03/20 20:40:00] - 12 	 99.6 	 	 0.0500 	 1.5359 	 0.4095 	 0.6172	 0.3137
[2021/03/20 20:41:53] - 13 	 99.6 	 	 0.0500 	 1.5271 	 0.4146 	 0.6523	 0.3176
[2021/03/20 20:43:46] - 14 	 99.7 	 	 0.0500 	 1.5211 	 0.4166 	 0.6477	 0.3191
[2021/03/20 20:45:39] - 15 	 99.6 	 	 0.0500 	 1.5187 	 0.4181 	 0.6281	 0.3402
[2021/03/20 20:47:33] - 16 	 99.7 	 	 0.0500 	 1.5106 	 0.4209 	 0.6398	 0.2742
[2021/03/20 20:49:26] - 17 	 99.6 	 	 0.0500 	 1.5058 	 0.4209 	 0.6625	 0.3324
[2021/03/20 20:51:19] - 18 	 99.7 	 	 0.0500 	 1.5034 	 0.4230 	 0.6664	 0.3250
[2021/03/20 20:53:12] - 19 	 99.6 	 	 0.0500 	 1.4999 	 0.4233 	 0.6324	 0.2934
[2021/03/20 20:55:05] - 20 	 99.6 	 	 0.0500 	 1.4946 	 0.4257 	 0.6617	 0.3531
[2021/03/20 20:56:58] - 21 	 99.7 	 	 0.0500 	 1.4976 	 0.4237 	 0.6844	 0.3191
[2021/03/20 20:58:51] - 22 	 99.8 	 	 0.0500 	 1.4957 	 0.4257 	 0.6738	 0.2898
[2021/03/20 21:00:44] - 23 	 99.8 	 	 0.0500 	 1.4916 	 0.4248 	 0.6422	 0.2812
[2021/03/20 21:02:38] - 24 	 99.8 	 	 0.0050 	 1.4916 	 0.4262 	 0.6777	 0.3246
[2021/03/20 21:04:31] - 25 	 100.1 	 	 0.0050 	 1.3988 	 0.4588 	 0.7801	 0.4477
[2021/03/20 21:06:24] - 26 	 99.5 	 	 0.0050 	 1.3310 	 0.4828 	 0.7926	 0.4602
[2021/03/20 21:08:17] - 27 	 99.3 	 	 0.0050 	 1.2991 	 0.4930 	 0.8027	 0.4516
[2021/03/20 21:10:10] - 28 	 99.4 	 	 0.0050 	 1.2777 	 0.5009 	 0.8008	 0.4551
[2021/03/20 21:12:03] - 29 	 99.7 	 	 0.0050 	 1.2548 	 0.5080 	 0.8086	 0.4488
[2021/03/20 21:13:56] - 30 	 99.5 	 	 0.0050 	 1.2378 	 0.5106 	 0.8125	 0.4555
[2021/03/20 21:15:49] - 31 	 99.5 	 	 0.0050 	 1.2240 	 0.5150 	 0.8055	 0.4578
[2021/03/20 21:17:42] - 32 	 99.8 	 	 0.0050 	 1.2123 	 0.5175 	 0.8133	 0.4504
[2021/03/20 21:19:36] - 33 	 99.7 	 	 0.0050 	 1.1985 	 0.5236 	 0.8156	 0.4590
[2021/03/20 21:21:29] - 34 	 99.6 	 	 0.0050 	 1.1821 	 0.5299 	 0.8164	 0.4484
[2021/03/20 21:23:22] - 35 	 99.5 	 	 0.0050 	 1.1739 	 0.5327 	 0.8199	 0.4461
[2021/03/20 21:25:15] - 36 	 99.7 	 	 0.0050 	 1.1651 	 0.5341 	 0.8180	 0.4430
[2021/03/20 21:27:08] - 37 	 99.6 	 	 0.0050 	 1.1546 	 0.5352 	 0.8227	 0.4453
[2021/03/20 21:29:01] - 38 	 99.6 	 	 0.0050 	 1.1436 	 0.5405 	 0.8129	 0.4328
[2021/03/20 21:30:54] - 39 	 99.5 	 	 0.0005 	 1.1392 	 0.5416 	 0.8215	 0.4437
[2021/03/20 21:32:47] - 40 	 99.7 	 	 0.0005 	 1.0763 	 0.5679 	 0.8461	 0.4809
[2021/03/20 21:34:41] - 41 	 99.7 	 	 0.0005 	 1.0312 	 0.5840 	 0.8492	 0.4855
[2021/03/20 21:36:34] - 42 	 99.5 	 	 0.0005 	 1.0130 	 0.5908 	 0.8551	 0.4824
[2021/03/20 21:38:27] - 43 	 99.8 	 	 0.0005 	 0.9985 	 0.5948 	 0.8543	 0.4789
[2021/03/20 21:40:21] - 44 	 99.9 	 	 0.0005 	 0.9865 	 0.5979 	 0.8539	 0.4680
[2021/03/20 21:42:14] - 45 	 99.6 	 	 0.0005 	 0.9770 	 0.6025 	 0.8504	 0.4813
[2021/03/20 21:44:07] - 46 	 99.8 	 	 0.0005 	 0.9665 	 0.6065 	 0.8586	 0.4738
[2021/03/20 21:46:01] - 47 	 100.0 	 	 0.0005 	 0.9575 	 0.6083 	 0.8520	 0.4770
[2021/03/20 21:47:54] - 48 	 99.7 	 	 0.0005 	 0.9453 	 0.6145 	 0.8590	 0.4633
[2021/03/20 21:49:47] - 49 	 99.7 	 	 0.0005 	 0.9395 	 0.6144 	 0.8527	 0.4727
[2021/03/20 21:49:47] - Total train time: 83.0547 minutes
[2021/03/20 21:49:47] - Best checkpoint at 41, 0.485546875
