[2022/04/26 21:55:35] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output_vgg166', init_tau=8, lr_max=0.01, lr_min=0.0, lr_schedule='multistep', max_iteration=6, model='vgg16', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/04/26 21:55:38] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/04/26 21:56:55] - 0 	 70.7 	 	 0.0100 	 1.9354 	 0.2767 	 0.4367	 0.2496
[2022/04/26 21:58:12] - 1 	 69.9 	 	 0.0100 	 1.7884 	 0.3263 	 0.4965	 0.2707
[2022/04/26 21:59:28] - 2 	 69.8 	 	 0.0100 	 1.7085 	 0.3543 	 0.5492	 0.2863
[2022/04/26 22:00:45] - 3 	 69.9 	 	 0.0100 	 1.6495 	 0.3756 	 0.5320	 0.2910
[2022/04/26 22:02:02] - 4 	 69.9 	 	 0.0100 	 1.6001 	 0.3925 	 0.6051	 0.3063
[2022/04/26 22:03:18] - 5 	 70.0 	 	 0.0100 	 1.5588 	 0.4069 	 0.6211	 0.3594
[2022/04/26 22:04:35] - 6 	 69.9 	 	 0.0100 	 1.5190 	 0.4220 	 0.6336	 0.3582
[2022/04/26 22:05:51] - 7 	 69.8 	 	 0.0100 	 1.4863 	 0.4313 	 0.6555	 0.3379
[2022/04/26 22:07:08] - 8 	 69.8 	 	 0.0100 	 1.4590 	 0.4424 	 0.6559	 0.3691
[2022/04/26 22:08:25] - 9 	 69.9 	 	 0.0100 	 1.4354 	 0.4491 	 0.6664	 0.3656
[2022/04/26 22:09:41] - 10 	 69.8 	 	 0.0100 	 1.4108 	 0.4560 	 0.6957	 0.3566
[2022/04/26 22:10:57] - 11 	 69.8 	 	 0.0100 	 1.3924 	 0.4667 	 0.6805	 0.3672
[2022/04/26 22:12:14] - 12 	 69.9 	 	 0.0100 	 1.3720 	 0.4699 	 0.7055	 0.3621
[2022/04/26 22:13:30] - 13 	 70.0 	 	 0.0100 	 1.3588 	 0.4771 	 0.6813	 0.3711
[2022/04/26 22:14:47] - 14 	 69.8 	 	 0.0100 	 1.3441 	 0.4808 	 0.6715	 0.3684
[2022/04/26 22:16:03] - 15 	 69.8 	 	 0.0100 	 1.3300 	 0.4865 	 0.7090	 0.3684
[2022/04/26 22:17:20] - 16 	 69.9 	 	 0.0100 	 1.3173 	 0.4893 	 0.6898	 0.3531
[2022/04/26 22:18:36] - 17 	 69.9 	 	 0.0100 	 1.3032 	 0.4953 	 0.7188	 0.3691
[2022/04/26 22:19:53] - 18 	 69.7 	 	 0.0100 	 1.2939 	 0.4958 	 0.6902	 0.3941
[2022/04/26 22:21:09] - 19 	 69.8 	 	 0.0100 	 1.2818 	 0.5026 	 0.7199	 0.3910
[2022/04/26 22:22:26] - 20 	 69.9 	 	 0.0100 	 1.2744 	 0.5039 	 0.7023	 0.3617
[2022/04/26 22:23:42] - 21 	 69.9 	 	 0.0100 	 1.2664 	 0.5084 	 0.7051	 0.3668
[2022/04/26 22:24:58] - 22 	 69.7 	 	 0.0100 	 1.2572 	 0.5088 	 0.6992	 0.3789
[2022/04/26 22:26:15] - 23 	 69.7 	 	 0.0100 	 1.2489 	 0.5117 	 0.7086	 0.3656
[2022/04/26 22:27:31] - 24 	 69.8 	 	 0.0010 	 1.2379 	 0.5145 	 0.6926	 0.3867
[2022/04/26 22:28:48] - 25 	 69.9 	 	 0.0010 	 1.2820 	 0.5019 	 0.7828	 0.4523
[2022/04/26 22:30:04] - 26 	 69.8 	 	 0.0010 	 1.2254 	 0.5184 	 0.7887	 0.4547
[2022/04/26 22:31:21] - 27 	 69.8 	 	 0.0010 	 1.2018 	 0.5255 	 0.7930	 0.4605
[2022/04/26 22:32:37] - 28 	 69.7 	 	 0.0010 	 1.1807 	 0.5312 	 0.8000	 0.4562
[2022/04/26 22:33:53] - 29 	 69.8 	 	 0.0010 	 1.1665 	 0.5357 	 0.8020	 0.4434
[2022/04/26 22:35:10] - 30 	 69.9 	 	 0.0010 	 1.1491 	 0.5401 	 0.7973	 0.4582
[2022/04/26 22:36:26] - 31 	 69.8 	 	 0.0010 	 1.1335 	 0.5456 	 0.7988	 0.4535
[2022/04/26 22:37:42] - 32 	 69.7 	 	 0.0010 	 1.1156 	 0.5512 	 0.8012	 0.4492
[2022/04/26 22:38:59] - 33 	 69.8 	 	 0.0010 	 1.1044 	 0.5528 	 0.7945	 0.4516
[2022/04/26 22:40:15] - 34 	 69.8 	 	 0.0010 	 1.0887 	 0.5589 	 0.7937	 0.4551
[2022/04/26 22:41:32] - 35 	 69.7 	 	 0.0010 	 1.0755 	 0.5624 	 0.7980	 0.4512
[2022/04/26 22:42:48] - 36 	 69.8 	 	 0.0010 	 1.0609 	 0.5686 	 0.8043	 0.4496
[2022/04/26 22:44:04] - 37 	 69.7 	 	 0.0010 	 1.0473 	 0.5716 	 0.8078	 0.4508
[2022/04/26 22:45:21] - 38 	 69.8 	 	 0.0010 	 1.0322 	 0.5746 	 0.8055	 0.4516
[2022/04/26 22:46:37] - 39 	 69.6 	 	 0.0001 	 1.0209 	 0.5778 	 0.8051	 0.4477
[2022/04/26 22:47:53] - 40 	 69.7 	 	 0.0001 	 1.0322 	 0.5742 	 0.8125	 0.4539
[2022/04/26 22:49:10] - 41 	 69.9 	 	 0.0001 	 1.0133 	 0.5783 	 0.8129	 0.4535
[2022/04/26 22:50:26] - 42 	 69.8 	 	 0.0001 	 1.0075 	 0.5808 	 0.8098	 0.4508
[2022/04/26 22:51:42] - 43 	 69.7 	 	 0.0001 	 0.9975 	 0.5853 	 0.8113	 0.4527
[2022/04/26 22:52:59] - 44 	 69.8 	 	 0.0001 	 0.9921 	 0.5876 	 0.8082	 0.4531
[2022/04/26 22:54:15] - 45 	 69.8 	 	 0.0001 	 0.9886 	 0.5886 	 0.8145	 0.4504
[2022/04/26 22:55:32] - 46 	 69.9 	 	 0.0001 	 0.9859 	 0.5892 	 0.8137	 0.4449
[2022/04/26 22:56:48] - 47 	 69.8 	 	 0.0001 	 0.9801 	 0.5909 	 0.8070	 0.4496
[2022/04/26 22:58:04] - 48 	 69.7 	 	 0.0001 	 0.9786 	 0.5887 	 0.8105	 0.4504
[2022/04/26 22:59:21] - 49 	 69.8 	 	 0.0001 	 0.9717 	 0.5916 	 0.8121	 0.4504
[2022/04/26 22:59:21] - Total train time: 58.1955 minutes
[2022/04/26 22:59:21] - Best checkpoint at 27, 0.460546875
