[2022/09/17 21:09:49] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=100, epsilon=8, fname='output_wide4', init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=4, model='wide', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/17 21:09:53] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/09/17 21:19:17] - 0 	 495.8 	 	 0.1000 	 2.0771 	 0.2239 	 0.2980	 0.1961
[2022/09/17 21:28:43] - 1 	 497.9 	 	 0.1000 	 1.9150 	 0.2803 	 0.4590	 0.2586
[2022/09/17 21:38:12] - 2 	 500.5 	 	 0.1000 	 1.8082 	 0.3177 	 0.4219	 0.1906
[2022/09/17 21:47:40] - 3 	 499.0 	 	 0.1000 	 1.7367 	 0.3420 	 0.5246	 0.2594
[2022/09/17 21:57:07] - 4 	 497.9 	 	 0.1000 	 1.6920 	 0.3597 	 0.5180	 0.2687
[2022/09/17 22:06:34] - 5 	 497.3 	 	 0.1000 	 1.6579 	 0.3741 	 0.5895	 0.3000
[2022/09/17 22:16:06] - 6 	 503.0 	 	 0.1000 	 1.6314 	 0.3816 	 0.5672	 0.2945
[2022/09/17 22:25:31] - 7 	 498.0 	 	 0.1000 	 1.6057 	 0.3895 	 0.5941	 0.2887
[2022/09/17 22:34:38] - 8 	 481.3 	 	 0.1000 	 1.5896 	 0.3968 	 0.5281	 0.2746
[2022/09/17 22:43:43] - 9 	 479.1 	 	 0.1000 	 1.5793 	 0.3982 	 0.5945	 0.2926
[2022/09/17 22:52:47] - 10 	 478.9 	 	 0.1000 	 1.5703 	 0.4057 	 0.5617	 0.2703
[2022/09/17 23:01:52] - 11 	 478.9 	 	 0.1000 	 1.5590 	 0.4072 	 0.5383	 0.2617
[2022/09/17 23:10:56] - 12 	 478.8 	 	 0.1000 	 1.5570 	 0.4092 	 0.6113	 0.3066
[2022/09/17 23:20:00] - 13 	 478.6 	 	 0.1000 	 1.5491 	 0.4102 	 0.5715	 0.2605
[2022/09/17 23:29:04] - 14 	 478.4 	 	 0.1000 	 1.5459 	 0.4123 	 0.5930	 0.3238
[2022/09/17 23:38:08] - 15 	 478.4 	 	 0.1000 	 1.5408 	 0.4163 	 0.6551	 0.3160
[2022/09/17 23:47:11] - 16 	 477.9 	 	 0.1000 	 1.5378 	 0.4163 	 0.6156	 0.2883
[2022/09/17 23:56:13] - 17 	 477.1 	 	 0.1000 	 1.5407 	 0.4151 	 0.6027	 0.2754
[2022/09/18 00:05:15] - 18 	 477.0 	 	 0.1000 	 1.5386 	 0.4155 	 0.5934	 0.2906
[2022/09/18 00:14:17] - 19 	 476.5 	 	 0.1000 	 1.5326 	 0.4201 	 0.6324	 0.2812
[2022/09/18 00:23:18] - 20 	 476.0 	 	 0.1000 	 1.5317 	 0.4167 	 0.5867	 0.2590
[2022/09/18 00:32:18] - 21 	 475.8 	 	 0.1000 	 1.5273 	 0.4190 	 0.6078	 0.2910
[2022/09/18 00:41:19] - 22 	 475.7 	 	 0.1000 	 1.5231 	 0.4202 	 0.6230	 0.3133
[2022/09/18 00:50:19] - 23 	 475.1 	 	 0.1000 	 1.5239 	 0.4221 	 0.5844	 0.2648
[2022/09/18 00:59:19] - 24 	 474.8 	 	 0.1000 	 1.5254 	 0.4195 	 0.6141	 0.2699
[2022/09/18 01:08:18] - 25 	 474.7 	 	 0.1000 	 1.5243 	 0.4213 	 0.6324	 0.3187
[2022/09/18 01:17:17] - 26 	 474.6 	 	 0.1000 	 1.5202 	 0.4213 	 0.6266	 0.3102
[2022/09/18 01:26:17] - 27 	 474.5 	 	 0.1000 	 1.5183 	 0.4217 	 0.5391	 0.2406
[2022/09/18 01:35:15] - 28 	 473.8 	 	 0.1000 	 1.5211 	 0.4192 	 0.6191	 0.3227
[2022/09/18 01:44:13] - 29 	 473.6 	 	 0.1000 	 1.5179 	 0.4222 	 0.5762	 0.2426
[2022/09/18 01:53:12] - 30 	 473.6 	 	 0.1000 	 1.5119 	 0.4246 	 0.5984	 0.2781
[2022/09/18 02:02:10] - 31 	 473.7 	 	 0.1000 	 1.5196 	 0.4230 	 0.6191	 0.2996
[2022/09/18 02:11:06] - 32 	 472.3 	 	 0.1000 	 1.5236 	 0.4236 	 0.6379	 0.3113
[2022/09/18 02:19:56] - 33 	 466.5 	 	 0.1000 	 1.5161 	 0.4242 	 0.6480	 0.3004
[2022/09/18 02:28:46] - 34 	 466.4 	 	 0.1000 	 1.5145 	 0.4264 	 0.6438	 0.3379
[2022/09/18 02:37:37] - 35 	 466.2 	 	 0.1000 	 1.5172 	 0.4252 	 0.5922	 0.2895
[2022/09/18 02:46:26] - 36 	 466.1 	 	 0.1000 	 1.5192 	 0.4242 	 0.5402	 0.2348
[2022/09/18 02:55:23] - 37 	 469.9 	 	 0.1000 	 1.5203 	 0.4217 	 0.6473	 0.2996
[2022/09/18 03:04:46] - 38 	 495.0 	 	 0.1000 	 1.5139 	 0.4216 	 0.6172	 0.3047
[2022/09/18 03:14:09] - 39 	 495.8 	 	 0.1000 	 1.5150 	 0.4228 	 0.6191	 0.2973
[2022/09/18 03:23:09] - 40 	 475.8 	 	 0.1000 	 1.5149 	 0.4237 	 0.5996	 0.3004
[2022/09/18 03:32:24] - 41 	 488.7 	 	 0.1000 	 1.5138 	 0.4239 	 0.5898	 0.2594
[2022/09/18 03:41:45] - 42 	 491.7 	 	 0.1000 	 1.5165 	 0.4235 	 0.6660	 0.3250
[2022/09/18 03:51:08] - 43 	 496.0 	 	 0.1000 	 1.5194 	 0.4219 	 0.6203	 0.3031
[2022/09/18 04:00:32] - 44 	 496.1 	 	 0.1000 	 1.5120 	 0.4268 	 0.6113	 0.3000
[2022/09/18 04:09:51] - 45 	 491.2 	 	 0.1000 	 1.5173 	 0.4247 	 0.6258	 0.2676
[2022/09/18 04:19:15] - 46 	 495.1 	 	 0.1000 	 1.5210 	 0.4228 	 0.6246	 0.3262
[2022/09/18 04:28:39] - 47 	 496.2 	 	 0.1000 	 1.5180 	 0.4230 	 0.6191	 0.3180
[2022/09/18 04:38:02] - 48 	 495.5 	 	 0.1000 	 1.5152 	 0.4239 	 0.5719	 0.2648
[2022/09/18 04:47:25] - 49 	 496.3 	 	 0.0100 	 1.5138 	 0.4225 	 0.6594	 0.3109
[2022/09/18 04:56:27] - 50 	 475.0 	 	 0.0100 	 1.3904 	 0.4676 	 0.7895	 0.4496
[2022/09/18 05:05:36] - 51 	 484.9 	 	 0.0100 	 1.2728 	 0.5057 	 0.7973	 0.4266
[2022/09/18 05:14:29] - 52 	 468.6 	 	 0.0100 	 1.0558 	 0.5929 	 0.6137	 0.0523
[2022/09/18 05:23:18] - 53 	 465.7 	 	 0.0100 	 0.4436 	 0.8444 	 0.7332	 0.0355
[2022/09/18 05:32:20] - 54 	 474.0 	 	 0.0100 	 0.5041 	 0.8201 	 0.8258	 0.0289
[2022/09/18 05:41:43] - 55 	 494.7 	 	 0.0100 	 0.3828 	 0.8739 	 0.8223	 0.0340
[2022/09/18 05:51:07] - 56 	 496.3 	 	 0.0100 	 0.3162 	 0.8980 	 0.8371	 0.0531
[2022/09/18 06:00:29] - 57 	 495.5 	 	 0.0100 	 0.2607 	 0.9172 	 0.7996	 0.0105
[2022/09/18 06:09:38] - 58 	 496.8 	 	 0.0100 	 0.2135 	 0.9351 	 0.7812	 0.0016
[2022/09/18 06:18:56] - 59 	 498.3 	 	 0.0100 	 0.2189 	 0.9315 	 0.7793	 0.0039
[2022/09/18 06:28:16] - 60 	 495.4 	 	 0.0100 	 0.1708 	 0.9477 	 0.8477	 0.0148
[2022/09/18 06:37:33] - 61 	 496.3 	 	 0.0100 	 0.1437 	 0.9565 	 0.8285	 0.0055
[2022/09/18 06:46:57] - 62 	 496.3 	 	 0.0100 	 0.1206 	 0.9642 	 0.8578	 0.0258
[2022/09/18 06:56:20] - 63 	 495.9 	 	 0.0100 	 0.0872 	 0.9756 	 0.8730	 0.0195
[2022/09/18 07:05:40] - 64 	 496.0 	 	 0.0100 	 0.0910 	 0.9733 	 0.8480	 0.0074
[2022/09/18 07:15:03] - 65 	 495.3 	 	 0.0100 	 0.0734 	 0.9797 	 0.7961	 0.0098
[2022/09/18 07:24:11] - 66 	 484.9 	 	 0.0100 	 0.0645 	 0.9832 	 0.8648	 0.0180
[2022/09/18 07:33:12] - 67 	 476.2 	 	 0.0100 	 0.3256 	 0.8851 	 0.7797	 0.3582
[2022/09/18 07:42:31] - 68 	 490.8 	 	 0.0100 	 1.3849 	 0.4552 	 0.8016	 0.4156
[2022/09/18 07:51:53] - 69 	 494.6 	 	 0.0100 	 1.2713 	 0.4937 	 0.8219	 0.4238
[2022/09/18 08:01:02] - 70 	 485.3 	 	 0.0100 	 1.2201 	 0.5121 	 0.8289	 0.4402
[2022/09/18 08:10:01] - 71 	 472.1 	 	 0.0100 	 1.1615 	 0.5365 	 0.8180	 0.2504
[2022/09/18 08:19:24] - 72 	 494.8 	 	 0.0100 	 0.2630 	 0.9188 	 0.8445	 0.0355
[2022/09/18 08:28:44] - 73 	 495.7 	 	 0.0100 	 0.1275 	 0.9636 	 0.8543	 0.0141
[2022/09/18 08:37:36] - 74 	 469.3 	 	 0.0010 	 0.2730 	 0.9069 	 0.8449	 0.0203
[2022/09/18 08:46:49] - 75 	 486.1 	 	 0.0010 	 0.5263 	 0.8068 	 0.8594	 0.0633
[2022/09/18 08:55:58] - 76 	 485.0 	 	 0.0010 	 0.3452 	 0.8762 	 0.8852	 0.0289
[2022/09/18 09:04:53] - 77 	 468.1 	 	 0.0010 	 0.2804 	 0.9009 	 0.8621	 0.0777
[2022/09/18 09:14:15] - 78 	 494.2 	 	 0.0010 	 0.1962 	 0.9349 	 0.8293	 0.0484
[2022/09/18 09:23:39] - 79 	 495.7 	 	 0.0010 	 0.1040 	 0.9681 	 0.8852	 0.0652
[2022/09/18 09:32:49] - 80 	 485.4 	 	 0.0010 	 0.0560 	 0.9840 	 0.8695	 0.0730
[2022/09/18 09:41:45] - 81 	 471.4 	 	 0.0010 	 0.0360 	 0.9908 	 0.8840	 0.0879
[2022/09/18 09:50:41] - 82 	 471.6 	 	 0.0010 	 0.0286 	 0.9932 	 0.8902	 0.0926
[2022/09/18 09:59:36] - 83 	 471.5 	 	 0.0010 	 0.0194 	 0.9957 	 0.8926	 0.0766
[2022/09/18 10:08:32] - 84 	 471.2 	 	 0.0010 	 0.0161 	 0.9966 	 0.8883	 0.0551
[2022/09/18 10:17:49] - 85 	 488.9 	 	 0.0010 	 0.0105 	 0.9983 	 0.9035	 0.0922
