[2022/09/21 14:03:10] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=100, epsilon=8, fname='output_wide8', init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/21 14:03:14] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/09/21 14:20:02] - 0 	 943.5 	 	 0.0500 	 2.0149 	 0.2535 	 0.3664	 0.2047
[2022/09/21 14:36:50] - 1 	 943.1 	 	 0.0500 	 1.7934 	 0.3261 	 0.4863	 0.2703
[2022/09/21 14:53:57] - 2 	 959.5 	 	 0.0500 	 1.6466 	 0.3747 	 0.4824	 0.2328
[2022/09/21 15:11:35] - 3 	 990.0 	 	 0.0500 	 1.5397 	 0.4134 	 0.5578	 0.2723
[2022/09/21 15:28:44] - 4 	 963.8 	 	 0.0500 	 1.4682 	 0.4435 	 0.5301	 0.2359
[2022/09/21 15:46:31] - 5 	 998.8 	 	 0.0500 	 1.4134 	 0.4671 	 0.5148	 0.2359
[2022/09/21 16:04:13] - 6 	 994.3 	 	 0.0500 	 1.3752 	 0.4831 	 0.5648	 0.2590
[2022/09/21 16:21:52] - 7 	 990.7 	 	 0.0500 	 1.3407 	 0.4944 	 0.5203	 0.2281
[2022/09/21 16:39:27] - 8 	 989.6 	 	 0.0500 	 1.3193 	 0.5048 	 0.5594	 0.2648
[2022/09/21 16:56:50] - 9 	 975.7 	 	 0.0500 	 1.2979 	 0.5105 	 0.5871	 0.2676
[2022/09/21 17:14:30] - 10 	 991.7 	 	 0.0500 	 1.2787 	 0.5228 	 0.5871	 0.2238
[2022/09/21 17:31:40] - 11 	 965.6 	 	 0.0500 	 1.2671 	 0.5249 	 0.5621	 0.2730
[2022/09/21 17:48:33] - 12 	 947.4 	 	 0.0500 	 1.2604 	 0.5293 	 0.5648	 0.2535
[2022/09/21 18:05:24] - 13 	 946.1 	 	 0.0500 	 1.2478 	 0.5322 	 0.6168	 0.2621
[2022/09/21 18:22:13] - 14 	 945.0 	 	 0.0500 	 1.2428 	 0.5375 	 0.5746	 0.2918
[2022/09/21 18:39:02] - 15 	 944.1 	 	 0.0500 	 1.2353 	 0.5389 	 0.6148	 0.2895
[2022/09/21 18:55:49] - 16 	 943.2 	 	 0.0500 	 1.2338 	 0.5393 	 0.6434	 0.2594
[2022/09/21 19:12:36] - 17 	 942.7 	 	 0.0500 	 1.2354 	 0.5385 	 0.6035	 0.2609
[2022/09/21 19:29:23] - 18 	 942.9 	 	 0.0500 	 1.2225 	 0.5464 	 0.6078	 0.2590
[2022/09/21 19:46:10] - 19 	 942.3 	 	 0.0500 	 1.2305 	 0.5410 	 0.6078	 0.2574
