[2022/05/05 16:17:13] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8.0, fname='output_dense', lr=0.01, model='dense', momentum=0.9, normalization='std', num_steps=10, out_dir='mart_out', save_model=True, seed=1, step_size=2.0, weight_decay=0.0005, wide_factor=10)
[2022/05/05 16:17:13] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc 	 CW Acc
[2022/05/05 16:25:20] - 1 	 465.1 	 	 0.0100 	 2.3671 	 0.3211 	 0.1957
[2022/05/05 16:33:24] - 2 	 460.4 	 	 0.0100 	 2.2712 	 0.3844 	 0.2344
[2022/05/05 16:41:33] - 3 	 465.6 	 	 0.0100 	 2.2284 	 0.3750 	 0.2340
[2022/05/05 16:50:01] - 4 	 484.9 	 	 0.0100 	 2.3298 	 0.4004 	 0.2453
[2022/05/05 16:58:05] - 5 	 460.2 	 	 0.0100 	 2.1940 	 0.4211 	 0.2660
[2022/05/05 17:05:02] - 6 	 398.1 	 	 0.0100 	 2.2157 	 0.4660 	 0.2734
[2022/05/05 17:11:36] - 7 	 375.8 	 	 0.0100 	 2.1911 	 0.4586 	 0.2578
[2022/05/05 17:18:10] - 8 	 375.3 	 	 0.0100 	 2.1848 	 0.4188 	 0.2586
[2022/05/05 17:24:46] - 9 	 377.6 	 	 0.0100 	 2.0481 	 0.4945 	 0.3063
[2022/05/05 17:31:18] - 10 	 373.6 	 	 0.0100 	 2.2705 	 0.4492 	 0.2629
[2022/05/05 17:37:45] - 11 	 369.1 	 	 0.0100 	 2.1930 	 0.4969 	 0.3023
[2022/05/05 17:43:56] - 12 	 353.6 	 	 0.0100 	 2.1487 	 0.5043 	 0.3191
[2022/05/05 17:50:10] - 13 	 357.2 	 	 0.0100 	 2.0044 	 0.4973 	 0.3121
[2022/05/05 17:56:19] - 14 	 351.9 	 	 0.0100 	 2.1567 	 0.5188 	 0.3395
[2022/05/05 18:02:31] - 15 	 354.7 	 	 0.0100 	 2.1567 	 0.5203 	 0.3297
[2022/05/05 18:08:42] - 16 	 353.2 	 	 0.0100 	 2.2079 	 0.5148 	 0.3352
[2022/05/05 18:14:53] - 17 	 353.9 	 	 0.0100 	 2.0342 	 0.5434 	 0.3430
[2022/05/05 18:21:07] - 18 	 356.2 	 	 0.0100 	 2.0628 	 0.5352 	 0.3469
[2022/05/05 18:27:23] - 19 	 359.1 	 	 0.0100 	 2.1576 	 0.5656 	 0.3344
[2022/05/05 18:33:46] - 20 	 365.9 	 	 0.0100 	 2.0415 	 0.5793 	 0.3383
[2022/05/05 18:40:06] - 21 	 362.5 	 	 0.0100 	 1.9564 	 0.5691 	 0.3539
[2022/05/05 18:46:20] - 22 	 356.4 	 	 0.0100 	 2.0712 	 0.5602 	 0.3551
[2022/05/05 18:52:39] - 23 	 361.9 	 	 0.0100 	 1.9739 	 0.5852 	 0.3551
[2022/05/05 18:58:55] - 24 	 358.5 	 	 0.0100 	 2.0596 	 0.5984 	 0.3504
[2022/05/05 19:05:56] - 25 	 401.2 	 	 0.0010 	 1.9197 	 0.6172 	 0.3793
[2022/05/05 19:13:04] - 26 	 408.8 	 	 0.0010 	 1.9446 	 0.6141 	 0.3703
[2022/05/05 19:20:13] - 27 	 408.9 	 	 0.0010 	 2.0572 	 0.6129 	 0.3773
[2022/05/05 19:27:21] - 28 	 408.4 	 	 0.0010 	 1.9686 	 0.6148 	 0.3820
[2022/05/05 19:34:30] - 29 	 409.1 	 	 0.0010 	 2.0239 	 0.6086 	 0.3871
[2022/05/05 19:41:39] - 30 	 409.4 	 	 0.0010 	 1.9535 	 0.6082 	 0.3883
[2022/05/05 19:48:48] - 31 	 409.4 	 	 0.0010 	 1.9769 	 0.6176 	 0.3855
[2022/05/05 19:55:57] - 32 	 408.7 	 	 0.0010 	 1.9582 	 0.6238 	 0.3871
[2022/05/05 20:03:11] - 33 	 414.1 	 	 0.0010 	 1.9205 	 0.6277 	 0.3797
[2022/05/05 20:10:18] - 34 	 408.1 	 	 0.0010 	 1.9111 	 0.6215 	 0.3887
[2022/05/05 20:17:26] - 35 	 407.9 	 	 0.0010 	 2.0764 	 0.6199 	 0.3957
[2022/05/05 20:24:33] - 36 	 407.9 	 	 0.0010 	 1.9317 	 0.6242 	 0.3809
[2022/05/05 20:31:41] - 37 	 408.0 	 	 0.0010 	 1.9943 	 0.6227 	 0.3945
[2022/05/05 20:38:48] - 38 	 407.9 	 	 0.0010 	 1.8898 	 0.6332 	 0.3875
[2022/05/05 20:45:56] - 39 	 408.2 	 	 0.0010 	 1.8034 	 0.6359 	 0.3891
[2022/05/05 20:53:04] - 40 	 407.9 	 	 0.0001 	 1.8985 	 0.6199 	 0.3953
[2022/05/05 21:00:11] - 41 	 407.8 	 	 0.0001 	 1.9632 	 0.6266 	 0.3855
[2022/05/05 21:07:19] - 42 	 408.0 	 	 0.0001 	 2.0126 	 0.6336 	 0.3965
[2022/05/05 21:14:26] - 43 	 407.9 	 	 0.0001 	 2.0236 	 0.6258 	 0.4000
[2022/05/05 21:21:33] - 44 	 407.1 	 	 0.0001 	 2.0463 	 0.6281 	 0.3957
[2022/05/05 21:28:40] - 45 	 407.5 	 	 0.0001 	 1.9794 	 0.6348 	 0.3824
[2022/05/05 21:35:46] - 46 	 407.0 	 	 0.0001 	 1.9103 	 0.6285 	 0.3969
[2022/05/05 21:42:52] - 47 	 406.1 	 	 0.0001 	 1.8888 	 0.6348 	 0.3867
[2022/05/05 21:49:58] - 48 	 406.6 	 	 0.0001 	 1.9748 	 0.6309 	 0.3895
[2022/05/05 21:57:04] - 49 	 406.6 	 	 0.0001 	 1.8904 	 0.6285 	 0.3867
[2022/05/05 22:04:08] - 50 	 406.1 	 	 0.0001 	 1.9812 	 0.6324 	 0.3961
[2022/05/05 22:04:08] - Total train time: 330.9262 minutes
[2022/05/05 22:04:08] - Best checkpoint at 43, 0.4
