[2021/03/21 02:03:39] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8.0, fname='output_pre', lr=0.05, model='pre', momentum=0.9, num_steps=10, out_dir='mart_out', save_model=True, seed=1, step_size=2.0, weight_decay=0.0005, wide_factor=10)
[2021/03/21 02:03:39] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc 	 CW Acc
[2021/03/21 02:06:44] - 1 	 176.3 	 	 0.0500 	 2.3013 	 0.3512 	 0.2344
[2021/03/21 02:09:50] - 2 	 177.2 	 	 0.0500 	 2.2212 	 0.4422 	 0.2707
[2021/03/21 02:12:55] - 3 	 176.9 	 	 0.0500 	 2.3045 	 0.4293 	 0.2883
[2021/03/21 02:16:01] - 4 	 176.7 	 	 0.0500 	 2.2528 	 0.4754 	 0.2848
[2021/03/21 02:19:07] - 5 	 176.8 	 	 0.0500 	 2.1120 	 0.5000 	 0.2836
[2021/03/21 02:22:12] - 6 	 176.8 	 	 0.0500 	 2.1311 	 0.5105 	 0.3187
[2021/03/21 02:25:18] - 7 	 176.7 	 	 0.0500 	 2.0471 	 0.5570 	 0.3266
[2021/03/21 02:28:25] - 8 	 178.6 	 	 0.0500 	 2.0585 	 0.5727 	 0.3230
[2021/03/21 02:31:36] - 9 	 182.2 	 	 0.0500 	 2.0884 	 0.5777 	 0.3516
[2021/03/21 02:34:48] - 10 	 182.2 	 	 0.0500 	 2.0469 	 0.5879 	 0.3586
[2021/03/21 02:37:58] - 11 	 181.8 	 	 0.0500 	 2.0084 	 0.5996 	 0.3715
[2021/03/21 02:41:09] - 12 	 181.8 	 	 0.0500 	 2.1451 	 0.6094 	 0.3918
[2021/03/21 02:44:20] - 13 	 182.2 	 	 0.0500 	 1.8650 	 0.6309 	 0.3895
[2021/03/21 02:47:31] - 14 	 181.7 	 	 0.0500 	 1.9302 	 0.6344 	 0.3875
[2021/03/21 02:50:42] - 15 	 181.8 	 	 0.0500 	 1.8823 	 0.6121 	 0.4145
[2021/03/21 02:53:52] - 16 	 181.5 	 	 0.0500 	 1.9496 	 0.6383 	 0.4062
[2021/03/21 02:57:03] - 17 	 182.0 	 	 0.0500 	 2.0856 	 0.6605 	 0.4070
[2021/03/21 03:00:14] - 18 	 182.1 	 	 0.0500 	 1.9259 	 0.6465 	 0.4195
[2021/03/21 03:03:25] - 19 	 182.0 	 	 0.0500 	 1.8917 	 0.6422 	 0.4227
[2021/03/21 03:06:34] - 20 	 179.9 	 	 0.0500 	 1.9477 	 0.6418 	 0.4172
[2021/03/21 03:09:41] - 21 	 178.2 	 	 0.0500 	 1.9274 	 0.6566 	 0.4176
[2021/03/21 03:12:48] - 22 	 177.7 	 	 0.0500 	 1.9248 	 0.6629 	 0.4098
[2021/03/21 03:15:54] - 23 	 177.6 	 	 0.0500 	 1.8857 	 0.6641 	 0.4250
[2021/03/21 03:19:00] - 24 	 177.5 	 	 0.0500 	 1.9448 	 0.6621 	 0.4340
[2021/03/21 03:22:07] - 25 	 177.7 	 	 0.0050 	 1.7572 	 0.6937 	 0.4660
[2021/03/21 03:25:13] - 26 	 177.5 	 	 0.0050 	 1.7137 	 0.7238 	 0.4742
[2021/03/21 03:28:20] - 27 	 177.6 	 	 0.0050 	 1.6898 	 0.7152 	 0.4727
[2021/03/21 03:31:26] - 28 	 177.6 	 	 0.0050 	 1.7166 	 0.7273 	 0.4719
[2021/03/21 03:34:32] - 29 	 177.4 	 	 0.0050 	 1.8798 	 0.7383 	 0.4758
[2021/03/21 03:37:39] - 30 	 177.5 	 	 0.0050 	 1.7307 	 0.7402 	 0.4676
[2021/03/21 03:40:45] - 31 	 177.5 	 	 0.0050 	 1.6004 	 0.7234 	 0.4762
[2021/03/21 03:43:51] - 32 	 177.6 	 	 0.0050 	 1.9940 	 0.7379 	 0.4629
[2021/03/21 03:46:58] - 33 	 177.7 	 	 0.0050 	 1.6334 	 0.7344 	 0.4820
[2021/03/21 03:50:04] - 34 	 177.7 	 	 0.0050 	 1.6126 	 0.7414 	 0.4738
[2021/03/21 03:53:11] - 35 	 177.6 	 	 0.0050 	 1.8057 	 0.7457 	 0.4750
[2021/03/21 03:56:17] - 36 	 177.6 	 	 0.0050 	 1.6259 	 0.7188 	 0.4680
[2021/03/21 03:59:23] - 37 	 177.6 	 	 0.0050 	 1.6521 	 0.7445 	 0.4727
