[2022/04/27 12:22:09] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8.0, fname='output_vgg16', lr=0.01, model='vgg16', momentum=0.9, normalization='std', num_steps=10, out_dir='mart_out', save_model=True, seed=1, step_size=2.0, weight_decay=0.0005, wide_factor=10)
[2022/04/27 12:22:09] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc 	 CW Acc
[2022/04/27 12:24:02] - 1 	 106.8 	 	 0.0100 	 2.3444 	 0.2000 	 0.1688
[2022/04/27 12:25:54] - 2 	 106.2 	 	 0.0100 	 2.3318 	 0.2242 	 0.1895
[2022/04/27 12:27:47] - 3 	 106.5 	 	 0.0100 	 2.4137 	 0.2141 	 0.1566
[2022/04/27 12:29:39] - 4 	 106.5 	 	 0.0100 	 2.2810 	 0.2082 	 0.1375
[2022/04/27 12:31:32] - 5 	 107.2 	 	 0.0100 	 2.2939 	 0.2867 	 0.2148
[2022/04/27 12:33:25] - 6 	 107.1 	 	 0.0100 	 2.2852 	 0.3258 	 0.2355
[2022/04/27 12:35:21] - 7 	 110.1 	 	 0.0100 	 2.3844 	 0.3305 	 0.2344
[2022/04/27 12:37:19] - 8 	 111.5 	 	 0.0100 	 2.2782 	 0.3277 	 0.2219
[2022/04/27 12:39:17] - 9 	 111.7 	 	 0.0100 	 2.2454 	 0.3488 	 0.2176
[2022/04/27 12:41:15] - 10 	 112.1 	 	 0.0100 	 2.2433 	 0.3859 	 0.2477
[2022/04/27 12:43:14] - 11 	 112.1 	 	 0.0100 	 2.2079 	 0.4109 	 0.2719
[2022/04/27 12:45:12] - 12 	 112.1 	 	 0.0100 	 2.2631 	 0.4398 	 0.2746
[2022/04/27 12:47:11] - 13 	 112.1 	 	 0.0100 	 2.2837 	 0.4320 	 0.2766
[2022/04/27 12:49:09] - 14 	 112.1 	 	 0.0100 	 2.2275 	 0.4520 	 0.2812
[2022/04/27 12:51:08] - 15 	 112.6 	 	 0.0100 	 2.2130 	 0.4574 	 0.3004
[2022/04/27 12:53:06] - 16 	 111.8 	 	 0.0100 	 2.0663 	 0.4848 	 0.3098
[2022/04/27 12:55:06] - 17 	 113.2 	 	 0.0100 	 2.0954 	 0.4969 	 0.3227
[2022/04/27 12:57:04] - 18 	 111.9 	 	 0.0100 	 2.0879 	 0.4957 	 0.3078
[2022/04/27 12:59:03] - 19 	 112.8 	 	 0.0100 	 2.1271 	 0.5008 	 0.3293
[2022/04/27 13:01:02] - 20 	 112.5 	 	 0.0100 	 2.1918 	 0.5324 	 0.3324
[2022/04/27 13:03:01] - 21 	 112.5 	 	 0.0100 	 2.1815 	 0.5395 	 0.3531
[2022/04/27 13:05:00] - 22 	 113.3 	 	 0.0100 	 2.0893 	 0.5426 	 0.3398
[2022/04/27 13:06:59] - 23 	 112.7 	 	 0.0100 	 2.1879 	 0.5582 	 0.3250
[2022/04/27 13:08:58] - 24 	 112.8 	 	 0.0100 	 2.0487 	 0.5660 	 0.3676
[2022/04/27 13:10:57] - 25 	 113.0 	 	 0.0010 	 2.0686 	 0.5965 	 0.3754
[2022/04/27 13:12:57] - 26 	 113.3 	 	 0.0010 	 1.9880 	 0.5992 	 0.3797
[2022/04/27 13:14:56] - 27 	 113.1 	 	 0.0010 	 1.9520 	 0.6000 	 0.3727
[2022/04/27 13:16:56] - 28 	 113.4 	 	 0.0010 	 2.0753 	 0.6059 	 0.3828
[2022/04/27 13:18:55] - 29 	 112.7 	 	 0.0010 	 1.9409 	 0.6156 	 0.3719
[2022/04/27 13:20:55] - 30 	 112.9 	 	 0.0010 	 2.0031 	 0.5945 	 0.3750
[2022/04/27 13:22:54] - 31 	 113.1 	 	 0.0010 	 1.9879 	 0.6020 	 0.3656
[2022/04/27 13:24:53] - 32 	 113.3 	 	 0.0010 	 1.8696 	 0.5922 	 0.3887
[2022/04/27 13:26:53] - 33 	 113.0 	 	 0.0010 	 1.9732 	 0.6020 	 0.3812
[2022/04/27 13:28:52] - 34 	 112.9 	 	 0.0010 	 2.1642 	 0.6152 	 0.3762
[2022/04/27 13:30:51] - 35 	 113.1 	 	 0.0010 	 2.1893 	 0.6117 	 0.3898
[2022/04/27 13:32:51] - 36 	 113.2 	 	 0.0010 	 1.9986 	 0.6219 	 0.3746
[2022/04/27 13:34:50] - 37 	 113.6 	 	 0.0010 	 1.9618 	 0.6051 	 0.3895
[2022/04/27 13:36:50] - 38 	 113.5 	 	 0.0010 	 1.9484 	 0.6219 	 0.3937
[2022/04/27 13:38:51] - 39 	 113.9 	 	 0.0010 	 1.9826 	 0.6059 	 0.3879
[2022/04/27 13:40:49] - 40 	 112.5 	 	 0.0001 	 1.8275 	 0.6211 	 0.3895
[2022/04/27 13:42:48] - 41 	 112.7 	 	 0.0001 	 2.0579 	 0.6199 	 0.3855
[2022/04/27 13:44:47] - 42 	 112.0 	 	 0.0001 	 2.0156 	 0.6219 	 0.3898
[2022/04/27 13:46:45] - 43 	 112.0 	 	 0.0001 	 1.9242 	 0.6215 	 0.3824
[2022/04/27 13:48:43] - 44 	 112.4 	 	 0.0001 	 2.1777 	 0.6168 	 0.3953
[2022/04/27 13:50:42] - 45 	 112.9 	 	 0.0001 	 1.8558 	 0.6270 	 0.3910
[2022/04/27 13:52:41] - 46 	 112.4 	 	 0.0001 	 1.9128 	 0.6195 	 0.3863
[2022/04/27 13:54:39] - 47 	 112.2 	 	 0.0001 	 2.0339 	 0.6301 	 0.3937
[2022/04/27 13:56:38] - 48 	 112.5 	 	 0.0001 	 1.8821 	 0.6281 	 0.3871
[2022/04/27 13:58:38] - 49 	 113.3 	 	 0.0001 	 2.0281 	 0.6312 	 0.3828
[2022/04/27 14:00:37] - 50 	 113.3 	 	 0.0001 	 1.9418 	 0.6297 	 0.3863
[2022/04/27 14:00:37] - Total train time: 93.2664 minutes
[2022/04/27 14:00:37] - Best checkpoint at 44, 0.3953125
