[2022/05/01 23:42:20] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output_dense', gamma=1.01, init_tau=8, lr_max=0.01, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='dense', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/01 23:42:23] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/01 23:43:19] - 0 	 38.9 	 	 0.0100 	 1.4472 	 0.4688 	 0.5953	 7375.1738 	 0.0109
[2022/05/01 23:44:54] - 1 	 75.5 	 	 0.0100 	 1.9232 	 0.2739 	 0.5766	 3153.2273 	 0.1781
[2022/05/01 23:46:30] - 2 	 76.5 	 	 0.0100 	 1.7548 	 0.3275 	 0.6195	 3189.1865 	 0.2355
[2022/05/01 23:48:44] - 3 	 115.1 	 	 0.0100 	 1.7826 	 0.3167 	 0.6582	 2884.3486 	 0.2797
[2022/05/01 23:50:58] - 4 	 115.1 	 	 0.0100 	 1.7088 	 0.3427 	 0.6648	 2908.3928 	 0.3078
[2022/05/01 23:53:12] - 5 	 114.6 	 	 0.0100 	 1.6640 	 0.3567 	 0.6762	 2989.3274 	 0.3031
[2022/05/01 23:55:27] - 6 	 115.5 	 	 0.0100 	 1.6282 	 0.3705 	 0.6672	 3051.1926 	 0.2859
[2022/05/01 23:57:43] - 7 	 116.6 	 	 0.0100 	 1.5938 	 0.3850 	 0.6863	 3095.3171 	 0.2945
[2022/05/01 23:59:57] - 8 	 115.3 	 	 0.0100 	 1.5667 	 0.3928 	 0.7094	 3133.7549 	 0.3297
[2022/05/02 00:02:11] - 9 	 114.6 	 	 0.0100 	 1.5415 	 0.4039 	 0.7184	 3182.9983 	 0.3102
[2022/05/02 00:04:26] - 10 	 116.0 	 	 0.0100 	 1.5229 	 0.4087 	 0.7148	 3201.6487 	 0.3270
