[2021/03/20 16:09:44] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output_pre', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='pre', momentum=0.9, out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2021/03/20 16:09:45] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2021/03/20 16:10:21] - 0 	 24.6 	 	 0.0500 	 1.4613 	 0.4678 	 0.5945	 5824.8647 	 0.0039
[2021/03/20 16:11:24] - 1 	 49.2 	 	 0.0500 	 1.9504 	 0.2745 	 0.5141	 2829.7151 	 0.2109
[2021/03/20 16:12:27] - 2 	 49.8 	 	 0.0500 	 1.7611 	 0.3267 	 0.6328	 2977.3511 	 0.2445
[2021/03/20 16:13:55] - 3 	 74.8 	 	 0.0500 	 1.7516 	 0.3246 	 0.6340	 2693.9197 	 0.2859
[2021/03/20 16:15:24] - 4 	 74.9 	 	 0.0500 	 1.6924 	 0.3504 	 0.6293	 2784.9136 	 0.3094
[2021/03/20 16:16:52] - 5 	 74.9 	 	 0.0500 	 1.6498 	 0.3656 	 0.6520	 2880.6917 	 0.2910
[2021/03/20 16:18:20] - 6 	 74.9 	 	 0.0500 	 1.6229 	 0.3744 	 0.6922	 2968.1775 	 0.3246
[2021/03/20 16:19:49] - 7 	 74.9 	 	 0.0500 	 1.6046 	 0.3797 	 0.6656	 3028.7458 	 0.3020
[2021/03/20 16:21:42] - 8 	 100.0 	 	 0.0500 	 1.5840 	 0.3900 	 0.6855	 2844.7312 	 0.3141
[2021/03/20 16:23:36] - 9 	 100.0 	 	 0.0500 	 1.5661 	 0.3982 	 0.6297	 2850.9368 	 0.3129
[2021/03/20 16:25:29] - 10 	 100.1 	 	 0.0500 	 1.5575 	 0.4011 	 0.6664	 2852.2783 	 0.3086
[2021/03/20 16:27:23] - 11 	 100.2 	 	 0.0500 	 1.5437 	 0.4077 	 0.6590	 2886.0256 	 0.3418
[2021/03/20 16:29:17] - 12 	 100.1 	 	 0.0500 	 1.5341 	 0.4087 	 0.6188	 2900.5471 	 0.3098
[2021/03/20 16:31:11] - 13 	 100.2 	 	 0.0500 	 1.5242 	 0.4126 	 0.6703	 2939.9407 	 0.3293
[2021/03/20 16:33:04] - 14 	 100.3 	 	 0.0500 	 1.5201 	 0.4140 	 0.6504	 2947.2100 	 0.3391
[2021/03/20 16:34:58] - 15 	 100.2 	 	 0.0500 	 1.5177 	 0.4152 	 0.6285	 2952.1423 	 0.3293
[2021/03/20 16:36:52] - 16 	 100.3 	 	 0.0500 	 1.5088 	 0.4178 	 0.6465	 2965.1792 	 0.2664
[2021/03/20 16:38:46] - 17 	 100.3 	 	 0.0500 	 1.5017 	 0.4198 	 0.6695	 2992.3303 	 0.3059
[2021/03/20 16:40:40] - 18 	 100.3 	 	 0.0500 	 1.5004 	 0.4225 	 0.6660	 2995.8235 	 0.3262
[2021/03/20 16:42:33] - 19 	 100.3 	 	 0.0500 	 1.4969 	 0.4244 	 0.6449	 3013.7976 	 0.3023
