[2022/04/26 15:40:48] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output_vgg16', gamma=1.01, init_tau=8, lr_max=0.01, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='vgg16', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/04/26 15:40:54] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/04/26 15:41:13] - 0 	 13.3 	 	 0.0100 	 1.4834 	 0.4580 	 0.6066	 6685.4302 	 0.0164
[2022/04/26 15:41:45] - 1 	 24.2 	 	 0.0100 	 1.8991 	 0.2838 	 0.5453	 3136.9543 	 0.1902
[2022/04/26 15:42:17] - 2 	 25.3 	 	 0.0100 	 1.7479 	 0.3297 	 0.6156	 3258.9097 	 0.2129
[2022/04/26 15:43:03] - 3 	 38.9 	 	 0.0100 	 1.7911 	 0.3250 	 0.6477	 3133.4995 	 0.2902
[2022/04/26 15:43:50] - 4 	 39.4 	 	 0.0100 	 1.7084 	 0.3509 	 0.6504	 3157.4348 	 0.2707
[2022/04/26 15:44:37] - 5 	 39.6 	 	 0.0100 	 1.6598 	 0.3675 	 0.6937	 3226.7959 	 0.3141
[2022/04/26 15:45:25] - 6 	 39.6 	 	 0.0100 	 1.6206 	 0.3809 	 0.7102	 3325.2903 	 0.3270
[2022/04/26 15:46:25] - 7 	 52.8 	 	 0.0100 	 1.5932 	 0.3891 	 0.6848	 3200.8694 	 0.3094
[2022/04/26 15:47:25] - 8 	 52.9 	 	 0.0100 	 1.5574 	 0.4010 	 0.6918	 3200.7910 	 0.3758
[2022/04/26 15:48:26] - 9 	 52.9 	 	 0.0100 	 1.5314 	 0.4104 	 0.6953	 3247.2390 	 0.3504
[2022/04/26 15:49:27] - 10 	 53.2 	 	 0.0100 	 1.5072 	 0.4187 	 0.7207	 3275.0608 	 0.3449
[2022/04/26 15:50:27] - 11 	 53.1 	 	 0.0100 	 1.4870 	 0.4268 	 0.7059	 3334.2192 	 0.3598
[2022/04/26 15:51:28] - 12 	 53.3 	 	 0.0100 	 1.4670 	 0.4327 	 0.7180	 3362.0518 	 0.3641
[2022/04/26 15:52:42] - 13 	 66.3 	 	 0.0100 	 1.4139 	 0.4502 	 0.7152	 3190.8757 	 0.3625
