[2022/09/19 18:04:15] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 18:04:19] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/19 18:07:06] - 0 	 110.2 	 	 0.0500 	 1.4518 	 0.4695 	 0.5418	 6482.8203 	 0.0145
[2022/09/19 18:11:51] - 1 	 223.1 	 	 0.0500 	 1.4003 	 0.4814 	 0.6340	 6379.1401 	 0.0781
[2022/09/19 18:16:35] - 2 	 223.3 	 	 0.0500 	 1.1553 	 0.5704 	 0.7359	 6534.0166 	 0.1203
[2022/09/19 18:23:11] - 3 	 334.9 	 	 0.0500 	 1.3416 	 0.4900 	 0.7027	 5556.2119 	 0.1617
[2022/09/19 18:29:48] - 4 	 334.9 	 	 0.0500 	 1.2431 	 0.5301 	 0.7363	 5481.4326 	 0.1625
[2022/09/19 18:36:24] - 5 	 335.0 	 	 0.0500 	 1.1903 	 0.5494 	 0.7656	 5574.4043 	 0.1914
[2022/09/19 18:43:00] - 6 	 334.8 	 	 0.0500 	 1.1466 	 0.5637 	 0.7449	 5662.3472 	 0.2004
[2022/09/19 18:49:36] - 7 	 334.6 	 	 0.0500 	 1.1144 	 0.5764 	 0.7625	 5719.9932 	 0.1453
[2022/09/19 18:56:11] - 8 	 334.5 	 	 0.0500 	 1.0840 	 0.5859 	 0.7609	 5775.6104 	 0.1676
[2022/09/19 19:02:46] - 9 	 334.4 	 	 0.0500 	 1.0617 	 0.5906 	 0.7758	 5840.3364 	 0.1832
[2022/09/19 19:09:22] - 10 	 334.4 	 	 0.0500 	 1.0432 	 0.5970 	 0.7840	 5891.4897 	 0.1371
[2022/09/19 19:15:57] - 11 	 334.4 	 	 0.0500 	 1.0154 	 0.6081 	 0.7570	 5866.6313 	 0.1320
[2022/09/19 19:22:32] - 12 	 334.2 	 	 0.0500 	 1.0072 	 0.6114 	 0.7754	 5911.6406 	 0.1695
[2022/09/19 19:29:07] - 13 	 334.2 	 	 0.0500 	 0.9818 	 0.6195 	 0.8016	 5999.7651 	 0.1879
[2022/09/19 19:35:42] - 14 	 334.2 	 	 0.0500 	 0.9703 	 0.6221 	 0.7887	 5939.4180 	 0.1926
[2022/09/19 19:42:17] - 15 	 334.2 	 	 0.0500 	 0.9612 	 0.6275 	 0.7516	 6019.4634 	 0.1648
[2022/09/19 19:48:52] - 16 	 334.2 	 	 0.0500 	 0.9535 	 0.6312 	 0.7973	 6003.8525 	 0.2000
[2022/09/19 19:55:27] - 17 	 334.2 	 	 0.0500 	 0.9417 	 0.6299 	 0.8086	 6029.6084 	 0.2004
[2022/09/19 20:02:02] - 18 	 334.2 	 	 0.0500 	 0.9308 	 0.6379 	 0.8156	 6088.3677 	 0.1750
[2022/09/19 20:08:37] - 19 	 334.2 	 	 0.0500 	 0.9255 	 0.6366 	 0.8066	 6067.4707 	 0.1750
[2022/09/19 20:15:12] - 20 	 334.3 	 	 0.0500 	 0.9204 	 0.6390 	 0.8109	 6097.5596 	 0.1785
[2022/09/19 20:21:47] - 21 	 334.1 	 	 0.0500 	 0.9077 	 0.6436 	 0.8285	 6119.7563 	 0.2227
[2022/09/19 20:28:22] - 22 	 334.0 	 	 0.0500 	 0.9009 	 0.6439 	 0.8059	 6123.1753 	 0.1602
[2022/09/19 20:34:57] - 23 	 334.1 	 	 0.0500 	 0.8981 	 0.6466 	 0.7973	 6117.4521 	 0.1773
[2022/09/19 20:41:32] - 24 	 334.0 	 	 0.0500 	 0.8938 	 0.6472 	 0.8254	 6087.7739 	 0.1980
[2022/09/19 20:48:06] - 25 	 334.0 	 	 0.0500 	 0.8892 	 0.6480 	 0.8250	 6161.6353 	 0.2195
[2022/09/19 20:54:41] - 26 	 334.1 	 	 0.0500 	 0.8822 	 0.6512 	 0.8398	 6137.1865 	 0.2012
[2022/09/19 21:01:16] - 27 	 334.0 	 	 0.0500 	 0.8763 	 0.6516 	 0.8156	 6134.0356 	 0.2062
[2022/09/19 21:07:51] - 28 	 334.0 	 	 0.0500 	 0.8762 	 0.6559 	 0.8012	 6165.7705 	 0.1824
[2022/09/19 21:14:26] - 29 	 334.1 	 	 0.0500 	 0.8743 	 0.6544 	 0.8352	 6168.5259 	 0.1977
[2022/09/19 21:21:00] - 30 	 333.9 	 	 0.0500 	 0.8683 	 0.6555 	 0.8105	 6154.4419 	 0.1844
[2022/09/19 21:27:35] - 31 	 333.9 	 	 0.0500 	 0.8649 	 0.6562 	 0.7941	 6172.0952 	 0.2133
[2022/09/19 21:34:10] - 32 	 334.0 	 	 0.0500 	 0.8635 	 0.6573 	 0.8344	 6178.3911 	 0.1863
[2022/09/19 21:40:45] - 33 	 333.9 	 	 0.0500 	 0.8584 	 0.6572 	 0.8055	 6207.7129 	 0.2340
[2022/09/19 21:47:19] - 34 	 333.9 	 	 0.0500 	 0.8608 	 0.6582 	 0.7953	 6155.0908 	 0.1871
[2022/09/19 21:53:54] - 35 	 334.0 	 	 0.0500 	 0.8565 	 0.6566 	 0.8441	 6229.0586 	 0.1898
[2022/09/19 22:00:29] - 36 	 333.9 	 	 0.0500 	 0.8518 	 0.6616 	 0.8254	 6171.5352 	 0.1828
[2022/09/19 22:07:03] - 37 	 333.9 	 	 0.0500 	 0.8550 	 0.6597 	 0.8195	 6176.0244 	 0.1891
[2022/09/19 22:13:38] - 38 	 334.0 	 	 0.0500 	 0.8486 	 0.6613 	 0.8348	 6186.3818 	 0.1852
[2022/09/19 22:20:13] - 39 	 333.9 	 	 0.0500 	 0.8441 	 0.6631 	 0.8438	 6189.6602 	 0.2023
[2022/09/19 22:26:47] - 40 	 333.8 	 	 0.0500 	 0.8423 	 0.6613 	 0.8355	 6165.0063 	 0.2094
[2022/09/19 22:33:22] - 41 	 333.9 	 	 0.0500 	 0.8425 	 0.6628 	 0.8074	 6210.2910 	 0.1711
[2022/09/19 22:39:56] - 42 	 333.9 	 	 0.0500 	 0.8472 	 0.6587 	 0.8574	 6236.4292 	 0.2168
[2022/09/19 22:46:31] - 43 	 333.9 	 	 0.0500 	 0.8418 	 0.6664 	 0.8422	 6160.0708 	 0.1961
[2022/09/19 22:53:05] - 44 	 333.8 	 	 0.0500 	 0.8399 	 0.6661 	 0.8152	 6218.2705 	 0.1754
[2022/09/19 22:59:40] - 45 	 333.7 	 	 0.0500 	 0.8399 	 0.6628 	 0.8168	 6212.8823 	 0.2285
