[2022/09/16 10:27:29] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/16 10:27:33] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/16 10:30:38] - 0 	 121.9 	 	 0.0500 	 1.4627 	 0.4617 	 0.5746	 6173.9897 	 0.0137
[2022/09/16 10:36:03] - 1 	 255.3 	 	 0.0500 	 1.9205 	 0.2849 	 0.5449	 3011.6692 	 0.2145
[2022/09/16 10:41:26] - 2 	 253.6 	 	 0.0500 	 1.7076 	 0.3478 	 0.6582	 3153.6428 	 0.2672
[2022/09/16 10:48:51] - 3 	 375.0 	 	 0.0500 	 1.7221 	 0.3400 	 0.6070	 2841.4443 	 0.2562
[2022/09/16 10:56:15] - 4 	 375.7 	 	 0.0500 	 1.6570 	 0.3642 	 0.6652	 2914.0640 	 0.2887
[2022/09/16 11:03:42] - 5 	 376.0 	 	 0.0500 	 1.6121 	 0.3792 	 0.6816	 2998.6743 	 0.3363
[2022/09/16 11:11:08] - 6 	 377.3 	 	 0.0500 	 1.5760 	 0.3955 	 0.7094	 3080.2520 	 0.3383
[2022/09/16 11:18:35] - 7 	 378.2 	 	 0.0500 	 1.5445 	 0.4063 	 0.6902	 3129.5159 	 0.3113
[2022/09/16 11:26:04] - 8 	 379.1 	 	 0.0500 	 1.5216 	 0.4132 	 0.7242	 3193.1528 	 0.3453
[2022/09/16 11:35:38] - 9 	 504.3 	 	 0.0500 	 1.5016 	 0.4231 	 0.6758	 3019.7058 	 0.3172
[2022/09/16 11:45:13] - 10 	 504.9 	 	 0.0500 	 1.4781 	 0.4302 	 0.6797	 3009.1404 	 0.3219
[2022/09/16 11:54:41] - 11 	 499.4 	 	 0.0500 	 1.4566 	 0.4380 	 0.6531	 3039.6299 	 0.2992
[2022/09/16 12:04:06] - 12 	 496.9 	 	 0.0500 	 1.4450 	 0.4453 	 0.6875	 3077.8364 	 0.3434
[2022/09/16 12:13:38] - 13 	 502.3 	 	 0.0500 	 1.4282 	 0.4487 	 0.6961	 3113.6399 	 0.3309
[2022/09/16 12:23:09] - 14 	 502.8 	 	 0.0500 	 1.4135 	 0.4547 	 0.6656	 3120.8699 	 0.3477
[2022/09/16 12:32:48] - 15 	 508.3 	 	 0.0500 	 1.4060 	 0.4572 	 0.7250	 3164.0918 	 0.3383
[2022/09/16 12:42:25] - 16 	 507.3 	 	 0.0500 	 1.3875 	 0.4652 	 0.6828	 3183.4797 	 0.3383
[2022/09/16 12:52:15] - 17 	 520.0 	 	 0.0500 	 1.3818 	 0.4683 	 0.7426	 3219.6870 	 0.3398
[2022/09/16 13:01:52] - 18 	 506.7 	 	 0.0500 	 1.3680 	 0.4693 	 0.6922	 3272.3164 	 0.3383
[2022/09/16 13:13:39] - 19 	 637.2 	 	 0.0500 	 1.3076 	 0.5037 	 0.6828	 2938.1980 	 0.2770
[2022/09/16 13:25:25] - 20 	 636.6 	 	 0.0500 	 1.3082 	 0.4994 	 0.6813	 2984.4075 	 0.3152
[2022/09/16 13:37:11] - 21 	 637.1 	 	 0.0500 	 1.3007 	 0.5045 	 0.6930	 2965.5190 	 0.3051
[2022/09/16 13:48:58] - 22 	 637.5 	 	 0.0500 	 1.2964 	 0.5068 	 0.7063	 2976.3494 	 0.3410
[2022/09/16 14:00:45] - 23 	 636.7 	 	 0.0500 	 1.2943 	 0.5066 	 0.6746	 2977.3987 	 0.3160
[2022/09/16 14:12:32] - 24 	 638.0 	 	 0.0500 	 1.2956 	 0.5031 	 0.7176	 2972.2651 	 0.3320
[2022/09/16 14:24:21] - 25 	 639.1 	 	 0.0500 	 1.2886 	 0.5067 	 0.7055	 2962.0364 	 0.3398
[2022/09/16 14:36:10] - 26 	 639.1 	 	 0.0500 	 1.2842 	 0.5085 	 0.6715	 2965.3516 	 0.3215
[2022/09/16 14:47:59] - 27 	 639.7 	 	 0.0500 	 1.2816 	 0.5107 	 0.6488	 2973.3293 	 0.3066
[2022/09/16 14:59:49] - 28 	 640.0 	 	 0.0500 	 1.2815 	 0.5113 	 0.6746	 2974.2732 	 0.3504
[2022/09/16 15:11:31] - 29 	 633.1 	 	 0.0500 	 1.2783 	 0.5103 	 0.6383	 2977.1199 	 0.2832
[2022/09/16 15:23:22] - 30 	 642.2 	 	 0.0500 	 1.2755 	 0.5132 	 0.7148	 2998.9131 	 0.3590
[2022/09/16 15:35:14] - 31 	 641.0 	 	 0.0500 	 1.2726 	 0.5146 	 0.6754	 2980.8091 	 0.3504
[2022/09/16 15:47:04] - 32 	 640.0 	 	 0.0500 	 1.2759 	 0.5156 	 0.7211	 2986.1270 	 0.3715
[2022/09/16 15:58:55] - 33 	 641.4 	 	 0.0500 	 1.2697 	 0.5179 	 0.6914	 2977.1963 	 0.3391
[2022/09/16 16:10:47] - 34 	 642.1 	 	 0.0500 	 1.2702 	 0.5167 	 0.7000	 2981.4397 	 0.3598
[2022/09/16 16:22:39] - 35 	 642.2 	 	 0.0500 	 1.2695 	 0.5170 	 0.6734	 2989.5916 	 0.3246
[2022/09/16 16:34:31] - 36 	 641.7 	 	 0.0500 	 1.2702 	 0.5173 	 0.6758	 2990.8408 	 0.3203
[2022/09/16 16:46:23] - 37 	 641.9 	 	 0.0500 	 1.2683 	 0.5181 	 0.6988	 2980.8333 	 0.3438
[2022/09/16 16:58:22] - 38 	 649.2 	 	 0.0500 	 1.2641 	 0.5177 	 0.6984	 2982.6880 	 0.3301
[2022/09/16 17:10:13] - 39 	 641.3 	 	 0.0500 	 1.2618 	 0.5225 	 0.7047	 2992.0723 	 0.3324
[2022/09/16 17:22:05] - 40 	 642.4 	 	 0.0500 	 1.2635 	 0.5193 	 0.6957	 2990.2329 	 0.3445
[2022/09/16 17:33:58] - 41 	 642.3 	 	 0.0500 	 1.2606 	 0.5206 	 0.6617	 3004.7083 	 0.3027
[2022/09/16 17:45:48] - 42 	 640.7 	 	 0.0500 	 1.2607 	 0.5179 	 0.7324	 2987.8665 	 0.3648
[2022/09/16 17:57:40] - 43 	 641.0 	 	 0.0500 	 1.2654 	 0.5183 	 0.6988	 2991.3630 	 0.3391
[2022/09/16 18:09:28] - 44 	 638.0 	 	 0.0500 	 1.2574 	 0.5224 	 0.6742	 2983.1797 	 0.3105
