[2022/09/15 16:45:50] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/15 16:45:56] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/15 16:48:51] - 0 	 119.7 	 	 0.1000 	 1.5590 	 0.4240 	 0.4695	 5769.5923 	 0.0051
[2022/09/15 16:53:55] - 1 	 238.2 	 	 0.1000 	 1.9420 	 0.2659 	 0.5410	 2606.4365 	 0.2176
[2022/09/15 16:58:57] - 2 	 237.6 	 	 0.1000 	 1.7859 	 0.3124 	 0.5773	 2868.9688 	 0.2340
[2022/09/15 17:05:59] - 3 	 355.9 	 	 0.1000 	 1.7874 	 0.3166 	 0.5918	 2559.4363 	 0.2473
[2022/09/15 17:13:16] - 4 	 368.8 	 	 0.1000 	 1.7335 	 0.3374 	 0.6016	 2662.3933 	 0.2645
[2022/09/15 17:20:36] - 5 	 371.4 	 	 0.1000 	 1.6969 	 0.3521 	 0.6293	 2773.6785 	 0.2707
[2022/09/15 17:27:55] - 6 	 371.3 	 	 0.1000 	 1.6669 	 0.3641 	 0.6211	 2841.6782 	 0.2891
[2022/09/15 17:35:15] - 7 	 371.3 	 	 0.1000 	 1.6417 	 0.3720 	 0.6309	 2908.2700 	 0.2652
[2022/09/15 17:44:38] - 8 	 495.1 	 	 0.1000 	 1.6090 	 0.3874 	 0.5680	 2690.3665 	 0.2816
[2022/09/15 17:54:01] - 9 	 495.3 	 	 0.1000 	 1.5960 	 0.3904 	 0.5727	 2691.1838 	 0.2594
[2022/09/15 18:03:24] - 10 	 495.7 	 	 0.1000 	 1.5806 	 0.3970 	 0.5938	 2701.1736 	 0.2785
[2022/09/15 18:12:47] - 11 	 495.5 	 	 0.1000 	 1.5696 	 0.4027 	 0.5363	 2746.5703 	 0.2316
[2022/09/15 18:22:09] - 12 	 495.3 	 	 0.1000 	 1.5659 	 0.4047 	 0.6113	 2769.2336 	 0.2773
[2022/09/15 18:31:13] - 13 	 479.2 	 	 0.1000 	 1.5545 	 0.4060 	 0.6180	 2784.0308 	 0.2742
[2022/09/15 18:40:18] - 14 	 479.4 	 	 0.1000 	 1.5526 	 0.4071 	 0.5832	 2783.6042 	 0.3012
[2022/09/15 18:49:21] - 15 	 477.6 	 	 0.1000 	 1.5483 	 0.4117 	 0.6461	 2792.3621 	 0.3031
[2022/09/15 18:58:25] - 16 	 478.4 	 	 0.1000 	 1.5415 	 0.4119 	 0.5785	 2783.0354 	 0.2840
[2022/09/15 19:07:28] - 17 	 477.9 	 	 0.1000 	 1.5457 	 0.4142 	 0.5988	 2796.3347 	 0.2676
[2022/09/15 19:16:29] - 18 	 476.1 	 	 0.1000 	 1.5408 	 0.4128 	 0.5957	 2808.3374 	 0.2883
[2022/09/15 19:25:32] - 19 	 477.4 	 	 0.1000 	 1.5349 	 0.4151 	 0.6168	 2807.9998 	 0.2516
[2022/09/15 19:34:34] - 20 	 476.8 	 	 0.1000 	 1.5323 	 0.4162 	 0.5863	 2835.1140 	 0.2684
[2022/09/15 19:43:35] - 21 	 476.9 	 	 0.1000 	 1.5270 	 0.4165 	 0.6359	 2834.1675 	 0.2777
[2022/09/15 19:52:37] - 22 	 476.3 	 	 0.1000 	 1.5240 	 0.4165 	 0.6383	 2853.3696 	 0.3016
[2022/09/15 20:01:38] - 23 	 476.1 	 	 0.1000 	 1.5223 	 0.4189 	 0.6008	 2854.0295 	 0.2621
[2022/09/15 20:10:38] - 24 	 475.3 	 	 0.1000 	 1.5283 	 0.4166 	 0.6246	 2848.3484 	 0.2684
[2022/09/15 20:19:38] - 25 	 475.2 	 	 0.1000 	 1.5225 	 0.4198 	 0.6109	 2854.6465 	 0.2898
[2022/09/15 20:28:37] - 26 	 475.1 	 	 0.1000 	 1.5197 	 0.4191 	 0.6398	 2845.3015 	 0.3078
[2022/09/15 20:37:37] - 27 	 474.6 	 	 0.1000 	 1.5203 	 0.4175 	 0.5766	 2848.6592 	 0.2629
[2022/09/15 20:46:36] - 28 	 474.0 	 	 0.1000 	 1.5217 	 0.4182 	 0.6191	 2855.6409 	 0.3234
[2022/09/15 20:55:35] - 29 	 474.4 	 	 0.1000 	 1.5180 	 0.4206 	 0.5945	 2867.4607 	 0.2555
[2022/09/15 21:04:33] - 30 	 473.9 	 	 0.1000 	 1.5176 	 0.4207 	 0.6504	 2885.5823 	 0.3063
[2022/09/15 21:13:32] - 31 	 474.0 	 	 0.1000 	 1.5158 	 0.4224 	 0.6367	 2875.4980 	 0.3031
[2022/09/15 21:22:30] - 32 	 473.6 	 	 0.1000 	 1.5196 	 0.4197 	 0.6562	 2869.8281 	 0.3156
[2022/09/15 21:31:28] - 33 	 473.4 	 	 0.1000 	 1.5117 	 0.4236 	 0.6277	 2870.1116 	 0.2824
[2022/09/15 21:40:26] - 34 	 473.1 	 	 0.1000 	 1.5150 	 0.4253 	 0.6648	 2878.6348 	 0.3305
[2022/09/15 21:49:23] - 35 	 472.7 	 	 0.1000 	 1.5133 	 0.4220 	 0.5980	 2905.7244 	 0.2918
[2022/09/15 21:58:20] - 36 	 472.7 	 	 0.1000 	 1.5124 	 0.4247 	 0.5145	 2878.6201 	 0.2105
[2022/09/15 22:07:17] - 37 	 472.4 	 	 0.1000 	 1.5157 	 0.4229 	 0.6582	 2870.5334 	 0.2969
[2022/09/15 22:16:13] - 38 	 472.0 	 	 0.1000 	 1.5122 	 0.4211 	 0.6199	 2872.9548 	 0.2793
[2022/09/15 22:25:09] - 39 	 471.7 	 	 0.1000 	 1.5124 	 0.4252 	 0.6246	 2897.9233 	 0.2797
[2022/09/15 22:34:05] - 40 	 471.5 	 	 0.1000 	 1.5115 	 0.4235 	 0.6062	 2889.1731 	 0.2723
[2022/09/15 22:43:01] - 41 	 471.2 	 	 0.1000 	 1.5116 	 0.4224 	 0.5996	 2903.6516 	 0.2984
[2022/09/15 22:51:56] - 42 	 471.0 	 	 0.1000 	 1.5143 	 0.4215 	 0.6629	 2873.1477 	 0.3027
[2022/09/15 23:00:51] - 43 	 470.8 	 	 0.1000 	 1.5161 	 0.4209 	 0.6660	 2889.9287 	 0.3133
[2022/09/15 23:09:46] - 44 	 470.6 	 	 0.1000 	 1.5092 	 0.4265 	 0.6402	 2888.0557 	 0.3070
[2022/09/15 23:18:40] - 45 	 470.3 	 	 0.1000 	 1.5110 	 0.4250 	 0.6152	 2876.3875 	 0.2945
[2022/09/15 23:27:54] - 46 	 486.5 	 	 0.1000 	 1.5149 	 0.4240 	 0.6590	 2893.0093 	 0.3051
