[2022/05/02 23:37:01] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8.0, fname='output_dense', gamma=1.01, lr=0.01, model='dense', momentum=0.9, normalization='std', num_steps=10, out_dir='mmart_out', save_model=True, seed=0, step_size=2.0, weight_decay=0.0005, wide_factor=10)
[2022/05/02 23:37:01] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2022/05/02 23:38:17] - 0 	 60.9 	 	 0.0100 	 1.5713 	 0.5047 	 0.0000	 0.0105
[2022/05/02 23:39:57] - 1 	 85.0 	 	 0.0100 	 1.8611 	 0.5938 	 5.9800	 0.1586
[2022/05/02 23:41:38] - 2 	 85.4 	 	 0.0100 	 1.6174 	 0.6352 	 5.8997	 0.1809
[2022/05/02 23:43:47] - 3 	 114.1 	 	 0.0100 	 1.7859 	 0.6383 	 3.9514	 0.2867
[2022/05/02 23:46:22] - 4 	 140.0 	 	 0.0100 	 1.9324 	 0.6125 	 2.9311	 0.3176
[2022/05/02 23:49:24] - 5 	 166.3 	 	 0.0100 	 2.0298 	 0.5707 	 2.1076	 0.3023
[2022/05/02 23:52:25] - 6 	 165.8 	 	 0.0100 	 2.1077 	 0.5668 	 1.8000	 0.3070
[2022/05/02 23:55:26] - 7 	 165.9 	 	 0.0100 	 2.0690 	 0.5980 	 2.3458	 0.3422
[2022/05/02 23:58:27] - 8 	 166.0 	 	 0.0100 	 2.0082 	 0.6035 	 2.0447	 0.3445
[2022/05/03 00:01:29] - 9 	 167.3 	 	 0.0100 	 2.1504 	 0.5984 	 2.6757	 0.3512
[2022/05/03 00:04:31] - 10 	 166.8 	 	 0.0100 	 2.0761 	 0.6023 	 2.2124	 0.3602
[2022/05/03 00:07:32] - 11 	 165.8 	 	 0.0100 	 1.9716 	 0.6266 	 2.4311	 0.3488
[2022/05/03 00:10:34] - 12 	 166.1 	 	 0.0100 	 1.9753 	 0.5930 	 2.2506	 0.3758
[2022/05/03 00:13:35] - 13 	 165.8 	 	 0.0100 	 1.9347 	 0.6062 	 2.3352	 0.3680
[2022/05/03 00:16:36] - 14 	 166.2 	 	 0.0100 	 1.9671 	 0.6094 	 2.2441	 0.3766
[2022/05/03 00:19:38] - 15 	 166.4 	 	 0.0100 	 2.0583 	 0.6305 	 2.3645	 0.3645
[2022/05/03 00:22:39] - 16 	 165.6 	 	 0.0100 	 1.9897 	 0.5887 	 2.1054	 0.3871
[2022/05/03 00:25:40] - 17 	 165.8 	 	 0.0100 	 2.1093 	 0.6383 	 2.4378	 0.3762
[2022/05/03 00:28:41] - 18 	 166.2 	 	 0.0100 	 2.0008 	 0.6129 	 2.3725	 0.3746
[2022/05/03 00:31:42] - 19 	 165.6 	 	 0.0100 	 1.9598 	 0.6461 	 2.2352	 0.3645
[2022/05/03 00:34:44] - 20 	 166.0 	 	 0.0100 	 1.9269 	 0.6359 	 2.3461	 0.3918
[2022/05/03 00:37:45] - 21 	 166.2 	 	 0.0100 	 1.8277 	 0.6355 	 1.9778	 0.3934
[2022/05/03 00:40:46] - 22 	 166.1 	 	 0.0100 	 2.0694 	 0.6559 	 2.5120	 0.3715
[2022/05/03 00:43:48] - 23 	 166.4 	 	 0.0100 	 1.8505 	 0.6410 	 2.2556	 0.3957
[2022/05/03 00:46:49] - 24 	 165.9 	 	 0.0100 	 1.7926 	 0.6520 	 1.9388	 0.3879
[2022/05/03 00:49:50] - 25 	 166.3 	 	 0.0010 	 2.0546 	 0.6699 	 2.5154	 0.4129
[2022/05/03 00:52:52] - 26 	 166.4 	 	 0.0010 	 1.8455 	 0.6699 	 2.2288	 0.4148
[2022/05/03 00:55:53] - 27 	 166.3 	 	 0.0010 	 1.9216 	 0.6797 	 2.3911	 0.4059
[2022/05/03 00:58:55] - 28 	 166.1 	 	 0.0010 	 1.7678 	 0.6715 	 2.1894	 0.4105
[2022/05/03 01:01:56] - 29 	 166.2 	 	 0.0010 	 1.7583 	 0.6727 	 1.8292	 0.4234
[2022/05/03 01:04:57] - 30 	 166.0 	 	 0.0010 	 1.8503 	 0.6758 	 2.2596	 0.4180
[2022/05/03 01:07:58] - 31 	 166.3 	 	 0.0010 	 1.8758 	 0.6781 	 2.2791	 0.4188
[2022/05/03 01:10:59] - 32 	 165.7 	 	 0.0010 	 1.6745 	 0.6852 	 2.2174	 0.4133
[2022/05/03 01:14:00] - 33 	 165.4 	 	 0.0010 	 1.9843 	 0.6766 	 2.4572	 0.4117
[2022/05/03 01:17:01] - 34 	 166.4 	 	 0.0010 	 1.6837 	 0.6828 	 2.0388	 0.4227
[2022/05/03 01:20:03] - 35 	 165.8 	 	 0.0010 	 1.9677 	 0.6902 	 2.7648	 0.4129
[2022/05/03 01:23:04] - 36 	 166.3 	 	 0.0010 	 1.7705 	 0.6762 	 2.2532	 0.4270
[2022/05/03 01:26:06] - 37 	 166.9 	 	 0.0010 	 1.8552 	 0.6801 	 2.5355	 0.4168
[2022/05/03 01:29:08] - 38 	 166.6 	 	 0.0010 	 1.9125 	 0.6871 	 2.8161	 0.4141
[2022/05/03 01:32:09] - 39 	 165.8 	 	 0.0010 	 1.7877 	 0.6891 	 2.3456	 0.4121
[2022/05/03 01:35:11] - 40 	 165.9 	 	 0.0001 	 1.9361 	 0.6930 	 2.7425	 0.4184
[2022/05/03 01:38:13] - 41 	 167.0 	 	 0.0001 	 1.6901 	 0.6902 	 2.0067	 0.4219
[2022/05/03 01:41:14] - 42 	 165.6 	 	 0.0001 	 1.8496 	 0.6930 	 2.5100	 0.4184
[2022/05/03 01:44:15] - 43 	 166.2 	 	 0.0001 	 1.7235 	 0.6918 	 2.0660	 0.4176
[2022/05/03 01:47:17] - 44 	 166.5 	 	 0.0001 	 1.8953 	 0.6891 	 2.5008	 0.4234
[2022/05/03 01:50:19] - 45 	 167.0 	 	 0.0001 	 1.7336 	 0.6914 	 2.2027	 0.4156
[2022/05/03 01:53:20] - 46 	 166.0 	 	 0.0001 	 1.7168 	 0.6902 	 2.0609	 0.4191
[2022/05/03 01:56:21] - 47 	 166.2 	 	 0.0001 	 1.7883 	 0.6910 	 2.3042	 0.4203
[2022/05/03 01:59:22] - 48 	 165.9 	 	 0.0001 	 1.8062 	 0.6910 	 2.1763	 0.4117
[2022/05/03 02:02:23] - 49 	 165.8 	 	 0.0001 	 1.8045 	 0.6914 	 2.4942	 0.4164
[2022/05/03 02:02:23] - Total train time: 132.6993 minutes
[2022/05/03 02:02:23] - Best checkpoint at 36, 0.426953125
