[2021/03/21 11:18:27] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8.0, fname='output_pre', gamma=1.01, lr=0.05, model='pre', momentum=0.9, num_steps=10, out_dir='mmart_out', save_model=True, seed=0, step_size=2.0, weight_decay=0.0005, wide_factor=10)
[2021/03/21 11:18:27] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2021/03/21 11:19:06] - 0 	 30.4 	 	 0.0500 	 1.5198 	 0.5797 	 0.0000	 0.0090
[2021/03/21 11:19:59] - 1 	 44.6 	 	 0.0500 	 1.7682 	 0.5742 	 5.5334	 0.2121
[2021/03/21 11:20:53] - 2 	 44.7 	 	 0.0500 	 1.6164 	 0.6566 	 5.7659	 0.2117
[2021/03/21 11:22:01] - 3 	 59.4 	 	 0.0500 	 1.9192 	 0.6594 	 4.4659	 0.2965
[2021/03/21 11:23:24] - 4 	 74.1 	 	 0.0500 	 1.8849 	 0.6340 	 2.6872	 0.3496
[2021/03/21 11:25:01] - 5 	 88.6 	 	 0.0500 	 1.9763 	 0.6293 	 2.0615	 0.3723
[2021/03/21 11:26:39] - 6 	 88.7 	 	 0.0500 	 1.9534 	 0.6195 	 1.8270	 0.3895
[2021/03/21 11:28:16] - 7 	 88.7 	 	 0.0500 	 1.9756 	 0.6512 	 2.1390	 0.3586
[2021/03/21 11:29:53] - 8 	 88.6 	 	 0.0500 	 2.0901 	 0.6344 	 2.4326	 0.3895
[2021/03/21 11:31:31] - 9 	 88.8 	 	 0.0500 	 2.0580 	 0.6410 	 2.4498	 0.3879
[2021/03/21 11:33:08] - 10 	 88.7 	 	 0.0500 	 2.0245 	 0.6277 	 2.3789	 0.4004
[2021/03/21 11:34:46] - 11 	 88.7 	 	 0.0500 	 1.9600 	 0.6340 	 2.4559	 0.4035
[2021/03/21 11:36:23] - 12 	 88.7 	 	 0.0500 	 1.9264 	 0.6680 	 2.3319	 0.3953
[2021/03/21 11:38:01] - 13 	 88.7 	 	 0.0500 	 1.8837 	 0.6406 	 2.1391	 0.4047
[2021/03/21 11:39:38] - 14 	 88.8 	 	 0.0500 	 1.7957 	 0.6527 	 2.0192	 0.4031
[2021/03/21 11:41:16] - 15 	 88.7 	 	 0.0500 	 1.9600 	 0.6711 	 2.5819	 0.4148
[2021/03/21 11:42:53] - 16 	 88.6 	 	 0.0500 	 1.8954 	 0.6559 	 2.0806	 0.4242
