[2022/04/27 15:17:23] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8.0, fname='output_vgg16', gamma=1.01, lr=0.01, model='vgg16', momentum=0.9, normalization='std', num_steps=10, out_dir='mmart_out', save_model=True, seed=0, step_size=2.0, weight_decay=0.0005, wide_factor=10)
[2022/04/27 15:17:23] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2022/04/27 15:17:51] - 0 	 21.3 	 	 0.0100 	 2.3037 	 0.2121 	 0.0000	 0.1383
[2022/04/27 15:18:26] - 1 	 29.5 	 	 0.0100 	 2.2176 	 0.2707 	 1.6961	 0.1145
[2022/04/27 15:19:02] - 2 	 29.6 	 	 0.0100 	 2.0342 	 0.3121 	 1.7045	 0.1461
[2022/04/27 15:19:47] - 3 	 38.7 	 	 0.0100 	 2.1808 	 0.3453 	 1.4826	 0.1766
[2022/04/27 15:20:42] - 4 	 48.2 	 	 0.0100 	 2.2172 	 0.3688 	 1.1648	 0.2199
[2022/04/27 15:21:47] - 5 	 58.2 	 	 0.0100 	 2.2768 	 0.3949 	 0.9084	 0.2480
[2022/04/27 15:22:51] - 6 	 58.2 	 	 0.0100 	 2.1813 	 0.4207 	 1.1257	 0.2445
[2022/04/27 15:23:56] - 7 	 58.3 	 	 0.0100 	 2.2397 	 0.4254 	 1.2228	 0.2578
[2022/04/27 15:25:10] - 8 	 67.7 	 	 0.0100 	 2.2020 	 0.4352 	 1.2334	 0.2648
[2022/04/27 15:26:24] - 9 	 67.4 	 	 0.0100 	 2.2137 	 0.4449 	 1.2470	 0.2727
[2022/04/27 15:27:47] - 10 	 76.4 	 	 0.0100 	 2.1480 	 0.4562 	 1.3471	 0.2844
[2022/04/27 15:29:18] - 11 	 85.3 	 	 0.0100 	 2.1449 	 0.4902 	 1.4357	 0.2844
[2022/04/27 15:31:00] - 12 	 95.0 	 	 0.0100 	 2.2266 	 0.4973 	 1.6762	 0.2836
[2022/04/27 15:32:49] - 13 	 103.7 	 	 0.0100 	 2.1245 	 0.4934 	 1.4929	 0.2891
[2022/04/27 15:34:40] - 14 	 104.0 	 	 0.0100 	 2.1280 	 0.4914 	 1.6218	 0.3297
[2022/04/27 15:36:30] - 15 	 104.1 	 	 0.0100 	 2.1917 	 0.5270 	 1.6765	 0.3270
[2022/04/27 15:38:22] - 16 	 105.4 	 	 0.0100 	 2.1104 	 0.5141 	 1.6285	 0.3246
[2022/04/27 15:40:13] - 17 	 105.0 	 	 0.0100 	 2.0225 	 0.5434 	 1.8270	 0.3355
[2022/04/27 15:42:14] - 18 	 114.7 	 	 0.0100 	 2.0605 	 0.5348 	 1.7878	 0.3426
[2022/04/27 15:44:14] - 19 	 113.7 	 	 0.0100 	 2.0486 	 0.5422 	 1.6000	 0.3648
[2022/04/27 15:46:14] - 20 	 113.4 	 	 0.0100 	 2.1577 	 0.5711 	 1.9643	 0.3539
[2022/04/27 15:48:14] - 21 	 113.3 	 	 0.0100 	 2.0509 	 0.5437 	 1.8728	 0.3535
[2022/04/27 15:50:13] - 22 	 113.5 	 	 0.0100 	 2.1422 	 0.5570 	 2.0037	 0.3520
[2022/04/27 15:52:13] - 23 	 113.3 	 	 0.0100 	 2.1150 	 0.5895 	 2.2770	 0.3523
[2022/04/27 15:54:14] - 24 	 114.5 	 	 0.0100 	 2.0367 	 0.5809 	 1.9331	 0.3895
[2022/04/27 15:56:16] - 25 	 115.6 	 	 0.0010 	 1.9663 	 0.6125 	 2.2642	 0.3852
[2022/04/27 15:58:18] - 26 	 115.8 	 	 0.0010 	 2.1285 	 0.6098 	 2.8589	 0.3937
