[2022/09/19 23:51:42] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=100, epsilon=8.0, fname='output_wide', gamma=1.01, lr=0.1, model='wide', momentum=0.9, normalization='std', num_steps=10, out_dir='mmart_out', save_model=True, seed=0, step_size=2.0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 23:51:42] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2022/09/19 23:57:05] - 0 	 250.0 	 	 0.1000 	 2.0966 	 0.3871 	 0.0000	 0.0813
[2022/09/20 00:04:56] - 1 	 397.8 	 	 0.1000 	 1.9866 	 0.4625 	 2.9352	 0.1715
[2022/09/20 00:12:48] - 2 	 397.8 	 	 0.1000 	 2.0396 	 0.5375 	 4.9682	 0.2062
[2022/09/20 00:22:53] - 3 	 530.8 	 	 0.1000 	 2.0261 	 0.5289 	 3.0699	 0.2930
[2022/09/20 00:35:07] - 4 	 660.5 	 	 0.1000 	 1.9638 	 0.5660 	 2.5545	 0.3336
[2022/09/20 00:49:33] - 5 	 792.5 	 	 0.1000 	 2.0318 	 0.5590 	 1.6319	 0.3617
[2022/09/20 01:03:54] - 6 	 787.2 	 	 0.1000 	 2.1208 	 0.5777 	 1.9747	 0.3422
[2022/09/20 01:19:49] - 7 	 870.5 	 	 0.1000 	 2.0702 	 0.6051 	 1.8411	 0.3652
[2022/09/20 01:36:38] - 8 	 923.9 	 	 0.1000 	 2.0430 	 0.6051 	 1.9108	 0.3848
[2022/09/20 01:53:28] - 9 	 923.3 	 	 0.1000 	 2.0003 	 0.6172 	 2.4119	 0.3875
[2022/09/20 02:09:06] - 10 	 853.7 	 	 0.1000 	 2.1252 	 0.6465 	 2.2685	 0.4074
[2022/09/20 02:25:44] - 11 	 913.5 	 	 0.1000 	 2.1333 	 0.6367 	 2.3559	 0.3984
[2022/09/20 02:41:43] - 12 	 874.2 	 	 0.1000 	 1.9154 	 0.6488 	 2.1598	 0.3895
[2022/09/20 02:58:22] - 13 	 915.8 	 	 0.1000 	 1.9924 	 0.6305 	 2.1880	 0.3961
[2022/09/20 03:14:30] - 14 	 884.4 	 	 0.1000 	 1.9418 	 0.6328 	 2.2230	 0.3949
[2022/09/20 03:31:02] - 15 	 907.8 	 	 0.1000 	 1.8615 	 0.6383 	 2.0985	 0.4066
[2022/09/20 03:45:24] - 16 	 790.9 	 	 0.1000 	 2.0350 	 0.6250 	 2.5029	 0.4152
