[2022/05/02 05:57:19] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output_dense', gamma=1.01, init_tau=8, lr_max=0.01, lr_min=0.0, lr_schedule='multistep', max_iteration=7, model='dense', momentum=0.9, normalization='std', out_dir='mpgd_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/02 05:57:23] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 PGD Acc
[2022/05/02 05:58:19] - 0 	 39.7 	 	 0.0100 	 1.4507 	 0.4670 	 0.5762	 0.0000 	 0.0055
[2022/05/02 05:59:52] - 1 	 73.2 	 	 0.0100 	 1.9197 	 0.2779 	 0.4723	 1405.9158 	 0.2414
[2022/05/02 06:01:24] - 2 	 72.8 	 	 0.0100 	 1.7711 	 0.3258 	 0.5152	 1277.6555 	 0.2832
[2022/05/02 06:02:57] - 3 	 73.1 	 	 0.0100 	 1.7053 	 0.3531 	 0.5828	 1312.7455 	 0.2871
[2022/05/02 06:04:29] - 4 	 72.9 	 	 0.0100 	 1.6562 	 0.3687 	 0.5875	 1345.7253 	 0.2992
[2022/05/02 06:06:01] - 5 	 72.6 	 	 0.0100 	 1.6133 	 0.3838 	 0.5973	 1371.5044 	 0.3105
[2022/05/02 06:07:33] - 6 	 72.9 	 	 0.0100 	 1.5787 	 0.3952 	 0.6098	 1394.4684 	 0.2867
[2022/05/02 06:09:06] - 7 	 72.9 	 	 0.0100 	 1.5455 	 0.4085 	 0.6379	 1412.3186 	 0.3180
[2022/05/02 06:10:38] - 8 	 73.0 	 	 0.0100 	 1.5173 	 0.4181 	 0.6566	 1426.3700 	 0.3145
[2022/05/02 06:12:46] - 9 	 108.1 	 	 0.0100 	 1.6125 	 0.3852 	 0.6301	 1644.7520 	 0.3484
[2022/05/02 06:15:27] - 10 	 141.8 	 	 0.0100 	 1.6130 	 0.3895 	 0.6469	 1787.2955 	 0.3566
[2022/05/02 06:18:42] - 11 	 176.1 	 	 0.0100 	 1.5993 	 0.3942 	 0.6668	 1913.5243 	 0.3547
[2022/05/02 06:22:32] - 12 	 210.5 	 	 0.0100 	 1.5880 	 0.3981 	 0.6328	 1967.2767 	 0.3828
[2022/05/02 06:26:56] - 13 	 244.9 	 	 0.0100 	 1.5719 	 0.4051 	 0.6543	 2010.2922 	 0.3664
[2022/05/02 06:31:55] - 14 	 279.3 	 	 0.0100 	 1.5573 	 0.4098 	 0.6445	 2041.9064 	 0.3844
[2022/05/02 06:36:53] - 15 	 279.4 	 	 0.0100 	 1.5467 	 0.4183 	 0.6742	 2059.2026 	 0.3754
[2022/05/02 06:41:52] - 16 	 279.4 	 	 0.0100 	 1.5327 	 0.4182 	 0.6441	 2068.4846 	 0.3844
[2022/05/02 06:46:50] - 17 	 278.8 	 	 0.0100 	 1.5239 	 0.4256 	 0.6855	 2082.2573 	 0.3750
[2022/05/02 06:51:48] - 18 	 278.8 	 	 0.0100 	 1.5093 	 0.4283 	 0.6609	 2094.1558 	 0.3848
[2022/05/02 06:56:47] - 19 	 279.1 	 	 0.0100 	 1.4981 	 0.4319 	 0.6832	 2113.5571 	 0.3684
[2022/05/02 07:01:45] - 20 	 279.2 	 	 0.0100 	 1.4920 	 0.4352 	 0.6746	 2109.9407 	 0.3957
