[2022/04/28 22:43:45] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output_vgg16', gamma=1.01, init_tau=8, lr_max=0.01, lr_min=0.0, lr_schedule='multistep', max_iteration=7, model='vgg16', momentum=0.9, normalization='std', out_dir='mpgd_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/04/28 22:43:49] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 PGD Acc
[2022/04/28 22:44:08] - 0 	 12.4 	 	 0.0100 	 1.4661 	 0.4661 	 0.6074	 0.0000 	 0.0121
[2022/04/28 22:44:37] - 1 	 22.4 	 	 0.0100 	 1.8957 	 0.2792 	 0.5117	 1268.7234 	 0.2738
[2022/04/28 22:45:06] - 2 	 22.4 	 	 0.0100 	 1.7274 	 0.3413 	 0.5633	 1316.5275 	 0.2887
[2022/04/28 22:45:45] - 3 	 33.2 	 	 0.0100 	 1.7647 	 0.3338 	 0.5746	 1417.8442 	 0.3285
[2022/04/28 22:46:36] - 4 	 43.9 	 	 0.0100 	 1.7393 	 0.3439 	 0.5602	 1578.8547 	 0.3340
[2022/04/28 22:47:37] - 5 	 54.7 	 	 0.0100 	 1.7082 	 0.3560 	 0.5840	 1745.8877 	 0.3309
[2022/04/28 22:48:49] - 6 	 65.3 	 	 0.0100 	 1.6782 	 0.3670 	 0.6199	 1843.8722 	 0.3668
[2022/04/28 22:50:12] - 7 	 76.1 	 	 0.0100 	 1.6498 	 0.3800 	 0.6129	 1910.7258 	 0.3559
[2022/04/28 22:51:45] - 8 	 86.7 	 	 0.0100 	 1.6255 	 0.3865 	 0.6168	 1975.0475 	 0.3461
[2022/04/28 22:53:19] - 9 	 86.6 	 	 0.0100 	 1.6060 	 0.3912 	 0.6270	 2007.4697 	 0.3691
[2022/04/28 22:54:52] - 10 	 86.8 	 	 0.0100 	 1.5840 	 0.4039 	 0.6629	 2049.1812 	 0.3828
[2022/04/28 22:56:25] - 11 	 86.7 	 	 0.0100 	 1.5637 	 0.4103 	 0.6613	 2082.1296 	 0.3824
[2022/04/28 22:57:59] - 12 	 86.7 	 	 0.0100 	 1.5460 	 0.4162 	 0.6750	 2118.5461 	 0.3770
[2022/04/28 22:59:32] - 13 	 86.8 	 	 0.0100 	 1.5307 	 0.4198 	 0.6695	 2137.1504 	 0.3922
[2022/04/28 23:01:05] - 14 	 86.7 	 	 0.0100 	 1.5178 	 0.4248 	 0.6414	 2160.6470 	 0.4070
[2022/04/28 23:02:39] - 15 	 86.8 	 	 0.0100 	 1.5031 	 0.4302 	 0.6594	 2180.4170 	 0.4047
[2022/04/28 23:04:12] - 16 	 86.8 	 	 0.0100 	 1.4860 	 0.4363 	 0.6867	 2213.6948 	 0.4012
[2022/04/28 23:05:45] - 17 	 86.6 	 	 0.0100 	 1.4734 	 0.4432 	 0.6902	 2231.7410 	 0.4000
[2022/04/28 23:07:19] - 18 	 86.6 	 	 0.0100 	 1.4607 	 0.4449 	 0.6871	 2256.1768 	 0.4012
[2022/04/28 23:08:52] - 19 	 86.6 	 	 0.0100 	 1.4478 	 0.4486 	 0.6988	 2275.1968 	 0.4246
[2022/04/28 23:10:25] - 20 	 86.7 	 	 0.0100 	 1.4372 	 0.4524 	 0.6918	 2288.4792 	 0.4059
[2022/04/28 23:11:58] - 21 	 86.7 	 	 0.0100 	 1.4307 	 0.4549 	 0.7090	 2307.8423 	 0.4156
[2022/04/28 23:13:31] - 22 	 86.7 	 	 0.0100 	 1.4186 	 0.4610 	 0.7090	 2328.1990 	 0.4176
