[2022/09/20 10:42:05] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=7, model='wide', momentum=0.9, normalization='std', out_dir='mpgd_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/20 10:42:09] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 PGD Acc
[2022/09/20 10:44:46] - 0 	 111.3 	 	 0.1000 	 1.5537 	 0.4268 	 0.5625	 0.0000 	 0.0020
[2022/09/20 10:49:28] - 1 	 220.8 	 	 0.1000 	 1.4233 	 0.4672 	 0.6059	 3216.0330 	 0.1297
[2022/09/20 10:54:10] - 2 	 220.9 	 	 0.1000 	 1.2221 	 0.5467 	 0.6383	 3245.8032 	 0.1594
[2022/09/20 11:00:42] - 3 	 330.1 	 	 0.1000 	 1.3229 	 0.5001 	 0.6625	 2782.5581 	 0.2715
[2022/09/20 11:09:02] - 4 	 439.5 	 	 0.1000 	 1.3928 	 0.4722 	 0.6969	 2423.6780 	 0.3047
[2022/09/20 11:19:12] - 5 	 548.8 	 	 0.1000 	 1.4394 	 0.4525 	 0.6797	 2196.6160 	 0.3488
[2022/09/20 11:29:22] - 6 	 548.6 	 	 0.1000 	 1.4062 	 0.4688 	 0.7008	 2181.1816 	 0.3484
[2022/09/20 11:39:32] - 7 	 548.8 	 	 0.1000 	 1.3774 	 0.4763 	 0.7266	 2170.8218 	 0.3508
[2022/09/20 11:49:42] - 8 	 548.7 	 	 0.1000 	 1.3459 	 0.4901 	 0.7223	 2201.4250 	 0.3777
[2022/09/20 11:59:52] - 9 	 548.7 	 	 0.1000 	 1.3211 	 0.5001 	 0.7242	 2198.8264 	 0.3883
[2022/09/20 12:10:02] - 10 	 548.6 	 	 0.1000 	 1.3056 	 0.5046 	 0.7430	 2216.2097 	 0.3703
[2022/09/20 12:20:11] - 11 	 548.5 	 	 0.1000 	 1.2863 	 0.5122 	 0.7422	 2221.1438 	 0.3789
[2022/09/20 12:30:21] - 12 	 548.5 	 	 0.1000 	 1.2704 	 0.5198 	 0.7523	 2233.9961 	 0.3891
[2022/09/20 12:40:30] - 13 	 548.5 	 	 0.1000 	 1.2555 	 0.5238 	 0.7535	 2246.8318 	 0.3797
[2022/09/20 12:50:40] - 14 	 548.4 	 	 0.1000 	 1.2402 	 0.5286 	 0.7172	 2254.7212 	 0.3809
[2022/09/20 13:00:49] - 15 	 548.5 	 	 0.1000 	 1.2351 	 0.5311 	 0.7750	 2274.0117 	 0.3898
[2022/09/20 13:10:59] - 16 	 548.4 	 	 0.1000 	 1.2159 	 0.5372 	 0.7465	 2269.6985 	 0.4121
[2022/09/20 13:21:08] - 17 	 548.3 	 	 0.1000 	 1.2042 	 0.5431 	 0.7688	 2289.7295 	 0.4027
[2022/09/20 13:31:17] - 18 	 548.3 	 	 0.1000 	 1.1953 	 0.5450 	 0.7637	 2311.6785 	 0.4129
[2022/09/20 13:41:27] - 19 	 548.2 	 	 0.1000 	 1.1857 	 0.5508 	 0.7461	 2312.1924 	 0.4090
[2022/09/20 13:51:36] - 20 	 548.3 	 	 0.1000 	 1.1711 	 0.5529 	 0.7746	 2321.7732 	 0.3910
[2022/09/20 14:01:45] - 21 	 548.4 	 	 0.1000 	 1.1615 	 0.5583 	 0.7781	 2323.7388 	 0.4125
[2022/09/20 14:11:54] - 22 	 548.4 	 	 0.1000 	 1.1517 	 0.5638 	 0.7891	 2332.8040 	 0.4148
[2022/09/20 14:22:04] - 23 	 548.3 	 	 0.1000 	 1.1458 	 0.5630 	 0.7910	 2326.3694 	 0.4074
[2022/09/20 14:32:13] - 24 	 548.3 	 	 0.1000 	 1.1404 	 0.5667 	 0.7816	 2340.2954 	 0.4102
[2022/09/20 14:42:22] - 25 	 548.2 	 	 0.1000 	 1.1333 	 0.5667 	 0.7777	 2333.8699 	 0.4215
[2022/09/20 14:52:31] - 26 	 548.2 	 	 0.1000 	 1.1294 	 0.5677 	 0.7840	 2350.3755 	 0.4266
[2022/09/20 15:02:41] - 27 	 548.3 	 	 0.1000 	 1.1184 	 0.5717 	 0.7746	 2350.9492 	 0.4281
[2022/09/20 15:12:50] - 28 	 548.3 	 	 0.1000 	 1.1096 	 0.5750 	 0.7930	 2350.1697 	 0.4254
[2022/09/20 15:23:00] - 29 	 548.4 	 	 0.1000 	 1.1037 	 0.5780 	 0.8254	 2356.2046 	 0.4086
[2022/09/20 15:33:09] - 30 	 548.4 	 	 0.1000 	 1.0973 	 0.5805 	 0.7867	 2352.1323 	 0.4289
[2022/09/20 15:43:18] - 31 	 548.3 	 	 0.1000 	 1.0975 	 0.5793 	 0.8105	 2369.5806 	 0.4527
[2022/09/20 15:53:28] - 32 	 548.2 	 	 0.1000 	 1.0923 	 0.5807 	 0.8066	 2370.7825 	 0.4168
[2022/09/20 16:03:37] - 33 	 548.1 	 	 0.1000 	 1.0829 	 0.5852 	 0.8148	 2364.8381 	 0.4395
[2022/09/20 16:13:46] - 34 	 548.5 	 	 0.1000 	 1.0841 	 0.5844 	 0.7918	 2368.3320 	 0.4031
[2022/09/20 16:23:55] - 35 	 548.4 	 	 0.1000 	 1.0813 	 0.5876 	 0.8031	 2367.4832 	 0.4355
[2022/09/20 16:34:05] - 36 	 548.4 	 	 0.1000 	 1.0729 	 0.5893 	 0.8023	 2384.4578 	 0.4371
[2022/09/20 16:44:14] - 37 	 548.6 	 	 0.1000 	 1.0698 	 0.5885 	 0.8035	 2379.0513 	 0.4191
[2022/09/20 16:54:24] - 38 	 548.6 	 	 0.1000 	 1.0660 	 0.5883 	 0.8063	 2378.6526 	 0.4246
[2022/09/20 17:04:33] - 39 	 548.5 	 	 0.1000 	 1.0652 	 0.5901 	 0.8156	 2390.3994 	 0.4215
[2022/09/20 17:14:42] - 40 	 548.4 	 	 0.1000 	 1.0548 	 0.5959 	 0.8086	 2376.9321 	 0.4285
[2022/09/20 17:24:52] - 41 	 548.7 	 	 0.1000 	 1.0529 	 0.5944 	 0.8141	 2389.9629 	 0.4367
[2022/09/20 17:35:01] - 42 	 548.6 	 	 0.1000 	 1.0536 	 0.5948 	 0.8160	 2384.5352 	 0.4570
[2022/09/20 17:45:11] - 43 	 548.6 	 	 0.1000 	 1.0523 	 0.5975 	 0.7945	 2379.1826 	 0.4391
[2022/09/20 17:55:21] - 44 	 548.7 	 	 0.1000 	 1.0523 	 0.5964 	 0.8023	 2390.1038 	 0.4234
[2022/09/20 18:05:30] - 45 	 548.5 	 	 0.1000 	 1.0449 	 0.5979 	 0.8109	 2385.5288 	 0.4336
[2022/09/20 18:15:40] - 46 	 548.5 	 	 0.1000 	 1.0449 	 0.5997 	 0.8063	 2398.6118 	 0.4223
[2022/09/20 18:25:49] - 47 	 548.5 	 	 0.1000 	 1.0384 	 0.5991 	 0.8020	 2379.0627 	 0.4328
[2022/09/20 18:35:58] - 48 	 548.1 	 	 0.1000 	 1.0404 	 0.5999 	 0.8203	 2390.9875 	 0.4297
