[2022/05/02 12:45:02] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8, fname='output_dense', gamma=1.01, log_interval=100, lr=0.01, model='dense', momentum=0.9, no_cuda=False, normalization='std', num_steps=10, out_dir='mtrades_out', save_freq=1, save_model=True, seed=0, step_size=2.0, test_batch_size=128, weight_decay=0.0005, wide_factor=10)
[2022/05/02 12:45:02] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2022/05/02 12:47:10] - 0 	 110.9 	 	 0.0100 	 1.4501 	 0.5629 	 0.0000	 0.0125
[2022/05/02 12:50:27] - 1 	 178.0 	 	 0.0100 	 1.3144 	 0.6438 	 0.6649	 0.1215
[2022/05/02 12:53:44] - 2 	 177.6 	 	 0.0100 	 1.1447 	 0.6793 	 0.8131	 0.1457
[2022/05/02 12:58:11] - 3 	 247.4 	 	 0.0100 	 1.3210 	 0.6723 	 43.5268	 0.2160
[2022/05/02 13:03:45] - 4 	 315.0 	 	 0.0100 	 1.4502 	 0.6645 	 55.2883	 0.2852
[2022/05/02 13:10:28] - 5 	 383.4 	 	 0.0100 	 1.5493 	 0.6531 	 42.0134	 0.2906
[2022/05/02 13:17:12] - 6 	 384.9 	 	 0.0100 	 1.5193 	 0.6469 	 54.4641	 0.3098
[2022/05/02 13:23:54] - 7 	 383.6 	 	 0.0100 	 1.5023 	 0.6641 	 43.7125	 0.2930
[2022/05/02 13:30:36] - 8 	 382.1 	 	 0.0100 	 1.4814 	 0.6645 	 46.1121	 0.2965
[2022/05/02 13:37:14] - 9 	 379.9 	 	 0.0100 	 1.4676 	 0.6820 	 52.8099	 0.3164
[2022/05/02 13:43:54] - 10 	 380.4 	 	 0.0100 	 1.4524 	 0.6703 	 47.0942	 0.3043
[2022/05/02 13:50:32] - 11 	 379.4 	 	 0.0100 	 1.4420 	 0.6645 	 40.3246	 0.3172
[2022/05/02 13:57:10] - 12 	 378.6 	 	 0.0100 	 1.4300 	 0.6738 	 49.8249	 0.3473
[2022/05/02 14:03:48] - 13 	 378.7 	 	 0.0100 	 1.4198 	 0.6820 	 45.7596	 0.3406
[2022/05/02 14:10:25] - 14 	 377.8 	 	 0.0100 	 1.4107 	 0.6594 	 57.3736	 0.3219
[2022/05/02 14:18:09] - 15 	 445.5 	 	 0.0100 	 1.4225 	 0.6934 	 59.6705	 0.3441
[2022/05/02 14:27:00] - 16 	 512.5 	 	 0.0100 	 1.4290 	 0.6727 	 57.7507	 0.3477
[2022/05/02 14:35:51] - 17 	 512.4 	 	 0.0100 	 1.4229 	 0.6797 	 49.3365	 0.3352
[2022/05/02 14:44:43] - 18 	 512.8 	 	 0.0100 	 1.4113 	 0.6965 	 58.0583	 0.3656
[2022/05/02 14:53:34] - 19 	 512.0 	 	 0.0100 	 1.4073 	 0.6891 	 56.0478	 0.3590
[2022/05/02 15:02:24] - 20 	 511.2 	 	 0.0100 	 1.3995 	 0.6977 	 67.0520	 0.3621
[2022/05/02 15:12:16] - 21 	 573.4 	 	 0.0100 	 1.4018 	 0.6836 	 49.8715	 0.3570
[2022/05/02 15:22:14] - 22 	 578.4 	 	 0.0100 	 1.3945 	 0.7023 	 61.8579	 0.3730
[2022/05/02 15:32:13] - 23 	 580.8 	 	 0.0100 	 1.3893 	 0.7016 	 60.7000	 0.3582
[2022/05/02 15:42:15] - 24 	 582.6 	 	 0.0100 	 1.3827 	 0.7055 	 64.2853	 0.3707
[2022/05/02 15:52:17] - 25 	 582.8 	 	 0.0010 	 1.3345 	 0.7270 	 51.3927	 0.3867
[2022/05/02 16:02:20] - 26 	 583.7 	 	 0.0010 	 1.3236 	 0.7223 	 52.2133	 0.4020
[2022/05/02 16:12:22] - 27 	 583.7 	 	 0.0010 	 1.3170 	 0.7223 	 52.5515	 0.3953
[2022/05/02 16:22:23] - 28 	 581.6 	 	 0.0010 	 1.3158 	 0.7332 	 60.6639	 0.3930
[2022/05/02 16:32:22] - 29 	 579.8 	 	 0.0010 	 1.3132 	 0.7258 	 67.1685	 0.3973
[2022/05/02 16:42:20] - 30 	 579.1 	 	 0.0010 	 1.3120 	 0.7320 	 67.6351	 0.3984
[2022/05/02 16:52:18] - 31 	 579.4 	 	 0.0010 	 1.3084 	 0.7301 	 64.6037	 0.3930
[2022/05/02 17:02:15] - 32 	 578.1 	 	 0.0010 	 1.3074 	 0.7266 	 59.8296	 0.4004
[2022/05/02 17:12:12] - 33 	 578.0 	 	 0.0010 	 1.3053 	 0.7301 	 63.5689	 0.4012
[2022/05/02 17:22:11] - 34 	 580.1 	 	 0.0010 	 1.3044 	 0.7355 	 63.9674	 0.3906
[2022/05/02 17:32:10] - 35 	 580.3 	 	 0.0010 	 1.3022 	 0.7355 	 68.1053	 0.4016
[2022/05/02 17:43:16] - 36 	 647.4 	 	 0.0010 	 1.3097 	 0.7184 	 63.0953	 0.3984
[2022/05/02 17:54:27] - 37 	 651.5 	 	 0.0010 	 1.3087 	 0.7355 	 69.4383	 0.3961
[2022/05/02 18:06:43] - 38 	 717.2 	 	 0.0010 	 1.3101 	 0.7316 	 72.1019	 0.3910
[2022/05/02 18:20:11] - 39 	 788.4 	 	 0.0010 	 1.3170 	 0.7285 	 65.2945	 0.3973
[2022/05/02 18:33:38] - 40 	 788.3 	 	 0.0001 	 1.3093 	 0.7258 	 86.0669	 0.3930
[2022/05/02 18:47:06] - 41 	 788.5 	 	 0.0001 	 1.3068 	 0.7215 	 60.6235	 0.3996
[2022/05/02 19:00:34] - 42 	 789.2 	 	 0.0001 	 1.3079 	 0.7285 	 60.8449	 0.3965
[2022/05/02 19:14:00] - 43 	 787.6 	 	 0.0001 	 1.3069 	 0.7152 	 59.6633	 0.3973
[2022/05/02 19:27:30] - 44 	 790.1 	 	 0.0001 	 1.3056 	 0.7406 	 58.2309	 0.4023
[2022/05/02 19:40:52] - 45 	 784.2 	 	 0.0001 	 1.3056 	 0.7199 	 68.8819	 0.3910
[2022/05/02 19:53:49] - 46 	 758.6 	 	 0.0001 	 1.3041 	 0.7297 	 74.5013	 0.3945
[2022/05/02 20:06:46] - 47 	 758.7 	 	 0.0001 	 1.3047 	 0.7320 	 63.2471	 0.4016
[2022/05/02 20:19:41] - 48 	 757.2 	 	 0.0001 	 1.3036 	 0.7137 	 57.6232	 0.4035
[2022/05/02 20:32:37] - 49 	 757.0 	 	 0.0001 	 1.3050 	 0.7336 	 60.1760	 0.3953
[2022/05/02 20:32:37] - Total train time: 451.8295 minutes
[2022/05/02 20:32:37] - Best checkpoint at 48, 0.403515625
