[2021/03/21 15:08:28] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8, fname='output_pre', gamma=1.01, log_interval=100, lr=0.05, model='pre', momentum=0.9, no_cuda=False, num_steps=10, out_dir='mtrades_out', save_freq=1, save_model=True, seed=0, step_size=2, test_batch_size=128, weight_decay=0.0005, wide_factor=10)
[2021/03/21 15:08:28] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2021/03/21 15:09:53] - 0 	 73.4 	 	 0.0500 	 1.4599 	 0.5977 	 0.0000	 0.0074
[2021/03/21 15:12:07] - 1 	 120.5 	 	 0.0500 	 1.2874 	 0.6453 	 0.6740	 0.1473
[2021/03/21 15:14:21] - 2 	 120.4 	 	 0.0500 	 1.1088 	 0.6832 	 0.8184	 0.1895
[2021/03/21 15:17:22] - 3 	 167.9 	 	 0.0500 	 1.2691 	 0.6895 	 46.6824	 0.2594
[2021/03/21 15:21:11] - 4 	 215.2 	 	 0.0500 	 1.3844 	 0.6930 	 52.0532	 0.3156
[2021/03/21 15:25:47] - 5 	 262.6 	 	 0.0500 	 1.4772 	 0.6719 	 49.3572	 0.3363
[2021/03/21 15:30:22] - 6 	 262.5 	 	 0.0500 	 1.4470 	 0.6820 	 46.4199	 0.3578
[2021/03/21 15:34:58] - 7 	 262.7 	 	 0.0500 	 1.4259 	 0.6848 	 45.6399	 0.3406
[2021/03/21 15:39:34] - 8 	 262.6 	 	 0.0500 	 1.4051 	 0.6770 	 48.3378	 0.3688
[2021/03/21 15:44:10] - 9 	 262.4 	 	 0.0500 	 1.3871 	 0.6934 	 49.5189	 0.3535
[2021/03/21 15:48:46] - 10 	 262.6 	 	 0.0500 	 1.3718 	 0.6996 	 41.5701	 0.3723
[2021/03/21 15:53:22] - 11 	 262.4 	 	 0.0500 	 1.3610 	 0.6969 	 44.4597	 0.3617
[2021/03/21 15:57:57] - 12 	 262.4 	 	 0.0500 	 1.3489 	 0.7234 	 48.9060	 0.4020
[2021/03/21 16:02:33] - 13 	 262.6 	 	 0.0500 	 1.3385 	 0.7188 	 41.0344	 0.3930
[2021/03/21 16:07:09] - 14 	 262.6 	 	 0.0500 	 1.3271 	 0.7387 	 57.5191	 0.4035
[2021/03/21 16:12:32] - 15 	 309.9 	 	 0.0500 	 1.3408 	 0.7359 	 70.6394	 0.4055
[2021/03/21 16:18:43] - 16 	 357.2 	 	 0.0500 	 1.3464 	 0.7230 	 54.5728	 0.3969
[2021/03/21 16:24:53] - 17 	 357.3 	 	 0.0500 	 1.3393 	 0.7320 	 64.0885	 0.4133
[2021/03/21 16:31:04] - 18 	 357.4 	 	 0.0500 	 1.3322 	 0.7285 	 62.4806	 0.4145
[2021/03/21 16:37:15] - 19 	 357.5 	 	 0.0500 	 1.3304 	 0.7168 	 61.2720	 0.3863
[2021/03/21 16:43:26] - 20 	 357.5 	 	 0.0500 	 1.3257 	 0.7164 	 58.7560	 0.3941
[2021/03/21 16:49:36] - 21 	 357.4 	 	 0.0500 	 1.3210 	 0.7320 	 61.8018	 0.4062
[2021/03/21 16:55:47] - 22 	 357.3 	 	 0.0500 	 1.3149 	 0.7406 	 65.6445	 0.4062
[2021/03/21 17:01:57] - 23 	 356.6 	 	 0.0500 	 1.3120 	 0.7391 	 64.5692	 0.4156
[2021/03/21 17:08:07] - 24 	 356.5 	 	 0.0500 	 1.3100 	 0.7531 	 62.4575	 0.4074
[2021/03/21 17:14:16] - 25 	 356.5 	 	 0.0050 	 1.1967 	 0.7773 	 62.6727	 0.4641
[2021/03/21 17:20:26] - 26 	 356.4 	 	 0.0050 	 1.1657 	 0.7820 	 76.5350	 0.4699
[2021/03/21 17:27:23] - 27 	 403.6 	 	 0.0050 	 1.1627 	 0.7848 	 72.9637	 0.4727
[2021/03/21 17:34:20] - 28 	 403.8 	 	 0.0050 	 1.1537 	 0.7902 	 74.1155	 0.4668
[2021/03/21 17:41:17] - 29 	 403.8 	 	 0.0050 	 1.1440 	 0.7902 	 79.3062	 0.4688
[2021/03/21 17:49:01] - 30 	 450.9 	 	 0.0050 	 1.1465 	 0.7836 	 66.7849	 0.4766
[2021/03/21 17:56:46] - 31 	 450.9 	 	 0.0050 	 1.1393 	 0.7961 	 79.8645	 0.4797
[2021/03/21 18:04:30] - 32 	 450.8 	 	 0.0050 	 1.1354 	 0.7828 	 69.6916	 0.4715
[2021/03/21 18:12:14] - 33 	 450.9 	 	 0.0050 	 1.1295 	 0.7852 	 84.9064	 0.4754
[2021/03/21 18:20:45] - 34 	 498.0 	 	 0.0050 	 1.1318 	 0.7883 	 69.4968	 0.4793
[2021/03/21 18:29:16] - 35 	 498.1 	 	 0.0050 	 1.1257 	 0.7891 	 83.3426	 0.4730
[2021/03/21 18:37:48] - 36 	 498.0 	 	 0.0050 	 1.1200 	 0.7797 	 77.9372	 0.4848
[2021/03/21 18:46:19] - 37 	 498.1 	 	 0.0050 	 1.1191 	 0.7957 	 79.0163	 0.4711
[2021/03/21 18:54:50] - 38 	 498.0 	 	 0.0050 	 1.1164 	 0.7902 	 86.2711	 0.4711
[2021/03/21 19:04:09] - 39 	 545.1 	 	 0.0050 	 1.1168 	 0.7863 	 79.9688	 0.4797
[2021/03/21 19:13:27] - 40 	 545.1 	 	 0.0005 	 1.0822 	 0.7941 	 64.6528	 0.4816
[2021/03/21 19:22:45] - 41 	 545.1 	 	 0.0005 	 1.0751 	 0.7980 	 91.1826	 0.4816
[2021/03/21 19:32:04] - 42 	 545.0 	 	 0.0005 	 1.0700 	 0.7965 	 76.7540	 0.4836
[2021/03/21 19:41:22] - 43 	 545.0 	 	 0.0005 	 1.0673 	 0.8035 	 71.6953	 0.4852
[2021/03/21 19:50:40] - 44 	 545.1 	 	 0.0005 	 1.0682 	 0.7988 	 85.9258	 0.4871
[2021/03/21 19:59:59] - 45 	 545.1 	 	 0.0005 	 1.0635 	 0.7953 	 87.0268	 0.4859
[2021/03/21 20:09:17] - 46 	 545.1 	 	 0.0005 	 1.0616 	 0.7914 	 86.0810	 0.4891
[2021/03/21 20:18:35] - 47 	 545.0 	 	 0.0005 	 1.0612 	 0.8027 	 74.9587	 0.4820
[2021/03/21 20:27:54] - 48 	 545.0 	 	 0.0005 	 1.0605 	 0.7930 	 80.1963	 0.4930
[2021/03/21 20:37:12] - 49 	 545.4 	 	 0.0005 	 1.0577 	 0.7969 	 73.8547	 0.4891
[2021/03/21 20:37:12] - Total train time: 317.6836 minutes
[2021/03/21 20:37:12] - Best checkpoint at 48, 0.49296875
