[2022/04/27 18:06:34] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8, fname='output_vgg16', gamma=1.01, log_interval=100, lr=0.01, model='vgg16', momentum=0.9, no_cuda=False, normalization='std', num_steps=10, out_dir='mtrades_out', save_freq=1, save_model=True, seed=0, step_size=2, test_batch_size=128, weight_decay=0.0005, wide_factor=10)
[2022/04/27 18:06:34] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2022/04/27 18:07:21] - 0 	 39.9 	 	 0.0100 	 1.4618 	 0.5867 	 0.0000	 0.0066
[2022/04/27 18:08:33] - 1 	 64.6 	 	 0.0100 	 1.2965 	 0.6359 	 0.5673	 0.1199
[2022/04/27 18:09:46] - 2 	 64.8 	 	 0.0100 	 1.1228 	 0.6988 	 0.8793	 0.1836
[2022/04/27 18:11:24] - 3 	 89.9 	 	 0.0100 	 1.3109 	 0.6980 	 55.6897	 0.2574
[2022/04/27 18:13:27] - 4 	 114.7 	 	 0.0100 	 1.4362 	 0.6625 	 62.1697	 0.2715
[2022/04/27 18:15:54] - 5 	 139.3 	 	 0.0100 	 1.5373 	 0.6543 	 51.5009	 0.2996
[2022/04/27 18:18:21] - 6 	 139.7 	 	 0.0100 	 1.5036 	 0.6617 	 41.4211	 0.3105
[2022/04/27 18:20:50] - 7 	 140.5 	 	 0.0100 	 1.4791 	 0.6855 	 50.4149	 0.3293
[2022/04/27 18:23:18] - 8 	 139.5 	 	 0.0100 	 1.4620 	 0.6832 	 50.3999	 0.3457
[2022/04/27 18:25:45] - 9 	 139.5 	 	 0.0100 	 1.4418 	 0.6887 	 50.0114	 0.3496
[2022/04/27 18:28:14] - 10 	 140.8 	 	 0.0100 	 1.4268 	 0.6906 	 57.4139	 0.3441
[2022/04/27 18:30:41] - 11 	 139.8 	 	 0.0100 	 1.4133 	 0.7047 	 60.8954	 0.3656
[2022/04/27 18:33:09] - 12 	 140.0 	 	 0.0100 	 1.3990 	 0.7043 	 55.5352	 0.3672
[2022/04/27 18:35:38] - 13 	 141.0 	 	 0.0100 	 1.3896 	 0.7039 	 52.5684	 0.3594
[2022/04/27 18:38:06] - 14 	 140.1 	 	 0.0100 	 1.3798 	 0.7086 	 43.3803	 0.3633
[2022/04/27 18:40:34] - 15 	 140.5 	 	 0.0100 	 1.3667 	 0.7207 	 43.8879	 0.3727
[2022/04/27 18:43:03] - 16 	 141.1 	 	 0.0100 	 1.3573 	 0.7266 	 50.3861	 0.3613
[2022/04/27 18:45:31] - 17 	 140.1 	 	 0.0100 	 1.3501 	 0.7133 	 69.9161	 0.3812
[2022/04/27 18:48:25] - 18 	 165.5 	 	 0.0100 	 1.3636 	 0.7262 	 64.8722	 0.3809
[2022/04/27 18:51:19] - 19 	 166.3 	 	 0.0100 	 1.3557 	 0.7195 	 57.6170	 0.3973
[2022/04/27 18:54:11] - 20 	 165.0 	 	 0.0100 	 1.3490 	 0.7168 	 59.2378	 0.3836
[2022/04/27 18:57:06] - 21 	 167.0 	 	 0.0100 	 1.3389 	 0.7246 	 67.7576	 0.3766
[2022/04/27 19:00:00] - 22 	 165.6 	 	 0.0100 	 1.3345 	 0.7320 	 50.7279	 0.3988
[2022/04/27 19:02:54] - 23 	 165.9 	 	 0.0100 	 1.3299 	 0.7285 	 48.6054	 0.3914
[2022/04/27 19:05:48] - 24 	 166.0 	 	 0.0100 	 1.3172 	 0.7223 	 64.3683	 0.4004
[2022/04/27 19:08:41] - 25 	 165.2 	 	 0.0010 	 1.2545 	 0.7586 	 75.3904	 0.4168
[2022/04/27 19:12:01] - 26 	 192.0 	 	 0.0010 	 1.2582 	 0.7438 	 61.6003	 0.4188
