[2022/09/15 23:25:24] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, log_interval=100, lr=0.1, model='wide', momentum=0.9, no_cuda=False, normalization='std', num_steps=10, out_dir='mtrades_out', save_freq=1, save_model=True, seed=0, step_size=2.0, test_batch_size=128, weight_decay=0.0005, wide_factor=10)
[2022/09/15 23:25:24] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2022/09/15 23:32:43] - 0 	 377.6 	 	 0.1000 	 1.5639 	 0.5621 	 0.0000	 0.0066
[2022/09/15 23:44:25] - 1 	 631.5 	 	 0.1000 	 1.3345 	 0.6316 	 0.7983	 0.1488
[2022/09/15 23:56:11] - 2 	 634.7 	 	 0.1000 	 1.1190 	 0.6781 	 1.0640	 0.1703
[2022/09/16 00:12:10] - 3 	 887.9 	 	 0.1000 	 1.2576 	 0.6816 	 42.3580	 0.2547
[2022/09/16 00:32:29] - 4 	 1147.2 	 	 0.1000 	 1.3737 	 0.6824 	 53.9898	 0.3199
[2022/09/16 00:57:08] - 5 	 1408.0 	 	 0.1000 	 1.4667 	 0.6727 	 45.2778	 0.3363
[2022/09/16 01:21:49] - 6 	 1409.8 	 	 0.1000 	 1.4391 	 0.7168 	 39.6696	 0.3551
[2022/09/16 01:46:32] - 7 	 1410.9 	 	 0.1000 	 1.4219 	 0.6824 	 44.6146	 0.3723
[2022/09/16 02:11:15] - 8 	 1410.6 	 	 0.1000 	 1.4008 	 0.6777 	 48.0742	 0.3418
[2022/09/16 02:36:03] - 9 	 1416.5 	 	 0.1000 	 1.3865 	 0.7004 	 55.2275	 0.3672
[2022/09/16 03:09:58] - 10 	 1956.8 	 	 0.1000 	 1.3855 	 0.7203 	 62.4131	 0.3777
[2022/09/16 03:43:41] - 11 	 1942.3 	 	 0.1000 	 1.3879 	 0.7348 	 56.6606	 0.4141
[2022/09/16 04:24:25] - 12 	 2356.2 	 	 0.1000 	 1.3790 	 0.7250 	 52.0321	 0.3910
[2022/09/16 05:04:32] - 13 	 2333.7 	 	 0.1000 	 1.3687 	 0.7254 	 60.1637	 0.4090
[2022/09/16 05:42:55] - 14 	 2216.6 	 	 0.1000 	 1.3620 	 0.7008 	 50.2985	 0.4117
[2022/09/16 06:23:07] - 15 	 2323.9 	 	 0.1000 	 1.3524 	 0.7398 	 68.3487	 0.4098
[2022/09/16 07:09:06] - 16 	 2671.9 	 	 0.1000 	 1.3494 	 0.7402 	 69.6967	 0.4113
[2022/09/16 08:00:50] - 17 	 3016.2 	 	 0.1000 	 1.3485 	 0.7141 	 56.2248	 0.4301
[2022/09/16 08:50:12] - 18 	 2873.8 	 	 0.1000 	 1.3409 	 0.7355 	 57.7988	 0.4191
[2022/09/16 09:41:26] - 19 	 2986.4 	 	 0.1000 	 1.3332 	 0.7246 	 55.9781	 0.4254
[2022/09/16 10:33:28] - 20 	 3033.1 	 	 0.1000 	 1.3304 	 0.7406 	 66.3869	 0.4023
[2022/09/16 11:18:26] - 21 	 2611.6 	 	 0.1000 	 1.3241 	 0.7402 	 54.8980	 0.4270
[2022/09/16 12:05:41] - 22 	 2761.2 	 	 0.1000 	 1.3203 	 0.7531 	 75.1034	 0.4297
[2022/09/16 12:57:57] - 23 	 3061.9 	 	 0.1000 	 1.3185 	 0.7410 	 62.5797	 0.4441
[2022/09/16 13:53:16] - 24 	 3231.6 	 	 0.1000 	 1.3134 	 0.7438 	 63.7804	 0.4273
[2022/09/16 14:50:12] - 25 	 3328.7 	 	 0.1000 	 1.3075 	 0.7410 	 76.6784	 0.4262
[2022/09/16 15:52:08] - 26 	 3627.8 	 	 0.1000 	 1.3098 	 0.7152 	 63.4850	 0.4184
[2022/09/16 16:54:33] - 27 	 3669.7 	 	 0.1000 	 1.3081 	 0.7426 	 70.2406	 0.4156
[2022/09/16 17:57:51] - 28 	 3717.6 	 	 0.1000 	 1.3024 	 0.7602 	 63.5614	 0.4414
[2022/09/16 18:51:29] - 29 	 3142.4 	 	 0.1000 	 1.2978 	 0.7445 	 77.9251	 0.4297
[2022/09/16 19:44:44] - 30 	 3120.4 	 	 0.1000 	 1.2990 	 0.7504 	 63.3015	 0.4410
[2022/09/16 20:38:01] - 31 	 3121.8 	 	 0.1000 	 1.2950 	 0.7352 	 67.8654	 0.4305
[2022/09/16 21:31:26] - 32 	 3129.5 	 	 0.1000 	 1.2931 	 0.7453 	 74.4581	 0.4348
[2022/09/16 22:24:48] - 33 	 3127.9 	 	 0.1000 	 1.2887 	 0.7504 	 60.3093	 0.4371
[2022/09/16 23:18:00] - 34 	 3116.7 	 	 0.1000 	 1.2856 	 0.7527 	 49.8109	 0.4469
[2022/09/17 00:11:04] - 35 	 3108.9 	 	 0.1000 	 1.2828 	 0.7648 	 62.4156	 0.4422
[2022/09/17 01:03:20] - 36 	 3062.0 	 	 0.1000 	 1.2833 	 0.7504 	 80.2690	 0.4270
[2022/09/17 01:55:14] - 37 	 3041.2 	 	 0.1000 	 1.2810 	 0.7770 	 59.6788	 0.4484
[2022/09/17 02:52:48] - 38 	 3367.9 	 	 0.1000 	 1.2801 	 0.7355 	 57.5413	 0.4305
[2022/09/17 03:54:06] - 39 	 3592.4 	 	 0.1000 	 1.2773 	 0.7477 	 58.1533	 0.4582
[2022/09/17 04:48:23] - 40 	 3186.6 	 	 0.1000 	 1.2746 	 0.7539 	 61.0263	 0.4566
[2022/09/17 05:40:59] - 41 	 3072.2 	 	 0.1000 	 1.2730 	 0.7500 	 70.2578	 0.4254
[2022/09/17 06:40:06] - 42 	 3463.0 	 	 0.1000 	 1.2769 	 0.7453 	 55.9140	 0.4520
[2022/09/17 07:38:04] - 43 	 3394.0 	 	 0.1000 	 1.2691 	 0.7590 	 68.6680	 0.4516
[2022/09/17 08:35:19] - 44 	 3352.7 	 	 0.1000 	 1.2693 	 0.7531 	 68.9566	 0.4480
[2022/09/17 09:33:24] - 45 	 3413.2 	 	 0.1000 	 1.2686 	 0.7641 	 76.4177	 0.4379
[2022/09/17 10:31:47] - 46 	 3431.3 	 	 0.1000 	 1.2688 	 0.7605 	 65.0137	 0.4473
[2022/09/17 11:29:51] - 47 	 3400.5 	 	 0.1000 	 1.2668 	 0.7691 	 63.0747	 0.4625
[2022/09/17 12:30:57] - 48 	 3579.6 	 	 0.1000 	 1.2628 	 0.7684 	 76.2179	 0.4535
[2022/09/17 13:33:13] - 49 	 3648.4 	 	 0.1000 	 1.2687 	 0.7457 	 58.6153	 0.4332
[2022/09/17 14:31:41] - 50 	 3421.1 	 	 0.0100 	 1.0921 	 0.8270 	 68.8006	 0.5266
[2022/09/17 15:32:50] - 51 	 3581.1 	 	 0.0100 	 1.0381 	 0.8313 	 82.8915	 0.5297
[2022/09/17 16:35:56] - 52 	 3696.9 	 	 0.0100 	 1.0142 	 0.8281 	 83.0575	 0.5324
[2022/09/17 17:35:03] - 53 	 3457.7 	 	 0.0100 	 0.9994 	 0.8281 	 88.3614	 0.5340
[2022/09/17 18:38:36] - 54 	 3724.6 	 	 0.0100 	 0.9877 	 0.8258 	 70.3521	 0.5262
[2022/09/17 19:41:01] - 55 	 3655.2 	 	 0.0100 	 0.9721 	 0.8391 	 91.0435	 0.5352
[2022/09/17 20:35:09] - 56 	 3173.2 	 	 0.0100 	 0.9667 	 0.8391 	 95.8711	 0.5293
[2022/09/17 21:27:43] - 57 	 3079.3 	 	 0.0100 	 0.9570 	 0.8250 	 115.2334	 0.5262
[2022/09/17 22:20:45] - 58 	 3106.6 	 	 0.0100 	 0.9471 	 0.8398 	 70.6305	 0.5344
[2022/09/17 23:04:35] - 59 	 2569.7 	 	 0.0100 	 0.9426 	 0.8250 	 80.5968	 0.5320
[2022/09/17 23:47:06] - 60 	 2491.7 	 	 0.0100 	 0.9346 	 0.8242 	 121.3262	 0.5316
