[2022/05/25 12:19:43] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8, fname='output_dense', log_interval=100, lr=0.01, model='dense', momentum=0.9, no_cuda=False, normalization='std', num_steps=10, out_dir='trades_out', save_freq=1, save_model=True, seed=0, step_size=2.0, test_batch_size=128, weight_decay=0.0005, wide_factor=10)
[2022/05/25 12:19:43] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc 	 PGD Acc
[2022/05/25 12:33:54] - 1 	 830.6 	 	 0.0100 	 2.0289 	 0.3836 	 0.1793
[2022/05/25 12:47:52] - 2 	 815.9 	 	 0.0100 	 1.8599 	 0.4559 	 0.2066
[2022/05/25 13:02:08] - 3 	 835.1 	 	 0.0100 	 1.7913 	 0.4898 	 0.2344
[2022/05/25 13:16:06] - 4 	 816.3 	 	 0.0100 	 1.7421 	 0.5293 	 0.2504
[2022/05/25 13:30:13] - 5 	 824.6 	 	 0.0100 	 1.7054 	 0.5379 	 0.2617
[2022/05/25 13:44:18] - 6 	 823.3 	 	 0.0100 	 1.6747 	 0.5633 	 0.2754
[2022/05/25 13:58:39] - 7 	 840.1 	 	 0.0100 	 1.6462 	 0.5633 	 0.2984
[2022/05/25 14:12:43] - 8 	 822.6 	 	 0.0100 	 1.6248 	 0.5922 	 0.2824
[2022/05/25 14:26:50] - 9 	 825.1 	 	 0.0100 	 1.6003 	 0.5863 	 0.2824
[2022/05/25 14:40:58] - 10 	 827.0 	 	 0.0100 	 1.5827 	 0.6129 	 0.3039
[2022/05/25 14:55:12] - 11 	 831.9 	 	 0.0100 	 1.5637 	 0.5977 	 0.2867
[2022/05/25 15:09:31] - 12 	 836.9 	 	 0.0100 	 1.5486 	 0.6113 	 0.2898
[2022/05/25 15:23:49] - 13 	 836.6 	 	 0.0100 	 1.5327 	 0.6113 	 0.3234
[2022/05/25 15:37:38] - 14 	 808.8 	 	 0.0100 	 1.5199 	 0.6340 	 0.3172
[2022/05/25 15:51:52] - 15 	 832.5 	 	 0.0100 	 1.5083 	 0.6070 	 0.3055
[2022/05/25 16:06:12] - 16 	 838.1 	 	 0.0100 	 1.4956 	 0.6438 	 0.3352
[2022/05/25 16:20:32] - 17 	 838.2 	 	 0.0100 	 1.4850 	 0.6348 	 0.3348
[2022/05/25 16:34:53] - 18 	 838.9 	 	 0.0100 	 1.4767 	 0.6508 	 0.3254
[2022/05/25 16:49:07] - 19 	 833.3 	 	 0.0100 	 1.4636 	 0.6602 	 0.3422
[2022/05/25 17:03:17] - 20 	 827.3 	 	 0.0100 	 1.4587 	 0.6691 	 0.3523
[2022/05/25 17:17:39] - 21 	 840.7 	 	 0.0100 	 1.4494 	 0.6719 	 0.3555
[2022/05/25 17:31:52] - 22 	 831.5 	 	 0.0100 	 1.4430 	 0.6480 	 0.3465
[2022/05/25 17:45:47] - 23 	 813.9 	 	 0.0100 	 1.4346 	 0.6734 	 0.3617
[2022/05/25 17:59:27] - 24 	 798.9 	 	 0.0010 	 1.3898 	 0.6934 	 0.3773
[2022/05/25 18:13:44] - 25 	 834.5 	 	 0.0010 	 1.3791 	 0.6988 	 0.3789
[2022/05/25 18:27:50] - 26 	 825.6 	 	 0.0010 	 1.3739 	 0.6937 	 0.3766
[2022/05/25 18:41:28] - 27 	 797.4 	 	 0.0010 	 1.3718 	 0.6914 	 0.3898
[2022/05/25 18:55:10] - 28 	 800.4 	 	 0.0010 	 1.3665 	 0.6879 	 0.3871
[2022/05/25 19:09:00] - 29 	 809.2 	 	 0.0010 	 1.3658 	 0.6937 	 0.3785
[2022/05/25 19:22:55] - 30 	 814.3 	 	 0.0010 	 1.3639 	 0.7027 	 0.3836
[2022/05/25 19:36:57] - 31 	 820.3 	 	 0.0010 	 1.3636 	 0.7055 	 0.3832
[2022/05/25 19:50:36] - 32 	 799.2 	 	 0.0010 	 1.3597 	 0.7035 	 0.3781
[2022/05/25 20:04:15] - 33 	 797.8 	 	 0.0010 	 1.3594 	 0.6914 	 0.3902
