[2021/03/21 06:53:12] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8, fname='output_pre', log_interval=100, lr=0.05, model='pre', momentum=0.9, no_cuda=False, num_steps=10, out_dir='trades_out', save_freq=1, save_model=True, seed=0, step_size=2, test_batch_size=128, weight_decay=0.0005, wide_factor=10)
[2021/03/21 06:53:12] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc 	 PGD Acc
[2021/03/21 07:02:35] - 1 	 549.9 	 	 0.0500 	 1.9845 	 0.3914 	 0.2074
[2021/03/21 07:11:58] - 2 	 549.5 	 	 0.0500 	 1.7925 	 0.5074 	 0.2461
[2021/03/21 07:21:21] - 3 	 549.7 	 	 0.0500 	 1.7044 	 0.5316 	 0.2941
[2021/03/21 07:30:44] - 4 	 549.6 	 	 0.0500 	 1.6424 	 0.5719 	 0.2816
[2021/03/21 07:40:09] - 5 	 551.5 	 	 0.0500 	 1.5891 	 0.6023 	 0.2910
[2021/03/21 07:49:31] - 6 	 549.3 	 	 0.0500 	 1.5522 	 0.6180 	 0.3219
[2021/03/21 07:58:54] - 7 	 549.6 	 	 0.0500 	 1.5193 	 0.6414 	 0.3492
[2021/03/21 08:08:17] - 8 	 549.3 	 	 0.0500 	 1.4953 	 0.6641 	 0.3402
[2021/03/21 08:17:40] - 9 	 549.4 	 	 0.0500 	 1.4698 	 0.6590 	 0.3676
[2021/03/21 08:27:03] - 10 	 549.5 	 	 0.0500 	 1.4522 	 0.6629 	 0.3563
[2021/03/21 08:36:25] - 11 	 549.4 	 	 0.0500 	 1.4362 	 0.6746 	 0.3645
[2021/03/21 08:45:46] - 12 	 546.8 	 	 0.0500 	 1.4228 	 0.6680 	 0.3480
[2021/03/21 08:55:04] - 13 	 545.4 	 	 0.0500 	 1.4106 	 0.6992 	 0.3941
[2021/03/21 09:04:23] - 14 	 545.5 	 	 0.0500 	 1.4002 	 0.6973 	 0.3840
[2021/03/21 09:13:42] - 15 	 545.6 	 	 0.0500 	 1.3875 	 0.7176 	 0.3984
[2021/03/21 09:23:01] - 16 	 546.0 	 	 0.0500 	 1.3804 	 0.7121 	 0.4027
[2021/03/21 09:32:23] - 17 	 548.4 	 	 0.0500 	 1.3718 	 0.7059 	 0.3895
[2021/03/21 09:41:44] - 18 	 548.2 	 	 0.0500 	 1.3659 	 0.7172 	 0.4203
[2021/03/21 09:51:02] - 19 	 544.3 	 	 0.0500 	 1.3578 	 0.7246 	 0.4086
[2021/03/21 10:00:19] - 20 	 544.1 	 	 0.0500 	 1.3546 	 0.6945 	 0.3750
[2021/03/21 10:09:37] - 21 	 544.1 	 	 0.0500 	 1.3491 	 0.7121 	 0.3898
[2021/03/21 10:18:54] - 22 	 544.3 	 	 0.0500 	 1.3441 	 0.7227 	 0.4098
[2021/03/21 10:28:12] - 23 	 544.4 	 	 0.0500 	 1.3381 	 0.7227 	 0.4000
[2021/03/21 10:37:29] - 24 	 544.3 	 	 0.0050 	 1.2350 	 0.7723 	 0.4602
[2021/03/21 10:46:47] - 25 	 544.3 	 	 0.0050 	 1.2054 	 0.7738 	 0.4539
[2021/03/21 10:56:04] - 26 	 544.1 	 	 0.0050 	 1.1908 	 0.7711 	 0.4609
[2021/03/21 11:05:22] - 27 	 544.3 	 	 0.0050 	 1.1831 	 0.7762 	 0.4684
[2021/03/21 11:14:39] - 28 	 544.2 	 	 0.0050 	 1.1766 	 0.7730 	 0.4688
[2021/03/21 11:23:58] - 29 	 545.6 	 	 0.0050 	 1.1718 	 0.7766 	 0.4586
[2021/03/21 11:33:20] - 30 	 547.9 	 	 0.0050 	 1.1641 	 0.7727 	 0.4605
[2021/03/21 11:42:41] - 31 	 547.7 	 	 0.0050 	 1.1577 	 0.7730 	 0.4691
[2021/03/21 11:52:02] - 32 	 547.7 	 	 0.0050 	 1.1526 	 0.7902 	 0.4680
[2021/03/21 12:01:23] - 33 	 547.8 	 	 0.0050 	 1.1497 	 0.7770 	 0.4660
[2021/03/21 12:10:44] - 34 	 548.1 	 	 0.0050 	 1.1449 	 0.7809 	 0.4668
[2021/03/21 12:20:05] - 35 	 547.8 	 	 0.0050 	 1.1391 	 0.7746 	 0.4699
[2021/03/21 12:29:27] - 36 	 548.2 	 	 0.0050 	 1.1343 	 0.7805 	 0.4672
[2021/03/21 12:38:48] - 37 	 547.9 	 	 0.0050 	 1.1317 	 0.7789 	 0.4766
[2021/03/21 12:48:09] - 38 	 547.9 	 	 0.0050 	 1.1281 	 0.7832 	 0.4660
[2021/03/21 12:57:31] - 39 	 548.7 	 	 0.0005 	 1.0961 	 0.7852 	 0.4711
[2021/03/21 13:06:54] - 40 	 549.3 	 	 0.0005 	 1.0873 	 0.7848 	 0.4813
[2021/03/21 13:16:17] - 41 	 549.8 	 	 0.0005 	 1.0830 	 0.7898 	 0.4777
[2021/03/21 13:25:40] - 42 	 549.6 	 	 0.0005 	 1.0807 	 0.7871 	 0.4762
[2021/03/21 13:35:03] - 43 	 549.5 	 	 0.0005 	 1.0770 	 0.7891 	 0.4715
[2021/03/21 13:44:25] - 44 	 549.5 	 	 0.0005 	 1.0753 	 0.7949 	 0.4770
[2021/03/21 13:53:48] - 45 	 549.4 	 	 0.0005 	 1.0755 	 0.7918 	 0.4809
[2021/03/21 14:03:11] - 46 	 549.4 	 	 0.0005 	 1.0714 	 0.7867 	 0.4824
[2021/03/21 14:12:34] - 47 	 549.9 	 	 0.0005 	 1.0715 	 0.7836 	 0.4879
[2021/03/21 14:21:57] - 48 	 549.4 	 	 0.0005 	 1.0700 	 0.7937 	 0.4836
