[2022/04/27 22:01:23] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=50, epsilon=8, fname='output_vgg16', log_interval=100, lr=0.01, model='vgg16', momentum=0.9, no_cuda=False, normalization='std', num_steps=10, out_dir='trades_out', save_freq=1, save_model=True, seed=0, step_size=2, test_batch_size=128, weight_decay=0.0005, wide_factor=10)
[2022/04/27 22:01:23] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc 	 PGD Acc
[2022/04/27 22:05:58] - 1 	 268.5 	 	 0.0100 	 2.3603 	 0.2195 	 0.1586
[2022/04/27 22:10:32] - 2 	 266.4 	 	 0.0100 	 2.1017 	 0.2629 	 0.1867
[2022/04/27 22:15:06] - 3 	 267.2 	 	 0.0100 	 2.0068 	 0.3410 	 0.1770
[2022/04/27 22:19:40] - 4 	 267.1 	 	 0.0100 	 1.9475 	 0.3723 	 0.2020
[2022/04/27 22:24:14] - 5 	 266.8 	 	 0.0100 	 1.8918 	 0.4152 	 0.2297
[2022/04/27 22:28:48] - 6 	 266.3 	 	 0.0100 	 1.8491 	 0.4289 	 0.2078
[2022/04/27 22:33:21] - 7 	 266.3 	 	 0.0100 	 1.8107 	 0.4637 	 0.2457
[2022/04/27 22:37:55] - 8 	 266.6 	 	 0.0100 	 1.7800 	 0.4730 	 0.2316
[2022/04/27 22:42:28] - 9 	 266.5 	 	 0.0100 	 1.7554 	 0.5168 	 0.2754
[2022/04/27 22:47:02] - 10 	 266.4 	 	 0.0100 	 1.7299 	 0.5016 	 0.2656
[2022/04/27 22:51:35] - 11 	 266.2 	 	 0.0100 	 1.7030 	 0.5254 	 0.2613
[2022/04/27 22:56:08] - 12 	 266.4 	 	 0.0100 	 1.6808 	 0.5707 	 0.2887
[2022/04/27 23:00:42] - 13 	 266.6 	 	 0.0100 	 1.6615 	 0.5570 	 0.2898
[2022/04/27 23:05:15] - 14 	 266.5 	 	 0.0100 	 1.6430 	 0.5637 	 0.3102
[2022/04/27 23:09:49] - 15 	 266.5 	 	 0.0100 	 1.6231 	 0.5945 	 0.2945
[2022/04/27 23:14:23] - 16 	 266.6 	 	 0.0100 	 1.6040 	 0.5961 	 0.3145
[2022/04/27 23:18:56] - 17 	 266.4 	 	 0.0100 	 1.5888 	 0.5969 	 0.2898
[2022/04/27 23:23:30] - 18 	 266.4 	 	 0.0100 	 1.5769 	 0.6086 	 0.3125
[2022/04/27 23:28:03] - 19 	 266.6 	 	 0.0100 	 1.5604 	 0.6332 	 0.3133
[2022/04/27 23:32:37] - 20 	 266.8 	 	 0.0100 	 1.5492 	 0.6328 	 0.3223
[2022/04/27 23:37:11] - 21 	 266.6 	 	 0.0100 	 1.5366 	 0.6320 	 0.3191
[2022/04/27 23:41:45] - 22 	 266.9 	 	 0.0100 	 1.5249 	 0.6469 	 0.3285
[2022/04/27 23:46:19] - 23 	 266.6 	 	 0.0100 	 1.5155 	 0.6523 	 0.3387
[2022/04/27 23:50:52] - 24 	 266.6 	 	 0.0010 	 1.4585 	 0.6637 	 0.3492
[2022/04/27 23:55:26] - 25 	 266.6 	 	 0.0010 	 1.4437 	 0.6684 	 0.3574
[2022/04/28 00:00:00] - 26 	 266.7 	 	 0.0010 	 1.4397 	 0.6758 	 0.3617
[2022/04/28 00:04:34] - 27 	 266.6 	 	 0.0010 	 1.4360 	 0.6730 	 0.3566
[2022/04/28 00:09:07] - 28 	 266.7 	 	 0.0010 	 1.4326 	 0.6863 	 0.3582
[2022/04/28 00:13:41] - 29 	 266.6 	 	 0.0010 	 1.4280 	 0.6793 	 0.3652
[2022/04/28 00:18:15] - 30 	 266.7 	 	 0.0010 	 1.4281 	 0.6848 	 0.3563
[2022/04/28 00:22:49] - 31 	 266.8 	 	 0.0010 	 1.4228 	 0.6934 	 0.3547
